Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to Place,Planning Services,STARBUCKS T3 AIRSIDE,Expenses and Allowances,Human Resources Travel & Subsistence ,30.04.2015,16.06.2015,GPC05150000001,3.15
Stockport MBC,Services to People,Adult Social Care,SNBA GBP E-C082593731XO7,Travelling Expenses,Human Resources Travel & Subsistence ,05.05.2015,16.06.2015,GPC05150000002,307.37
Stockport MBC,Services to People,Adult Social Care,SNCB-NMBS INTERNET NA,Travelling Expenses,Human Resources Travel & Subsistence ,07.05.2015,16.06.2015,GPC05150000003,26.19
Stockport MBC,Services to People,Adult Social Care,BOOTS,Expenses and Allowances,Human Resources Travel & Subsistence ,11.05.2015,16.06.2015,GPC05150000004,1.30
Stockport MBC,Services to People,Adult Social Care,FOODCENTER,Expenses and Allowances,Human Resources Travel & Subsistence ,11.05.2015,16.06.2015,GPC05150000005,5.23
Stockport MBC,Services to People,Adult Social Care,L'ATRO MONDO,Expenses and Allowances,Human Resources Travel & Subsistence ,11.05.2015,16.06.2015,GPC05150000006,19.41
Stockport MBC,Services to People,Adult Social Care,STARBUCKS,Expenses and Allowances,Human Resources Travel & Subsistence ,11.05.2015,16.06.2015,GPC05150000007,2.05
Stockport MBC,Services to People,Adult Social Care,L'ATRO MONDO,Expenses and Allowances,Human Resources Travel & Subsistence ,12.05.2015,16.06.2015,GPC05150000008,16.37
Stockport MBC,Services to People,Adult Social Care,SNBA GBP E-C082614663CCX,Travelling Expenses,Human Resources Travel & Subsistence ,13.05.2015,16.06.2015,GPC05150000009,294.40
Stockport MBC,Services to People,Adult Social Care,BEDFORD (HOTEL),Expenses and Allowances,Human Resources Travel & Subsistence ,13.05.2015,16.06.2015,GPC05150000010,6.72
Stockport MBC,Services to People,Adult Social Care,APARTMENTSAPART,Expenses and Allowances,Human Resources Travel & Subsistence ,15.05.2015,16.06.2015,GPC05150000011,194.47
Stockport MBC,Services to People,Adult Social Care,TRAINLINE.COM,Travelling Expenses,Human Resources Travel & Subsistence ,19.05.2015,16.06.2015,GPC05150000012,69.87
Stockport MBC,Services to People,Adult Social Care,TRAINLINE.COM,Travelling Expenses,Human Resources Travel & Subsistence ,21.05.2015,16.06.2015,GPC05150000013,104.14
Stockport MBC,Services to People,Adult Social Care,EUSTON HOTEL,Expenses and Allowances,Human Resources Travel & Subsistence ,22.05.2015,16.06.2015,GPC05150000014,278.00
Stockport MBC,Services to People,Adult Social Care,L'ATRO MONDO,Expenses and Allowances,Human Resources Travel & Subsistence ,26.05.2015,16.06.2015,GPC05150000015,20.48
Stockport MBC,Services to People,Adult Social Care,GO SURFACE BOURSE,Travelling Expenses,Human Resources Travel & Subsistence ,27.05.2015,16.06.2015,GPC05150000016,10.24
Stockport MBC,Services to People,Adult Social Care,L'ATRO MONDO,Expenses and Allowances,Human Resources Travel & Subsistence ,27.05.2015,16.06.2015,GPC05150000017,18.71
Stockport MBC,Services to People,Adult Social Care,STIB/MIVB GO 54327,Travelling Expenses,Human Resources Travel & Subsistence ,27.05.2015,16.06.2015,GPC05150000018,3.29
Stockport MBC,Services to People,Adult Social Care,STIB/MIVB GO 54327,Travelling Expenses,Human Resources Travel & Subsistence ,27.05.2015,16.06.2015,GPC05150000019,10.24
Stockport MBC,Services to People,Adult Social Care,BEDFORD (HOTEL),Expenses and Allowances,Human Resources Travel & Subsistence ,28.05.2015,16.06.2015,GPC05150000020,6.68
Stockport MBC,Corporate and Support Services,Central Services to the public,TRAINLINE.COM,Travelling Expenses,Human Resources Travel & Subsistence ,27.05.2015,16.06.2015,GPC05150000021,41.51
Stockport MBC,Corporate and Support Services,Planning Services,EASILY LTD,Office Expenses,Facilities & Management Services  ,21.05.2015,16.06.2015,GPC05150000022,25.00
Stockport MBC,Corporate and Support Services,Planning Services,EASILY LTD,Office Expenses,Facilities & Management Services  ,28.05.2015,16.06.2015,GPC05150000023,4.00
Stockport MBC,Corporate and Support Services,Planning Services,FACEBOOK YYTT382PK2,Office Expenses,Facilities & Management Services  ,31.05.2015,16.06.2015,GPC05150000024,15.89
Stockport MBC,Corporate and Support Services,Planning Services,FACEBOOK XAYB582NK2,Office Expenses,Facilities & Management Services  ,28.05.2015,16.06.2015,GPC05150000025,16.71
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,05.05.2015,16.06.2015,GPC05150000026,27.62
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,06.05.2015,16.06.2015,GPC05150000027,6.00
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,07.05.2015,16.06.2015,GPC05150000028,13.24
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 2710,Catering Supplies,Catering Food & Beverages ,08.05.2015,16.06.2015,GPC05150000029,1.89
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,11.05.2015,16.06.2015,GPC05150000030,68.89
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,19.05.2015,16.06.2015,GPC05150000031,24.77
