Primary Liable party name,Full Property Address,Current Rateable Value,2010 NDR - Analysis code desc,Account Start date
Barrow Borough Council,"Hmrc At Town Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",1800,Offices,01/05/2015
Helian Properties,"49-59, Emlyn Street, Barrow In Furness, Cumbria, LA14 1QS",5800,Warehouse,05/05/2015
