Transaction Date,Transaction Reference,Merchant,Total
02/03/2015,,GRAND HYATT              MUSCAT       ,834.16
03/03/2015,UKA34765,RENDEZVOUS GRAND HOTEL   MELBOURNE    ,1416.57
03/03/2015,UKA35003,GRAND HYATT              MUSCAT       ,528.69
03/03/2015,,GRAND HYATT              MUSCAT       ,573.20
06/03/2015,UKA36393,SMART AV (UK) LTD        HARLOW       ,516.61
22/03/2015,,CHINA WORLD HOTEL        BEIJING      ,925.06
22/03/2015,UKA41931,CHINA WORLD HOTEL        BEIJING      ,688.40
02/03/2015,569108055,Hogg Robinson Group Limited,£515.07
02/03/2015,568790772,Hogg Robinson Group Limited,£531.16
02/03/2015,569451338,Hogg Robinson Group Limited,£542.56
02/03/2015,569090185,Hogg Robinson Group Limited,£927.26
03/03/2015,569090201,Hogg Robinson Group Limited,"-£3,952.86"
03/03/2015,569090199,Hogg Robinson Group Limited,"-£1,228.16"
03/03/2015,569432087,Hogg Robinson Group Limited,£702.90
03/03/2015,569424510,Hogg Robinson Group Limited,"£1,540.46"
03/03/2015,569424514,Hogg Robinson Group Limited,"£2,309.16"
04/03/2015,570268401,Hogg Robinson Group Limited,"£1,066.15"
04/03/2015,569761223,Hogg Robinson Group Limited,"£2,331.06"
05/03/2015,570589229,Hogg Robinson Group Limited,"£2,225.82"
06/03/2015,570898492,Hogg Robinson Group Limited,£602.74
06/03/2015,570898795,Hogg Robinson Group Limited,£780.22
06/03/2015,570898491,Hogg Robinson Group Limited,"£1,855.07"
06/03/2015,570222187,Hogg Robinson Group Limited,"£2,029.36"
09/03/2015,570936109,Hogg Robinson Group Limited,£679.70
09/03/2015,571553582,Hogg Robinson Group Limited,"£1,526.61"
10/03/2015,570898800,Hogg Robinson Group Limited,"£1,866.35"
11/03/2015,571551128,Hogg Robinson Group Limited,£800.00
12/03/2015,572367798,Hogg Robinson Group Limited,£662.22
12/03/2015,572043544,Hogg Robinson Group Limited,£993.36
12/03/2015,572048207,Hogg Robinson Group Limited,"£1,137.10"
13/03/2015,572363317,Hogg Robinson Group Limited,"£1,645.86"
16/03/2015,572669757,Hogg Robinson Group Limited,"£2,143.00"
17/03/2015,573015737,Hogg Robinson Group Limited,"£1,892.10"
17/03/2015,573334870,Hogg Robinson Group Limited,"£2,424.98"
18/03/2015,573332198,Hogg Robinson Group Limited,"£1,917.16"
19/03/2015,574128539,Hogg Robinson Group Limited,£524.71
19/03/2015,574128516,Hogg Robinson Group Limited,£564.37
19/03/2015,574128515,Hogg Robinson Group Limited,£567.07
19/03/2015,574128545,Hogg Robinson Group Limited,£586.50
19/03/2015,574128440,Hogg Robinson Group Limited,£845.24
19/03/2015,574128546,Hogg Robinson Group Limited,£846.63
19/03/2015,574128540,Hogg Robinson Group Limited,"£1,353.71"
20/03/2015,573573764,Hogg Robinson Group Limited,"-£1,673.76"
20/03/2015,574147928,Hogg Robinson Group Limited,£647.80
20/03/2015,574128491,Hogg Robinson Group Limited,"£1,155.71"
20/03/2015,574128492,Hogg Robinson Group Limited,"£1,155.71"
23/03/2015,575049482,Hogg Robinson Group Limited,-£734.75
23/03/2015,574772061,Hogg Robinson Group Limited,£564.81
23/03/2015,574772071,Hogg Robinson Group Limited,£734.75
23/03/2015,574444621,Hogg Robinson Group Limited,£906.36
23/03/2015,574772045,Hogg Robinson Group Limited,"£2,202.79"
25/03/2015,574753763,Hogg Robinson Group Limited,"-£1,422.36"
25/03/2015,575609099,Hogg Robinson Group Limited,"£1,919.89"
25/03/2015,575046348,Hogg Robinson Group Limited,"£2,538.06"
26/03/2015,575613577,Hogg Robinson Group Limited,"£2,615.36"
27/03/2015,576180165,Hogg Robinson Group Limited,£575.28
27/03/2015,575606424,Hogg Robinson Group Limited,"£1,297.86"
27/03/2015,575610018,Hogg Robinson Group Limited,"£1,426.40"
27/03/2015,576180073,Hogg Robinson Group Limited,"£4,134.65"
27/03/2015,575606423,Hogg Robinson Group Limited,"£4,373.66"
27/03/2015,575606426,Hogg Robinson Group Limited,"£6,187.96"
30/03/2015,576180183,Hogg Robinson Group Limited,£513.23
30/03/2015,576180189,Hogg Robinson Group Limited,£513.23
30/03/2015,576743400,Hogg Robinson Group Limited,£595.33
31/03/2015,576743316,Hogg Robinson Group Limited,£573.25
31/03/2015,576498813,Hogg Robinson Group Limited,"£1,357.76"
31/03/2015,576743321,Hogg Robinson Group Limited,"£1,726.68"
