,,,,,,,,"891,053.79",,,,,,,,
Department family,Entity,Date of payment,Account description,Directorate,Supplier name,Transaction reference,,Amount paid, Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,,
The National Archives,The National Archives,06/07/2017,Contracted Services,IT Operations,AMICUS ITS LIMITED,143630,25225,"40,423.00", Network Services ,CO4  9QB,,CM816 ,,Administration,,
The National Archives,The National Archives,06/07/2017,PAS - On-line development,Legislation Services,THE STATIONERY OFFICE LTD,143674,25240,"68,721.30", Legislation Iteration  ,NR3 1QZ,,CM478 ,,Programme,,
The National Archives,The National Archives,06/07/2017,Contracted Services,IB-11 - Legislation Drafting Tool,THE STATIONERY OFFICE LTD,143683,25244,"11,250.00", Drafting tool,NR3 1QZ,,CM478 ,,Programme,,
The National Archives,The National Archives,06/07/2017,PSI Website Hosting,Legislation Services,THE STATIONERY OFFICE LTD,143688,25239,"71,184.98", Cloud Hosting  ,NR3 1QZ,,CM478 ,,Programme,,
The National Archives,The National Archives,06/07/2017,PSI Website Hosting,Legislation Services,THE STATIONERY OFFICE LTD,143690,25247,"23,980.00", Annual Maintenance  ,NR3 1QZ,,CM478 ,,Programme,,
The National Archives,The National Archives,06/07/2017,Accomodation charge: rates,Estates,LONDON BOROUGH OF RICHMOND UPON THAMES,143708,25249,"267,304.00", Business Rates ,TW1 3BZ,,,,Programme,,
The National Archives,The National Archives,06/07/2017,Records Storage Space Rental,Document Services Department,DEEPSTORE,143742,25256,"32,131.20", Document Storage ,CW7 2PA,,CM835,,Programme,,
The National Archives,The National Archives,06/07/2017,Electricity,Estates,EDF ENERGY,143770,25263,"71,311.88", Energy Services  ,PL3 5XQ,,CM441,,Programme,,
The National Archives,The National Archives,11/07/2017,Repairs and Maintenance - Planned,Estates,BOUYGUES E&S FM UK LIMITED,143896,25291,"23,909.36", Consultancy services ,BN1 1HG,,CM888,,Programme,,
The National Archives,The National Archives,11/07/2017,Repairs and Maintenance - Planned,Estates,BOUYGUES E&S FM UK LIMITED,143896,25291,"11,980.38", Security Staff ,BN1 1HG,,CM888,,Programme,,
The National Archives,The National Archives,13/07/2017,Internet Archiving,Web Archiving,MIRRORWEB LIMITED,143943,25302,"43,050.00", Internet Archiving ,M3 2RF,,CM939,,Programme,,
The National Archives,The National Archives,13/07/2017,Film Archive,Collection Care,BRITISH FILM INSTITUTE,143948,25304,"29,890.25", Film Archiving  ,W1T 1LN,,,,Programme,,
The National Archives,The National Archives,13/07/2017,Govt Procurement Card (GPC) purchases,Finance,ROYAL BANK OF SCOTLAND PLC,144004,25315,"23,652.82", Government Procurement Card ,SS99 6YY,,,,Administration,,
The National Archives,The National Archives,18/07/2017,Travel & Subsistence,Procurement,REDFERN TRAVEL LTD,144109,25340,"13,859.78", Business Travel  ,BD1 3AZ,,CM835,,Administration,,
The National Archives,The National Archives,25/07/2017,IT Maintenance & Support - Software,IT Operations,Software Box Limited,144226,25362,"26,579.52", IT Software Maintenance and Support ,YO61 1ET,,CM870 ,,Administration,,
The National Archives,The National Archives,27/07/2017,Facilities Management,Estates,BOUYGUES E&S FM UK LIMITED,144296,25251,"131,825.32", Estates- Core  Fee ,BN1 1HG,,CM888,,Programme,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
