DfENumber,SchoolName,Year,Places,PlaceAllocated,1stPref,2ndPref,3rdPref,4thPref,5thPref,Unplaced,SLE,Catchment,Sibling,Distance,OutsideSpecifiedArea,InsideSpecifiedArea,Religion,Feeder,Other,Total
8163229,Archbishop Of Yorks Ce Junior,2015,60,62,62,0,0,0,0,0,0,51,1,10,0,0,0,0,0,62
8162002,Carr Junior School,2015,90,80,80,0,0,0,0,0,2,51,6,21,0,0,0,0,0,80
