Wakefield Council Purchase Card Spend for Quarter 1st January 2017 to 31st March 2017,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),SERCOP URI,Supplier Name,Purpose of Spend,Type,Transaction No.,Seq No.,Payment Date,Net Amount,Irrecoverable VAT,Merchant Category,P-Card Tran,Contract
,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,ARGOS,Advertising,Revenue,160893,86,07/02/2017,16.35,Nil,DISCOUNT STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,DUNELM LTD,Advertising,Revenue,160893,81,07/02/2017,16.58,Nil,DRAPERY UPOLSTERY AND WINDOW COVERINGS STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBOOK,Advertising,Revenue,160894,94,10/02/2017,600.04,Nil,ADVERTISING SERVICES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBOOK,Advertising,Revenue,160886,361,13/01/2017,600.12,Nil,ADVERTISING SERVICES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBOOK,Advertising,Revenue,160902,252,10/03/2017,600.93,Nil,ADVERTISING SERVICES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBOOK,Advertising,Revenue,160902,345,10/03/2017,600.09,Nil,ADVERTISING SERVICES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBOOK,Advertising,Revenue,160894,147,10/02/2017,600.18,Nil,ADVERTISING SERVICES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBOOK,Advertising,Revenue,160894,410,10/02/2017,600.15,Nil,ADVERTISING SERVICES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBOOK,Advertising,Revenue,160909,190,30/03/2017,600.07,Nil,ADVERTISING SERVICES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBOOK,Advertising,Revenue,160902,206,10/03/2017,600.63,Nil,ADVERTISING SERVICES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBOOK,Advertising,Revenue,160894,458,10/02/2017,600.36,Nil,ADVERTISING SERVICES,GPC,Not Yet Available
