Body,Body Name,Posting Date,Transaction number,Amount,Supplier name,Supplier ID,Service Area,Expense Type,Expense Code,Type
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,09/05/2013,30007138,"1,840.57 ",Kings Armoured Security Services Limited,15048,Car Parking,Security Service,4463,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,09/05/2013,30007447,883.62 ,Kings Armoured Security Services Limited,15048,Car Parking,Security Service,4463,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/05/2013,30007527,"1,239.46 ",Konica Minolta Business Solutions East Ltd,10908,Reprographics & Mail,Photocopier Charges,4305,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,16/05/2013,30007429,553.41 ,Konica Minolta Business Solutions East Ltd,10908,Reprographics & Mail,Photocopier Charges,4305,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,29/05/2013,20088455,500.00 ,Leicestershire County Council,12233,Env Health - Authorised Processes,Subscriptions to Associations,4730,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,08/05/2013,30007403,"1,250.00 ",Locata (Housing Services) Ltd,14729,Homelessness,Choice Based Lettings,4857,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,16/05/2013,30007558,"8,750.00 ",Locata (Housing Services) Ltd,14729,Homelessness,Choice Based Lettings,4857,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,14/05/2013,30007531,817.00 ,M. Markovitz Ltd,11008,Parks & Recreation,Light Plant & Tools,4001,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,20/05/2013,30007508,559.22 ,Nat West Bank Plc - Streamline,11823,Final Accounts,Bank Charges,4447,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,03/05/2013,20088134,"1,250.00 ",National Westminster Bank Plc,12163,Final Accounts,Bank Charges,4447,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,24/05/2013,30007880,"1,309.00 ",Network Rail,11160,Car Parking,Rents,2301,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,17/05/2013,20088400,"5,450.00 ",Norder Design Associates Limited,11183,Ashbourne Leisure Centre Changing Rooms,Professional Fees,C004,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,17/05/2013,20088401,"2,576.00 ",Norder Design Associates Limited,11183,Matlock Churchyard Retaining Wall,Professional Fees,C004,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,20/05/2013,30007661,"6,768.80 ",North East Derbyshire District Council,11174,Council Tax Collection,Software Maintenance & Support,4512,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,20/05/2013,30007661,"3,384.40 ",North East Derbyshire District Council,11174,NNDR Collection,Software Maintenance & Support,4512,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,20/05/2013,30007661,"6,768.80 ",North East Derbyshire District Council,11174,Housing & Council Tax Benefits,Software Maintenance & Support,4512,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,24/05/2013,30007881,943.45 ,Orange Personal Comm's Services Ltd,11207,Mobile Telephones,Telephone Rental and Charges,4502,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,22/05/2013,30007812,"1,499.00 ",Paul Chetwyn Supplies Ltd,10341,Vehicles & Plant,Light Plant & Tools,4001,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,30/05/2013,30007901,616.00 ,Peak District National Park Authority,11245,Local Land Charges,Peak Dist Nat Park-Search Fees,4472,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,22/05/2013,30007818,"3,378.60 ",Peak Oil Products (Northern) Ltd,11249,Vehicles & Plant,Gas Oil,3123,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,20/05/2013,30007614,"3,009.00 ",Postage By Phone,11297,Reprographics & Mail,Postage,4501,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,08/05/2013,30007373,"3,012.75 ",Print.uk.com,14530,Elections - County,Printing and Printing Materials,4303,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,08/05/2013,30007374,"6,712.50 ",Print.uk.com,14530,Elections - County,Printing and Printing Materials,4303,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,08/05/2013,30007375,957.30 ,Print.uk.com,14530,Elections - County,Printing and Printing Materials,4303,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,15/05/2013,20088390,601.63 ,R Tinti & Son Ltd,11616,Car Parking,Premises Insurance Premiums,2901,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,17/05/2013,30007622,903.45 ,R.T. Mycock & Sons Ltd,15528,Cemeteries,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,24/05/2013,30007890,636.00 ,Raptor Grafix,15446,Arc Leisure Matlock,General Advertising & Publicity,4810,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,28/05/2013,30007834,585.00 ,Raptor Grafix,15446,Arc Leisure Matlock,General Advertising & Publicity,4810,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,17/05/2013,20088398,"1,820.00 ",Redacted: Payment to individual,15594,Public Health & Nuisance,Compensation,4820,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/05/2013,30007565,"1,137.50 ",Reflow Studio Ltd,15586,Planning Policy,Books and Publications,4312,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/05/2013,30007401,"4,604.23 ",Royal Mail Group Plc,11394,Elections - County,Postage,4501,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,14/05/2013,30007490,"1,481.83 ",Royal Mail Group Plc,11394,Council Tax Collection,Postage,4501,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,16/05/2013,30007488,"1,440.05 ",Royal Mail Group Plc,11394,Elections - County,Postage,4501,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,16/05/2013,30007572,500.89 ,Royal Mail Group Plc,11394,Elections - County,Postage,4501,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/05/2013,30007562,"3,769.60 ",S D Rawson Services Ltd,15358,Housing & Council Tax Benefits,Audit Fees,4445,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,22/05/2013,30007687,600.55 ,Secom PLC,11420,Agricultural Business Centre Bakewell,Service Alarm System,2182,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,07/05/2013,30007406,"3,121.17 ",Serco Limited,15459,Composting,Contract Payments,5610,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,08/05/2013,30007407,"-2,296.88 ",Serco Limited,15459,Household Refuse,Contract Payments,5610,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,08/05/2013,30007407,"7,642.50 ",Serco Limited,15459,Bulky Household Refuse,Contract Payments,5610,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,08/05/2013,30007407,"61,347.25 ",Serco Limited,15459,Wheeled Bins (Trade),Contract Payments,5610,Revenue
