Department family,Entity,Date,Supplier,Amount,Description,Description
HM Revenue & Customs,HM Revenue & Customs,15/04/2016,MAILGUN.COM,730.03,Computer Software Stores,IT  fees for  services  provided  to  support  HMRC’s  move  to  providing  a  digital  email  service  to  it’s  customers
HM Revenue & Customs,HM Revenue & Customs,20/04/2016,"PAGERDUTY, INC.",784.11,"Computers, Computer Peripheral Equipment, Software",IT  fees for  services  provided  to  support  HMRC’s  move  to  providing  a  digital  email  service  to  it’s  customers
