Department,Entity,Transaction Date,Expense Type,Expense Area,PES Category,Supplier,Transaction No.,Amount
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/04/2014,FARES - PUBLIC TRANSPORT,BOARD,TRAVEL&EVENTS-TAXI,STAFF EXPENSES CONTROL,0000210283,95.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/04/2014,FARES - PUBLIC TRANSPORT,BOARD,TRAVEL&EVENTS-TAXI,STAFF EXPENSES CONTROL,0000210291,12.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/04/2014,FARES - PUBLIC TRANSPORT,BOARD,TRAVEL&EVENTS-TAXI,STAFF EXPENSES CONTROL,0000210296,23.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/04/2014,FARES - PUBLIC TRANSPORT,BOARD,TRAVEL&EVENTS-TAXI,STAFF EXPENSES CONTROL,0000210315,8.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/04/2014,FARES - PUBLIC TRANSPORT,BOARD,TRAVEL&EVENTS-TAXI,STAFF EXPENSES CONTROL,0000210369,10.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/04/2014,FARES - PUBLIC TRANSPORT,BOARD,TRAVEL&EVENTS-TAXI,STAFF EXPENSES CONTROL,0000210371,6.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/04/2014,FARES - RAIL,BOARD,TRAVEL&EVENTS-RAIL,STAFF EXPENSES CONTROL,0000210283,288.45
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/04/2014,FARES - RAIL,BOARD,TRAVEL&EVENTS-RAIL,STAFF EXPENSES CONTROL,0000210291,144.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/04/2014,FARES - RAIL,BOARD,TRAVEL&EVENTS-RAIL,STAFF EXPENSES CONTROL,0000210296,29.35
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/04/2014,FARES - RAIL,BOARD,TRAVEL&EVENTS-RAIL,STAFF EXPENSES CONTROL,0000210315,318.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/04/2014,FARES - RAIL,BOARD,TRAVEL&EVENTS-RAIL,STAFF EXPENSES CONTROL,0000210315,17.90
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/04/2014,FARES - RAIL,BOARD,TRAVEL&EVENTS-RAIL,STAFF EXPENSES CONTROL,0000210369,87.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/04/2014,FARES - RAIL,BOARD,TRAVEL&EVENTS-RAIL,STAFF EXPENSES CONTROL,0000210371,144.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/03/2014,HOTEL ACCOMMODATION,BOARD,TRAVEL&EVENTS-HOTELS,REDFERN TRAVEL LTD,0000210055,390.97
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/04/2014,INCIDENTALS,BOARD,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000210296,8.33
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/04/2014,INCIDENTALS,BOARD,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000210315,18.34
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/04/2014,MILEAGE PAYMENTS,BOARD,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000210296,109.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/04/2014,MILEAGE PAYMENTS,BOARD,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000210315,190.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/04/2014,SUBSISTENCE ALLOWANCES,BOARD,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000210285,22.71
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/04/2014,SUBSISTENCE ALLOWANCES,BOARD,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000210296,23.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/04/2014,FARES - PUBLIC TRANSPORT,CHIEF EXECUTIVE,TRAVEL&EVENTS-TAXI,STAFF EXPENSES CONTROL,0000210317,10.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/03/2014,FARES - RAIL,CHIEF EXECUTIVE,TRAVEL&EVENTS-RAIL,REDFERN TRAVEL LTD,0000209904,1386.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/04/2014,FARES - RAIL,CHIEF EXECUTIVE,TRAVEL&EVENTS-RAIL,STAFF EXPENSES CONTROL,0000210285,163.70
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/04/2014,FUEL (VEHICLE),CHIEF EXECUTIVE,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000210285,52.46
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/03/2014,HOTEL ACCOMMODATION,CHIEF EXECUTIVE,TRAVEL&EVENTS-HOTELS,REDFERN TRAVEL LTD,0000210055,295.64
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/04/2014,INCIDENTALS,CHIEF EXECUTIVE,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000210285,53.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/04/2014,INCIDENTALS,CHIEF EXECUTIVE,VEHICLES-FLEET MANAGEMENT,COMPANY BARCLAYCARD,0000210306,84.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/03/2014,MEETINGS,CHIEF EXECUTIVE,FACILITIES - FOOD,POSH NOSH (EAST MIDS) LTD,0000209994,175.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/04/2014,MILEAGE PAYMENTS,CHIEF EXECUTIVE,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000210285,145.01
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/04/2014,MILEAGE PAYMENTS,CHIEF EXECUTIVE,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000210317,39.12
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/04/2014,PROFESSIONAL SUBSCRIPTIONS,CHIEF EXECUTIVE,PERSONNEL RLTD-STAFF SUBSCRPTN,ASSOCIATION OF CHIEF EXEC,0000209886,595.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/04/2014,STAFF EVENTS,CHIEF EXECUTIVE,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000210364,412.28
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/04/2014,SUBSISTENCE ALLOWANCES,CHIEF EXECUTIVE,OFFICE SOLUTIONS-PRINT,COMPANY BARCLAYCARD,0000210173,1.97
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/04/2014,SUBSISTENCE ALLOWANCES,CHIEF EXECUTIVE,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000210285,86.85
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/04/2014,SUBSISTENCE ALLOWANCES,CHIEF EXECUTIVE,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000210306,29.56
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/03/2014,HOTEL ACCOMMODATION,CORPORATE AFFAIRS,TRAVEL&EVENTS-HOTELS,REDFERN TRAVEL LTD,0000210055,65.33
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/04/2014,INCIDENTALS,CORPORATE AFFAIRS,VEHICLES-FLEET MANAGEMENT,COMPANY BARCLAYCARD,0000210364,12.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/03/2014,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,SHARPE PRITCHARD,0000210064,431.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/03/2014,PUBLIC RELATIONS,CORPORATE AFFAIRS,PROF SER LRNG&DEV-STAFF TRNING,BRAND VISTA LIMITED,0000210334,975.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/03/2014,FARES - RAIL,CORPORATE PROJECT OFFICE,TRAVEL&EVENTS-RAIL,REDFERN TRAVEL LTD,0000209904,691.52
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/04/2014,INCIDENTALS,CORPORATE PROJECT OFFICE,VEHICLES-FLEET MANAGEMENT,COMPANY BARCLAYCARD,0000210188,10.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/03/2014,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,COMPUTER PEOPLE,0000209899,634.48
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/04/2014,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,COMPUTER PEOPLE,0000210126,804.43
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/04/2014,SUBSISTENCE ALLOWANCES,CORPORATE PROJECT OFFICE,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000210188,6.98
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/01/2014,TRAINING AND EDUCATION,CORPORATE PROJECT OFFICE,PROF SER LRNG&DEV-STAFF TRNING,PCS LTD,0000209838,1151.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/04/2014,TRAINING AND EDUCATION,CORPORATE PROJECT OFFICE,PROF SER LRNG&DEV-STAFF TRNING,COMPANY BARCLAYCARD,0000210188,191.66
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/04/2014,DAMP PROOF SURVEY FEES,DAMPPROOF/TIMBER TREATMENT,"CONSTRUCTION-BLD,REPR&MAINTNCE",S P HOOKINGS,0000210102,2300.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/03/2014,CAR HIRE,ENVIRONMENT,TRAVEL&EVENTS-VEHICLE HIRE,ENTERPRISE RENT A CAR,0000209718,20.83
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/04/2014,CHILDCARE VOUCHERS,ENVIRONMENT,PERSONNEL RLTD-STAFF CHILDCARE,FIDELITI LIMITED,0000209845,100.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/04/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,OFFICE SOLUTIONS-OFFICE MACHNE,M.R.P PHOTOGRAPHY,0000209991,150.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/03/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,SCOTTISH WATER INTERNATIO,0000210133,1250.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/04/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,HYDRO LOGIC SERVICES LLP,0000210249,487.23
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/04/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,HYDRO LOGIC SERVICES LLP,0000210249,487.23
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/04/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,HYDRO LOGIC SERVICES LLP,0000210249,487.23
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/04/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,HYDRO LOGIC SERVICES LLP,0000210249,974.46
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/04/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,HYDRO LOGIC SERVICES LLP,0000210249,487.23
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/04/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,HYDRO LOGIC SERVICES LLP,0000210249,487.23
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/04/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,HYDRO LOGIC SERVICES LLP,0000210249,487.23
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/04/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,HYDRO LOGIC SERVICES LLP,0000210249,487.23
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/04/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,HYDRO LOGIC SERVICES LLP,0000210249,487.23
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/04/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,HYDRO LOGIC SERVICES LLP,0000210249,487.23
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/04/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,HYDRO LOGIC SERVICES LLP,0000210249,487.23
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/04/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,HYDRO LOGIC SERVICES LLP,0000210249,487.23
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/04/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,HYDRO LOGIC SERVICES LLP,0000210249,487.23
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/03/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,J N BENTLEY LIMITED,0000210360,1624.64
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/04/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000209753,857.52
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/04/2014,CONTRACTORS - BOREHOLES,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,INTERTEK,0000210248,8500.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/04/2014,CURR YR ADDNS LAND,ENVIRONMENT,PROF SER-LEGAL SERVICES,PURCHASE OF LAND AT NEW H,0000210472,28000.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/04/2014,CURR YR ADDNS LAND,ENVIRONMENT,PROF SER-LEGAL SERVICES,PURCHASE OF LAND AT NEW H,0000210472,3423.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/02/2014,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000208580,1354.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/03/2014,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000209314,2645.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/03/2014,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,J N BENTLEY LIMITED,0000209653,3900.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/03/2014,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000209719,10839.38
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/03/2014,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000209721,15834.44
