Department Family,Entity,Clearing,Expense Type,Expense Area,Supplier,Doc Nbr,Merchant category,Amount
Communities & Local Government,DCLG,05/03/2013,"IT - PC, Network & Hardware",Finance & Corporate Services,WWW.KEYTOOLS.CO.UK       HUNGERFORD,1000003764,"PROGRAMMING, DATA PROC & SYSTEM DESIGN",606.00
Communities & Local Government,DCLG,20/03/2013,"IT - PC, Network & Hardware",Finance & Corporate Services,HYPERTEC LTD             HUNGERFORD,1000003774,"PROGRAMMING, DATA PROC & SYSTEM DESIGN",399.99
Communities & Local Government,DCLG,20/03/2013,"IT - PC, Network & Hardware",Finance & Corporate Services,HYPERTEC LTD             HUNGERFORD,1000003774,"PROGRAMMING, DATA PROC & SYSTEM DESIGN",471.60
Communities & Local Government,DCLG,20/03/2013,Publications,Localism,CIPFA                    LONDON  WC2N,1000003771,MISC. SPECIALITY RETAIL,300.00
