Supplier,Payment Date,Amount
02 UK LIMITED,17/09/2012,570.12
2X SOFTWARE LTD UK,06/09/2012,13716
ABBEY TRAVEL,26/09/2012,3425
ABN AMRO COMMERCIAL FINANCE PLC,03/09/2012,2789.38
ABN AMRO COMMERCIAL FINANCE PLC,24/09/2012,3306.94
ABSOLUTE HYGIENE SOLUTIONS LTD,03/09/2012,9885.6
ABSOLUTE PHOTOGRAPHY LTD,12/09/2012,1782
ACCESS SOLUTIONS SCAFFOLDING,04/09/2012,6519.57
ACCLAIM HANDLING LTD,06/09/2012,520
ACCLAIM HANDLING LTD,06/09/2012,520
ACCLAIM HANDLING LTD,06/09/2012,520
ACCLAIM HANDLING LTD,06/09/2012,520
ACUMENSION,05/09/2012,1586.88
ADECCO UK LTD,13/09/2012,657.38
ADECCO UK LTD,13/09/2012,997.81
ADECCO UK LTD,19/09/2012,657.38
ADEM LIMITED,17/09/2012,1713.6
ADIEMUS CARE LIMITED (LAURISTON HOUSE),20/09/2012,3617.39
ADT FIRE AND SECURITY PLC,05/09/2012,44722.98
ADT FIRE AND SECURITY PLC,18/09/2012,12076.99
AETHER LTD,14/09/2012,16216.98
AF STARR BUILDING CONTRACTORS,14/09/2012,2241.6
AF STARR BUILDING CONTRACTORS,24/09/2012,12727.2
AF STARR BUILDING CONTRACTORS,24/09/2012,895.2
AIRWAVE  SOLUTIONS LTD,17/09/2012,1497.81
ALAN IVES ESTATES,28/09/2012,2460
ALLIED CARE LTD T/A WHYTEACRES,25/09/2012,1405.35
ALLIED CARE LTD T/A WHYTEACRES,25/09/2012,1405.35
ALTAIR CONSULTANCY AND ADVISORY SERVICES LTD,19/09/2012,9690
ALTERS RECRUITMENT,19/09/2012,512.5
ALTERS RECRUITMENT,19/09/2012,573
ALTERS RECRUITMENT,19/09/2012,799.42
ALTERS RECRUITMENT,19/09/2012,1592.45
ALTERS RECRUITMENT,19/09/2012,1586.1
ALTERS RECRUITMENT,19/09/2012,1004.25
ALTERS RECRUITMENT,19/09/2012,2550
ALTERS RECRUITMENT,19/09/2012,501
ALTERS RECRUITMENT,19/09/2012,977
ALTERS RECRUITMENT,19/09/2012,1127.4
ALTERS RECRUITMENT,19/09/2012,1232.01
ALTERS RECRUITMENT,20/09/2012,501.2
AMAZING PROMOTIONAL MERCHANDISE LTD,17/09/2012,3384
AMAZING SPACE LTD,26/09/2012,720
AMBER CAR SERVICES LTD,10/09/2012,2543.64
AMBER CAR SERVICES LTD,20/09/2012,552.72
AMBER CONSTRUCTION SERVICES LTD,05/09/2012,239104.45
AMBER CONSTRUCTION SERVICES LTD,21/09/2012,159221.82
AMBER LIGHT SCIENCE OF EQUILIBRIUM LIMITED,20/09/2012,727.28
ANDARA TOOLS AND PLANT HIRE,04/09/2012,503.28
ANDARA TOOLS AND PLANT HIRE,18/09/2012,2813.55
ANDARA TOOLS AND PLANT HIRE,19/09/2012,4021
ANDARA TOOLS AND PLANT HIRE,19/09/2012,817.23
ANDARA TOOLS AND PLANT HIRE,19/09/2012,4674.22
ANDARA TOOLS AND PLANT HIRE,19/09/2012,4660.36
ANDREW BINNELL & ASSOCIATES LTD,17/09/2012,5580
ANDREW BINNELL & ASSOCIATES LTD,24/09/2012,1400
ANTALIS MCNAUGHTON LIMITED,24/09/2012,595.44
ANTALIS MCNAUGHTON LIMITED,24/09/2012,634.14
ANTALIS MCNAUGHTON LIMITED,24/09/2012,1295.28
ANTALIS MCNAUGHTON LIMITED,24/09/2012,532.19
ANTALIS MCNAUGHTON LIMITED,24/09/2012,1164.42
ANTALIS MCNAUGHTON LIMITED,24/09/2012,710.4
ANTALIS MCNAUGHTON LIMITED,24/09/2012,719.24
AON,21/09/2012,11513.14
APEX LIFTS,21/09/2012,249968.76
APOLLO PROPERTY SERVICES GROUP LIMITED,26/09/2012,2400
APOLLO PROPERTY SERVICES GROUP LIMITED,26/09/2012,2400
APOLLO PROPERTY SERVICES GROUP LIMITED,26/09/2012,1800
APOLLO PROPERTY SERVICES GROUP LIMITED,26/09/2012,2449.24
APOLLO PROPERTY SERVICES GROUP LIMITED,26/09/2012,1414.19
APOLLO PROPERTY SERVICES GROUP LIMITED,26/09/2012,1050
APOLLO PROPERTY SERVICES GROUP LIMITED,26/09/2012,6411.17
APOLLO PROPERTY SERVICES GROUP LIMITED,26/09/2012,3626.24
APOLLO PROPERTY SERVICES GROUP LIMITED,26/09/2012,391198.58
ARCADIA FLOORING LLP,27/09/2012,1206
ARJOHUNTLEIGH UK,19/09/2012,645.96
ARK HOME HEALTHCARE LIMITED,03/09/2012,747.64
ARK HOME HEALTHCARE LIMITED,06/09/2012,2160.09
ARK HOME HEALTHCARE LIMITED,06/09/2012,523.51
ARK HOME HEALTHCARE LIMITED,06/09/2012,552.08
ARK HOME HEALTHCARE LIMITED,06/09/2012,622.97
ARK HOME HEALTHCARE LIMITED,20/09/2012,1526.17
ARK HOME HEALTHCARE LIMITED,20/09/2012,532.84
ARK HOME HEALTHCARE LIMITED,20/09/2012,763.72
ARK HOME HEALTHCARE LIMITED,20/09/2012,755.27
ARK HOME HEALTHCARE LIMITED,20/09/2012,573.1
ARK HOME HEALTHCARE LIMITED,20/09/2012,517.85
ARK HOME HEALTHCARE LIMITED,20/09/2012,864
ARK HOME HEALTHCARE LIMITED,20/09/2012,777.37
ARK HOME HEALTHCARE LIMITED,20/09/2012,525.5
ARK HOME HEALTHCARE LIMITED,24/09/2012,642
ARK HOME HEALTHCARE LIMITED,24/09/2012,1002
ARK HOME HEALTHCARE LIMITED,24/09/2012,519.8
ARK HOME HEALTHCARE LIMITED,24/09/2012,663.69
ARK HOME HEALTHCARE LIMITED,24/09/2012,660.6
ARK HOME HEALTHCARE LIMITED,26/09/2012,1624.75
ARK HOME HEALTHCARE LIMITED,27/09/2012,2381.59
ARK HOME HEALTHCARE LIMITED,27/09/2012,798.02
ARK HOME HEALTHCARE LIMITED,27/09/2012,1219
ARK HOME HEALTHCARE LIMITED,27/09/2012,569.01
ARK HOME HEALTHCARE LIMITED,27/09/2012,759.25
ARK HOME HEALTHCARE LIMITED,27/09/2012,640.6
ARK HOME HEALTHCARE LIMITED,28/09/2012,1066.5
ARK HOME HEALTHCARE LIMITED,28/09/2012,838.82
ARK HOME HEALTHCARE LIMITED,28/09/2012,1670
ARTIC BUILDING SERVICES LTD,18/09/2012,1903.2
ASDA BUSINESS REWARDS,18/09/2012,975
ASDAN LIMITED,20/09/2012,780.9
ASHFORD COMMERCIAL LTD,27/09/2012,84292.84
ASHINGTON HOUSE LTD T/A  ASHINGTON HOUSE,04/09/2012,5011.5
ASHINGTON HOUSE LTD T/A  ASHINGTON HOUSE,04/09/2012,5753.95
ASHINGTON HOUSE LTD T/A  ASHINGTON HOUSE,24/09/2012,5139.6
ASK (GREENWICH) LTD,24/09/2012,949744
ASPREY MANAGEMENT SOLUTIONS,20/09/2012,3024
ASSET FINANCE & MANAGEMENT LTD (AFM SOLUTIONS),04/09/2012,1600.15
ATCO STRUCTURES UK LTD,12/09/2012,504.4
ATCO STRUCTURES UK LTD,14/09/2012,915.2
ATCO STRUCTURES UK LTD,14/09/2012,527.63
ATCO STRUCTURES UK LTD,14/09/2012,962
ATCO STRUCTURES UK LTD,27/09/2012,504.4
ATCO STRUCTURES UK LTD,27/09/2012,915.2
ATLANTIC UMBRELLA COMPANY LTD,05/09/2012,3480
ATWAL CORPORATION LTD,28/09/2012,2118
AXCIS EDUCATION RECRUITMENT,20/09/2012,1158
AYERST ENVIRONMENTAL LTD,14/09/2012,780
B T REDCARE,24/09/2012,3071.42
BAAF,20/09/2012,720
BABCOCK EDUCATION AND SKILLS LTD (INF),07/09/2012,4252.8
BABCOCK EDUCATION AND SKILLS LTD (INF),07/09/2012,2520
BABCOCK EDUCATION AND SKILLS LTD (INF),07/09/2012,43733.78
BABCOCK EDUCATION AND SKILLS LTD (INF),07/09/2012,5880
BAIL ENFORCEMENT AGENCY LTD,18/09/2012,1150
BAILEY ASSOCIATES,07/09/2012,11900.08
BAILEY ASSOCIATES,24/09/2012,644.72
BALFOUR BEATTY CONSTRUCTION LTD,04/09/2012,30236.06
BALFOUR BEATTY CONSTRUCTION LTD,06/09/2012,75071.02
BALFOUR BEATTY CONSTRUCTION LTD,07/09/2012,282496.98
BAM CONSTRUCTION LIMITED,17/09/2012,777719.62
BARNFIELD PROJECT,21/09/2012,36417
BARTLETT DECORATIVE FLOORING,07/09/2012,3494.4
BARTLETT DECORATIVE FLOORING,13/09/2012,4743.6
BAYLIS LANDSCAPE CONTRACTORS LIMITED,14/09/2012,1314
BESPOKE CFT LIMITED,24/09/2012,600
BEST VALUE HOME CARE SERVICES UK LTD,05/09/2012,1635.4
BEST VALUE HOME CARE SERVICES UK LTD,05/09/2012,501
BEST VALUE HOME CARE SERVICES UK LTD,05/09/2012,520
BEST VALUE HOME CARE SERVICES UK LTD,05/09/2012,596.44
BEST VALUE HOME CARE SERVICES UK LTD,05/09/2012,683
BEST VALUE HOME CARE SERVICES UK LTD,05/09/2012,1059.2
BEST VALUE HOME CARE SERVICES UK LTD,05/09/2012,1180.7
BEST VALUE HOME CARE SERVICES UK LTD,05/09/2012,721
BEST VALUE HOME CARE SERVICES UK LTD,05/09/2012,1700
BEST VALUE HOME CARE SERVICES UK LTD,05/09/2012,725
BEST VALUE HOME CARE SERVICES UK LTD,05/09/2012,778.08
BEST VALUE HOME CARE SERVICES UK LTD,05/09/2012,501
BEST VALUE HOME CARE SERVICES UK LTD,05/09/2012,1736.5
BEST VALUE HOME CARE SERVICES UK LTD,05/09/2012,766.6
BEST VALUE HOME CARE SERVICES UK LTD,05/09/2012,1140.63
BEST VALUE HOME CARE SERVICES UK LTD,05/09/2012,1882
BEST VALUE HOME CARE SERVICES UK LTD,05/09/2012,850
BEST VALUE HOME CARE SERVICES UK LTD,05/09/2012,835.52
BEST VALUE HOME CARE SERVICES UK LTD,05/09/2012,1229.52
