DEPARTMENT FOR EDUCATION,,
,,
SPECIAL ADVISERS INFORMATION,,
,,
JULY – SEPTEMBER 2011,,
,,
,,
,,
,,
HOSPITALITY RECEIVED[1],,
,,
,,
Henry de Zoete,,
Date of hospitality,Name of organisation ,Type of hospitality received¹  
Nil return,,
,,
,,
,,
,,
,,
,,
,,
Dominic Cummings ,,
Date of hospitality,Name of organisation ,Type of hospitality received¹  
Nil return,,
,,
,,
,,
,,
,,
,,
,,
,,
"[1] Does not normally include attendance at functions hosted by HM Government; ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars; and offers of hospitality which were declined. * indicates if accompanied by spouse/partner or other family member or friend.’ ",,
,,
,,
,,
,,
Include an asterisk against the entry if accompanied by spouse/partner or other family member or friend.,,
