Location,No. of PCN's 2014-2015,Rank
High Street Car Park,491,1
North Bridge Car Park,408,2
"Shibden Park, Mereside Car Park",405,3
"Commercial Street, Halifax",371,4
Bull Green Car Park,332,5
Bethel Street Car Park,321,6
Horton Street,288,7
Harrison Road,254,8
Godfrey Road,248,9
St James Road,232,10
Princess Street,221,11
Silver Street,213,12
Old Market,210,13
"Bradford Road, Brighouse",200,14
Rawson Street,196,15
Hangingroyd Lane,192,16
St John's Lane Car Park,192,16
Wards End,188,18
Akroyd Place,166,19
Commercial Street,162,20
"Crown Street, Halifax",161,21
"Northgate, Halifax",160,22
Crossley Street,154,23
Garden Street Car Park,153,24
Alexandra Street,153,24
"Market Street, Hebden Bridge",153,24
"Park Road, Halifax",145,27
Albion Street,144,28
Tuel Lane Car Park,137,29
Waterhouse Street,132,30
Valley Road Car Park,132,30
St Pol Square Car Park,127,32
Trinity Road,123,34
Prescott Street,123,34
Powell Street,121,36
Daisy Street Car Park,121,36
Akroyd Place Car Park,120,38
Station Road Car Park,114,39
Market Place Car Park,113,40
West Parade,111,41
Blackwall,105,42
Pine Street,101,43
Union Street,99,44
Victoria Street Car Park,98,45
Savile Park Road,95,46
King Cross Road,92,47
Gaol Lane,91,48
"Commercial Street, Brighouse",89,49
Owler Ings Road Car Park,88,50
New Road Car Park,88,50
