Special Adviser,Date,Gift,Given or received,Who gift was given to or received from,Value (£),"Outcome 
(received gifts only)",
Ben Gascoigne (SpAd),,Nil return,,,,,
Liam Parker (SpAd),,Nil return,,,,,
David Frost (SpAd),,Nil return,,,,,
