Prosecutions by outcome,2006 - 07 Volume,2006 - 07 Percentage,2007 - 08 Volume,2007 - 08 Percentage,2008 - 09 Volume,2008 - 09 Percentage,2009 - 10 Volume,2009 - 10 Percentage
Convictions,44836,65.00%,51974,68.90%,56438,71.90%,61677,71.80%
Unsuccessful,24094,35.00%,23478,31.10%,22085,28.10%,24227,28.20%
Total,68930,100.00%,75452,100.00%,78523,100.00%,85904,100.00%
