objectid,scn16cd,scn16nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E55000002,Cheshire and Merseyside,374405,380936,-2.38572001,53.32472992,3197841231.58932,483515.990972772
2,E55000003,"Greater Manchester, Lancashire and South Cumbria",362045,447378,-2.57940006,53.92115021,6414416774.13427,692325.324570364
3,E55000004,Northern England,386194,549585,-2.21650004,54.84088898,16612880164.9933,1125671.72159859
4,E55000005,Yorkshire and The Humber,426652,443114,-1.59603,53.88354874,13571396647.4831,1088635.43379912
5,E55000006,East of England,571074,263229,0.50414598,52.24066925,19585389965.6896,1049498.10850194
6,E55000007,East Midlands,477660,304146,-0.85403001,52.62953949,15480072789.8883,1133301.88505113
7,E55000008,West Midlands,386294,295477,-2.2035799,52.55696869,13003737773.1489,953902.709860043
8,E55000009,South West,285015,102567,-3.63343,50.81119156,21693950666.6736,2143508.25209367
9,E55000010,South East Coast,555276,135827,0.216373,51.10071945,9412698136.50451,652612.368739304
10,E55000011,Thames Valley,459681,205725,-1.13690996,51.74705124,5434783223.78246,529762.305206077
11,E55000012,Wessex,450080,116813,-1.28846002,50.94857025,6944222610.69324,851336.682049476
12,E55000014,London,517516,178392,-0.30864,51.49227142,1594697005.45329,256347.879321554
