Minister,Date of Trip,Destination,Purpose,No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar',Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
Minister for Sport and the Olympics,5-9/07/2011,Durban - South Africa,Prersentation to IOC,schedule,,"£2,244"
Minister for Sport and the Olympics,1-3/09/2011,Bled - slovenia,GB World Rowing Championships,,,£670
Minister for Sport and the Olympics,06/09/2011,Gdansk - Poland,EU Sports Ministers meeting,,,£128
"Minister for Culture, Communications and Creative Industries",25-27/09/2011,Nairobi - Kenya,UN Telecoms Forum,,,"£1,596.00"
"Minister for Culture, Communications and Creative Industries",27-30/09/2011,Beijing - China,Internet Forum,,,£921
Minister for Tourism and Heritage,25-27/09/2011,New York - USA,VisitBritain B2B event,,,"£2,625"
