Industrial and commercial waste arisings by business sector and waste type,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
England,,,,,,,,,,,,,000 Tonnes,,,,,
Sector,Waste type and code,oils & solvents,"paints, varnishes, etc.",industrial sludges,other chemical wastes,Metallic Wastes,paper and card,"other non-metallic, non-mineral wastes",Discarded equipment,food,Other animal and plant waste,Sorting residues,other mixed general waste,Common Sludges,combustion wastes,C&D,Other mineral wastes,Total
,Sector description,22_1,22_2,22_3,22_4,23,24_1,24_2,25,26_1,26_2,27_1,27_2,28,29_1,29_2,29_3,
Industrial,,,,,,,,,,,,,,,,,,
1,"Food, drink and tobacco",20,0,159,40,50,262,187,1,"4,083",21,0,"1,204",495,15,15,679,"7,230"
2,"Manufacture of textiles, wearing apparel, leather, luggage, handbags and footwear",1,1,498,11,14,19,358,0,0,,,329,,,3,,"1,234"
3,Wood and wood products,3,13,0,3,13,10,"1,153",2,0,,,248,,2,25,0,"1,471"
4,"Manufacture of pulp, paper and paper products",2,53,169,7,10,568,43,0,1,,580,170,154,65,0,,"1,822"
5,"Publishing, printing and recording",15,23,1,43,70,"1,331",19,2,1,,85,572,2,0,10,0,"2,174"
6,"Production of coke, oil, gas, electricity, water",26,0,77,150,35,11,9,7,0,,,120,102,"5,590",18,37,"6,182"
7,"Manufacture of chemicals and chemical products; cleaning products, man-made fibres etc; rubber and plastic products",356,85,545,"2,666",89,159,227,6,21,,,940,2,24,63,75,"5,257"
8,Other non-metallic mineral products,5,6,10,5,159,24,76,4,1,,,209,3,22,651,"1,098","2,272"
9,Manufacture of basic metals,54,1,62,86,316,11,9,1,0,0,0,161,2,"3,730",50,333,"4,815"
10,Manufacture of fabricated metal products,30,13,70,140,840,39,29,28,9,,,290,,26,2,10,"1,525"
11,Manufacture of machinery and equipment,31,6,7,11,248,51,106,3,1,1,,246,1,9,4,214,939
12,"Manufacture of office machinery, computers, electrical, radio, television and communication equipment; medical and optical instruments and clocks",7,2,9,68,79,82,27,14,1,,,219,0,1,6,0,515
13,Manufacture of motor vehicles and other transport equipment,34,17,14,35,736,49,98,18,3,,,317,0,115,10,29,"1,475"
14,Furniture and other manufacturing,1,1,0,2,69,38,186,3,1,,,366,,1,0,6,675
,Total ind. (000s )tonnes,583,221,"1,621","3,267","2,727","2,656","2,526",88,"4,121",22,665,"5,392",761,"9,598",859,"2,482","37,587"
Commercial,,,,,,,,,,,,,,,,,,
Sector,Waste type,,,,,,,,,,,,,,,,,
,Sector description,oils & solvents,"paints, varnishes, etc.",industrial sludges,other chemical wastes,Metallic Wastes,paper and card,"other non-metallic, non-mineral wastes",Discarded equipment,food,Other animal and plant waste,Sorting residues,other mixed general waste,Common Sludges,combustion wastes,C&D,Other mineral wastes,Total
16,"Retail - motor vehicles, parts and fuel; wholesale; other retail",284,5,9,82,376,"3,642","1,454",148,"1,647",19,,"4,852",74,34,125,1,"12,753"
17,"Hotels, catering",0,0,,58,5,167,722,1,153,,,"2,222",,,23,,"3,352"
18,"Transport, storage, communications",216,9,20,93,90,328,154,35,82,,,"1,071",40,,35,9,"2,182"
19,"Travel agents, other business, finance, real estate and computer related activities",6,1,3,415,77,"1,183",299,61,39,45,,"4,438",25,50,420,87,"7,150"
20,Miscellaneous,37,1,4,351,36,201,9,6,29,5,,800,3,7,55,9,"1,554"
21,Social work and public administration,2,0,,207,8,291,7,7,10,15,,785,,1,40,16,"1,390"
22,Education,0,0,0,137,12,163,30,3,107,0,,"1,401",11,,74,0,"1,939"
,Total comm. (000s) tonnes,546,16,36,"1,343",604,"5,976","2,675",262,"2,067",84,0,"15,569",154,92,772,123,"30,320"
,,,,,,,,,,,,,,,,,,
,Total (000s) tonnes,"1,130",237,"1,657","4,610","3,330","8,631","5,201",350,"6,189",106,665,"20,960",915,"9,690","1,631","2,605","67,907"
,,,,,,,,,,,,,,,,,,
"Source: Environment Agency, National Waste Production Survey 2002",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Source publication: e-Digest of Environmental Statistics, Published February 2006 ",,,,,,,,,,,,,,,,,,
"Department for Environment, Food and Rural Affairs ",,,,,,,,,,,,,,,,,,
http://www.defra.gov.uk/environment/statistics/index.htm ,,,,,,,,,,,,,,,,,,
