Dept family,Entity,Date Paid,Expense Type,Expense Area,Supplier,Trans no.,Amount exc VAT
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,FINANCE & CORPORATE SERVICES,OYEZSTRAKER,47811,-10.39
Communities and Local Government,Homes and Communities Agency,05/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,FINANCE & CORPORATE SERVICES,DIRECT TAXIS,297790,10.5
Communities and Local Government,Homes and Communities Agency,05/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,FINANCE & CORPORATE SERVICES,DIRECT TAXIS,297790,10.5
Communities and Local Government,Homes and Communities Agency,05/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,NORTH EAST,DIRECT TAXIS,297790,10.5
Communities and Local Government,Homes and Communities Agency,05/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,DIRECT TAXIS,297790,10.5
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,EXECUTIVE OFFICE,DIRECT TAXIS,301846,10.5
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,FINANCE & CORPORATE SERVICES,DIRECT TAXIS,301846,10.5
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,FINANCE & CORPORATE SERVICES,DIRECT TAXIS,301846,10.5
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,FINANCE & CORPORATE SERVICES,DIRECT TAXIS,301846,10.5
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,GROWTH & AFFORDABILITY,DIRECT TAXIS,301846,10.5
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,LONDON,DIRECT TAXIS,301846,10.5
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,DIRECT TAXIS,301846,10.5
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,DIRECT TAXIS,301846,10.5
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,DIRECT TAXIS,301846,10.5
