Dept family,Entity,Date Paid,Expense Type,Expense Area,Supplier,Trans no.,Amount exc VAT
Communities and Local Government,Homes and Communities Agency,26/08/2010,MULTI FUNCTION COPIERS,FINANCE & CORPORATE SERVICES,XEROX FINANCE,302912,569.47
Communities and Local Government,Homes and Communities Agency,26/08/2010,BUILDING DECS AND AD HOC WORKS,FINANCE & CORPORATE SERVICES,ICON DISPLAY LTD,302897,572
Communities and Local Government,Homes and Communities Agency,26/08/2010,BUILDING REPAIR,FINANCE & CORPORATE SERVICES,G. B. COOMBS,302904,573.33
Communities and Local Government,Homes and Communities Agency,26/08/2010,BUILDING REPAIR,FINANCE & CORPORATE SERVICES,G. B. COOMBS,302904,573.33
Communities and Local Government,Homes and Communities Agency,26/08/2010,BUILDING REPAIR,FINANCE & CORPORATE SERVICES,G. B. COOMBS,302904,573.33
Communities and Local Government,Homes and Communities Agency,26/08/2010,BUILDING REPAIR,FINANCE & CORPORATE SERVICES,G. B. COOMBS,302904,573.33
Communities and Local Government,Homes and Communities Agency,26/08/2010,BUILDING REPAIR,FINANCE & CORPORATE SERVICES,G. B. COOMBS,302904,573.34
Communities and Local Government,Homes and Communities Agency,12/08/2010,LEGAL FEES,NORTH WEST,EVERSHEDS LLP,298368,573.5
Communities and Local Government,Homes and Communities Agency,19/08/2010,BUILDINGS-ELECTRICITY,EAST MIDLANDS,SOUTHERN ELECTRIC,301543,573.58
Communities and Local Government,Homes and Communities Agency,05/08/2010,BUILDINGS-ELECTRICITY,EAST MIDLANDS,SOUTHERN ELECTRIC,299337,574.71
Communities and Local Government,Homes and Communities Agency,05/08/2010,GROUNDS MAINTENANCE GENERAL,EAST OF ENGLAND,SLP VEGETATION SOLUTIONS,300913,575
Communities and Local Government,Homes and Communities Agency,12/08/2010,EXTERNAL BUILDING MAINTENANCE,NORTH WEST,MAIN GROUP,301113,575
Communities and Local Government,Homes and Communities Agency,26/08/2010,OTHER PROFESSIONAL FEES,EAST OF ENGLAND,HICKTON,302189,576
Communities and Local Government,Homes and Communities Agency,19/08/2010,GROUNDS MAINTENANCE GENERAL,LONDON,QUAYSTONE CONSTRUCTION LIMITED,302176,576.52
Communities and Local Government,Homes and Communities Agency,12/08/2010,ENGINEERING CONSULTANTS,FINANCE & CORPORATE SERVICES,MBE CONSULTANTS LIMITED,301064,577
Communities and Local Government,Homes and Communities Agency,26/08/2010,BUILDINGS-ELECTRICITY,EAST MIDLANDS,NPOWER LIMITED,301813,578.17
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,FINANCE & CORPORATE SERVICES,GROSVENOR TRAVEL MANAGEMENT,302511,578.4
Communities and Local Government,Homes and Communities Agency,26/08/2010,MANAGEMENT COSTS,WEST MIDLANDS,TEP-THE ENVIRONMENT PARTNERSHIP,302861,579.96
Communities and Local Government,Homes and Communities Agency,12/08/2010,SIGNS & NOTICEBOARDS,MILTON KEYNES PARTNERSHIP,VINCI PARK SERVICES UK LTD,300944,580
Communities and Local Government,Homes and Communities Agency,12/08/2010,OFFICE FACS DILAPIDATIONS,FINANCE & CORPORATE SERVICES,LAMBERT SMITH HAMPTON,301470,580.95
Communities and Local Government,Homes and Communities Agency,05/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,SOUTH WEST,R.S.P LTD,300708,585
Communities and Local Government,Homes and Communities Agency,05/08/2010,PANEL FEES PROPERTY SERVICES,PLACE MAKING,CB RICHARD ELLIS,300257,585
Communities and Local Government,Homes and Communities Agency,31/08/2010,CPD,FINANCE & CORPORATE SERVICES,IOSH,47895,585
Communities and Local Government,Homes and Communities Agency,19/08/2010,AGENCY STAFF,FINANCE & CORPORATE SERVICES,ARTEMIS RECRUITMENT,302285,585.07
Communities and Local Government,Homes and Communities Agency,19/08/2010,AGENCY STAFF,FINANCE & CORPORATE SERVICES,ARTEMIS RECRUITMENT,302287,585.07
Communities and Local Government,Homes and Communities Agency,12/08/2010,LANDSCAPE MAINT-FUTURE CRA DIS,PLACE MAKING,MARTINS PLANT,300729,586.9
Communities and Local Government,Homes and Communities Agency,05/08/2010,LEGAL FEES,PLACE MAKING,FORSHAWS DAVIES RIDGWAY LLP,299367,587
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,FINANCE & CORPORATE SERVICES,OFFICE TEAM,47782,-587.34
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPING,MILTON KEYNES PARTNERSHIP,MARTINS PLANT,300355,588
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,YORKSHIRE & THE HUMBER,R.S.P LTD,295460,588
Communities and Local Government,Homes and Communities Agency,26/08/2010,PHOTOCOPIER LEASING,FINANCE & CORPORATE SERVICES,XEROX (UK) LTD,302907,589.83
Communities and Local Government,Homes and Communities Agency,26/08/2010,DISPOSAL FEES-ENGINEERING,PLACE MAKING,ATKINS LTD,302294,593.92
Communities and Local Government,Homes and Communities Agency,26/08/2010,DISPOSAL FEES-LEGAL,PLACE MAKING,DENTON WILDE SAPTE,302359,595
Communities and Local Government,Homes and Communities Agency,26/08/2010,DISPOSAL FEES-LEGAL,PLACE MAKING,DENTON WILDE SAPTE,303127,-595
Communities and Local Government,Homes and Communities Agency,26/08/2010,DISPOSAL FEES-LEGAL,PLACE MAKING,DENTON WILDE SAPTE,303128,595
Communities and Local Government,Homes and Communities Agency,19/08/2010,CAR LEASING - HIRE CHARGES,GROWTH & AFFORDABILITY,LEX AUTOLEASE LTD,302216,596.6
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,596.69
Communities and Local Government,Homes and Communities Agency,23/08/2010,BUILDINGS-ELECTRICITY,PLACE MAKING,NPOWER NORTHERN LIMITED,296366,598.99
Communities and Local Government,Homes and Communities Agency,23/08/2010,BUILDINGS-ELECTRICITY,PLACE MAKING,NPOWER NORTHERN LIMITED,302317,598.99
Communities and Local Government,Homes and Communities Agency,12/08/2010,LEGAL FEES,NORTH WEST,FORSHAWS DAVIES RIDGWAY LLP,301076,600
Communities and Local Government,Homes and Communities Agency,19/08/2010,DISPOSAL FEES-PROPERTY,PLACE MAKING,COLLIERS CRE,302153,600
Communities and Local Government,Homes and Communities Agency,26/08/2010,AGENCY STAFF,MILTON KEYNES PARTNERSHIP,ROBERT HALF INTERNATIONAL,302490,600
Communities and Local Government,Homes and Communities Agency,26/08/2010,GROUNDS MAINTENANCE GENERAL,NORTH WEST,BALDWIN LANDSCAPING,299512,600
Communities and Local Government,Homes and Communities Agency,26/08/2010,MANAGEMENT COSTS,WEST MIDLANDS,GVA GRIMLEY,299539,600
Communities and Local Government,Homes and Communities Agency,26/08/2010,PROJECT MGT CONSULTANTS,WEST MIDLANDS,GVA GRIMLEY,299537,600
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,600.43
Communities and Local Government,Homes and Communities Agency,05/08/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,300410,600.57
Communities and Local Government,Homes and Communities Agency,12/08/2010,LEGAL FEES,EAST MIDLANDS,DENTON WILDE SAPTE,299447,601.6
Communities and Local Government,Homes and Communities Agency,12/08/2010,LANDSCAPING,MILTON KEYNES PARTNERSHIP,MARTINS PLANT,301122,602
Communities and Local Government,Homes and Communities Agency,12/08/2010,PROPERTY,PLACE MAKING,FORSHAWS DAVIES RIDGWAY LLP,301080,604.1
Communities and Local Government,Homes and Communities Agency,12/08/2010,DISPOSAL FEES-LEGAL,MILTON KEYNES PARTNERSHIP,HEWITSONS SOLICITORS,301003,605
Communities and Local Government,Homes and Communities Agency,26/08/2010,ENGINEERING CONSULTANTS,MILTON KEYNES PARTNERSHIP,F J SAMUELY AND PARTNERS LTD,303050,606
Communities and Local Government,Homes and Communities Agency,12/08/2010,SECURITY,EAST OF ENGLAND,LEGION GROUP PLC,301546,607.4
Communities and Local Government,Homes and Communities Agency,12/08/2010,MULTI FUNCTION COPIERS,FINANCE & CORPORATE SERVICES,XEROX FINANCE,300985,609.89
Communities and Local Government,Homes and Communities Agency,19/08/2010,BUILDINGS-ELECTRICITY,LONDON,NPOWER LIMITED,302245,613.78
Communities and Local Government,Homes and Communities Agency,23/08/2010,BUILDINGS-ELECTRICITY,PLACE MAKING,NPOWER NORTHERN LIMITED,302319,613.79
Communities and Local Government,Homes and Communities Agency,31/08/2010,STAFF WELFARE,FINANCE & CORPORATE SERVICES,MARS DRINKS,47451,616.82
Communities and Local Government,Homes and Communities Agency,05/08/2010,LIGHTING & HEATING,FINANCE & CORPORATE SERVICES,BRITISH GAS BUSINESS,300310,617.59
Communities and Local Government,Homes and Communities Agency,23/08/2010,BUILDINGS-ELECTRICITY,PLACE MAKING,NPOWER NORTHERN LIMITED,296365,618.96
Communities and Local Government,Homes and Communities Agency,23/08/2010,BUILDINGS-ELECTRICITY,PLACE MAKING,NPOWER NORTHERN LIMITED,296367,618.96
Communities and Local Government,Homes and Communities Agency,23/08/2010,BUILDINGS-ELECTRICITY,PLACE MAKING,NPOWER NORTHERN LIMITED,302318,618.96
Communities and Local Government,Homes and Communities Agency,26/08/2010,ROADS & CAR PARKS,NORTH WEST,J W OUSBY & SON LTD,300761,620
Communities and Local Government,Homes and Communities Agency,26/08/2010,OTHER PROFESSIONAL FEES,EAST OF ENGLAND,GLOBAL RADIO SERVICES LIMITED,302481,621.6
Communities and Local Government,Homes and Communities Agency,19/08/2010,PANEL FEES PROPERTY SERVICES,EAST OF ENGLAND,GVA GRIMLEY,301434,-625
Communities and Local Government,Homes and Communities Agency,19/08/2010,PANEL FEES PROPERTY SERVICES,EAST OF ENGLAND,GVA GRIMLEY,301435,625
Communities and Local Government,Homes and Communities Agency,26/08/2010,BUILDINGS-ELECTRICITY,LONDON,SOUTHERN ELECTRIC,302573,628.67
Communities and Local Government,Homes and Communities Agency,26/08/2010,DIRECT MARKETING/MAILING,FINANCE & CORPORATE SERVICES,EWA LTD,302303,628.8
Communities and Local Government,Homes and Communities Agency,12/08/2010,AGENCY STAFF,MILTON KEYNES PARTNERSHIP,ROBERT HALF INTERNATIONAL,301513,630
Communities and Local Government,Homes and Communities Agency,19/08/2010,AGENCY STAFF,FINANCE & CORPORATE SERVICES,COMPUTER FUTURES SOLUTIONS,302553,630
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,YORKSHIRE & THE HUMBER,R.S.P LTD,295460,633
Communities and Local Government,Homes and Communities Agency,05/08/2010,CLEANING,FINANCE & CORPORATE SERVICES,IN DEPTH SERVICES (CLEANING) LTD,300775,634.66
Communities and Local Government,Homes and Communities Agency,12/08/2010,CAR LEASING - HIRE CHARGES,SOUTH WEST,LEX AUTOLEASE LTD,300738,-636.81
Communities and Local Government,Homes and Communities Agency,26/08/2010,INTERNAL BUILDING MAINTENANCE,NORTH WEST,GVA GRIMLEY,302894,638
Communities and Local Government,Homes and Communities Agency,12/08/2010,CAR LEASING - HIRE CHARGES,PLACE MAKING,LEX AUTOLEASE LTD,300738,639.05
Communities and Local Government,Homes and Communities Agency,19/08/2010,EXTERNAL BUILDING MAINTENANCE,PLACE MAKING,UPRIGHT SCAFFOLD,301469,640
Communities and Local Government,Homes and Communities Agency,05/08/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,300410,640.68
Communities and Local Government,Homes and Communities Agency,05/08/2010,OTHER PROFESSIONAL FEES,EAST OF ENGLAND,JORDAN FREEWEIGHTS,300769,643.22
Communities and Local Government,Homes and Communities Agency,05/08/2010,MISCELLANEOUS,EAST OF ENGLAND,VANITORIALS LTD,300221,643.67
Communities and Local Government,Homes and Communities Agency,05/08/2010,MISC PROFESSIONAL FEES,FINANCE & CORPORATE SERVICES,GEMINI CONSULTANTS LTD,300408,645
Communities and Local Government,Homes and Communities Agency,19/08/2010,STAFF WELFARE,FINANCE & CORPORATE SERVICES,MARS DRINKS UK LTD,302279,645.18
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAR LEASING - OTHER COSTS,SOUTH EAST,TABBITT VEHICLE BODY REPAIRS,47729,-645.99
Communities and Local Government,Homes and Communities Agency,19/08/2010,GROUNDS MAINTENANCE GENERAL,MILTON KEYNES PARTNERSHIP,R D LANDSCAPES LTD,301612,647.46
Communities and Local Government,Homes and Communities Agency,19/08/2010,AGENCY STAFF,FINANCE & CORPORATE SERVICES,COMPUTER FUTURES SOLUTIONS,302552,648
Communities and Local Government,Homes and Communities Agency,12/08/2010,DISPOSAL FEES-ENGINEERING,PLACE MAKING,WYG ENGINEERING LTD,300714,650
Communities and Local Government,Homes and Communities Agency,01/08/2010,PHOTOGRAPHY,FINANCE & CORPORATE SERVICES,THE DATA ARCHIVE LTD,298116,650
Communities and Local Government,Homes and Communities Agency,01/08/2010,PHOTOGRAPHY,FINANCE & CORPORATE SERVICES,THE DATA ARCHIVE LTD,298817,-650
Communities and Local Government,Homes and Communities Agency,05/08/2010,SECURITY,LONDON,WARD SECURITY LIMITED,300880,651.53
Communities and Local Government,Homes and Communities Agency,26/08/2010,LEGAL FEES,SOUTH EAST,BERWIN LEIGHTON PAISNER,302918,651.57
Communities and Local Government,Homes and Communities Agency,19/08/2010,PHOTOCOPIER LEASING,FINANCE & CORPORATE SERVICES,XEROX (UK) LTD,301841,653.79
Communities and Local Government,Homes and Communities Agency,19/08/2010,GROUNDS MAINTENANCE GENERAL,MILTON KEYNES PARTNERSHIP,R D LANDSCAPES LTD,301634,655.17
Communities and Local Government,Homes and Communities Agency,31/08/2010,STAFF WELFARE,FINANCE & CORPORATE SERVICES,MARS DRINKS,47456,655.44
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,655.66
Communities and Local Government,Homes and Communities Agency,19/08/2010,CAR LEASING - OTHER COSTS,PLACE MAKING,LEX AUTOLEASE LTD,302111,656.65
Communities and Local Government,Homes and Communities Agency,12/08/2010,ENGINEERING CONSULTANTS,FINANCE & CORPORATE SERVICES,MBE CONSULTANTS LIMITED,301063,657
Communities and Local Government,Homes and Communities Agency,19/08/2010,AGENCY STAFF,FINANCE & CORPORATE SERVICES,COMPUTER FUTURES SOLUTIONS,302551,657
Communities and Local Government,Homes and Communities Agency,05/08/2010,AGENCY STAFF,FINANCE & CORPORATE SERVICES,COMPUTER FUTURES SOLUTIONS,300960,660
Communities and Local Government,Homes and Communities Agency,19/08/2010,GROUNDS MAINTENANCE GENERAL,PLACE MAKING,COMPLETE GROUND MANAGEMENT LTD,300903,660
Communities and Local Government,Homes and Communities Agency,31/08/2010,GENERIC LEARNING,FINANCE & CORPORATE SERVICES,OPP,47891,662.5
Communities and Local Government,Homes and Communities Agency,12/08/2010,OTHER PROFESSIONAL FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,301416,663
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECURITY,SOUTH WEST,SAFE ESTATES SERVICES LTD,301653,663
Communities and Local Government,Homes and Communities Agency,19/08/2010,LEGAL FEES,NORTH EAST,EVERSHEDS LLP,302477,665.1
Communities and Local Government,Homes and Communities Agency,26/08/2010,END-USER CONSUMABLES,FINANCE & CORPORATE SERVICES,TECHCLEAN SERVICES LTD,302382,665.6
Communities and Local Government,Homes and Communities Agency,26/08/2010,SUNDRIES,FINANCE & CORPORATE SERVICES,TECHCLEAN SERVICES LTD,302382,665.6
Communities and Local Government,Homes and Communities Agency,19/08/2010,AGENCY STAFF,PLACE MAKING,ROBERT HALF INTERNATIONAL,302424,666.23
Communities and Local Government,Homes and Communities Agency,19/08/2010,PHOTOCOPIER LEASING,FINANCE & CORPORATE SERVICES,XEROX (UK) LTD,301840,667.19
Communities and Local Government,Homes and Communities Agency,26/08/2010,LANDSCAPE ARCHITECT FEES,EAST OF ENGLAND,RPS GROUP PLC,302408,670.04
Communities and Local Government,Homes and Communities Agency,31/08/2010,APPLICATIONS SUPPORT,FINANCE & CORPORATE SERVICES,OYEZSTRAKER,47831,-670.31
Communities and Local Government,Homes and Communities Agency,05/08/2010,AGENCY STAFF,PLACE MAKING,ROBERT HALF INTERNATIONAL,300954,671.78
Communities and Local Government,Homes and Communities Agency,12/08/2010,GROUNDS MAINTENANCE GENERAL,MILTON KEYNES PARTNERSHIP,J V HOUGH,301142,671.96
Communities and Local Government,Homes and Communities Agency,05/08/2010,AGENCY STAFF,FINANCE & CORPORATE SERVICES,COMPUTER FUTURES SOLUTIONS,300961,675
Communities and Local Government,Homes and Communities Agency,12/08/2010,AGENCY STAFF,FINANCE & CORPORATE SERVICES,COMPUTER FUTURES SOLUTIONS,300962,675
Communities and Local Government,Homes and Communities Agency,12/08/2010,AGENCY STAFF,FINANCE & CORPORATE SERVICES,COMPUTER FUTURES SOLUTIONS,301563,675
Communities and Local Government,Homes and Communities Agency,12/08/2010,AGENCY STAFF,FINANCE & CORPORATE SERVICES,COMPUTER FUTURES SOLUTIONS,301565,675
Communities and Local Government,Homes and Communities Agency,19/08/2010,AGENCY STAFF,FINANCE & CORPORATE SERVICES,COMPUTER FUTURES SOLUTIONS,302554,675
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,676.49
Communities and Local Government,Homes and Communities Agency,19/08/2010,LEGAL FEES,GROWTH & AFFORDABILITY,HM LAND REGISTRY,301094,679
Communities and Local Government,Homes and Communities Agency,12/08/2010,PROPERTY,PLACE MAKING,CARTER JONAS,300759,684.85
Communities and Local Government,Homes and Communities Agency,26/08/2010,DATA AND VOICE NETWORKS,FINANCE & CORPORATE SERVICES,VODAFONE CORPORATE,296401,-685.38
Communities and Local Government,Homes and Communities Agency,19/08/2010,LEGAL FEES,WEST MIDLANDS,TROWERS AND HAMLINS,302393,687.4
Communities and Local Government,Homes and Communities Agency,12/08/2010,DISPOSAL FEES-LEGAL,PLACE MAKING,FORSHAWS DAVIES RIDGWAY LLP,300203,688
Communities and Local Government,Homes and Communities Agency,31/08/2010,PUBLICATIONS,FINANCE & CORPORATE SERVICES,LEXIS NEXIS,46905,689
Communities and Local Government,Homes and Communities Agency,19/08/2010,PROPERTY,EAST OF ENGLAND,CLARKE BOND,301830,690
Communities and Local Government,Homes and Communities Agency,12/08/2010,DISPOSAL FEES-LEGAL,PLACE MAKING,HEWITSONS SOLICITORS,299646,700
Communities and Local Government,Homes and Communities Agency,12/08/2010,DISPOSAL FEES-LEGAL,PLACE MAKING,HEWITSONS SOLICITORS,301849,-700
Communities and Local Government,Homes and Communities Agency,12/08/2010,GROUNDS MAINTENANCE GENERAL,PLACE MAKING,METRO ROD,298888,700
Communities and Local Government,Homes and Communities Agency,12/08/2010,GROUNDS MAINTENANCE GENERAL,SOUTH WEST,CORNWALL COLLEGE FURTHER EDUCATION CORP.,300357,700
Communities and Local Government,Homes and Communities Agency,26/08/2010,DRAINS & SEWERS,EAST MIDLANDS,ALPHEUS ENVIRONMENTAL LTD,301123,700
Communities and Local Government,Homes and Communities Agency,26/08/2010,GROUNDS MAINTENANCE GENERAL,PLACE MAKING,COMPLETE GROUND MANAGEMENT LTD,300992,700
Communities and Local Government,Homes and Communities Agency,26/08/2010,ENGINEERING CONSULTANTS,PLACE MAKING,ATKINS LTD,302299,705.65
Communities and Local Government,Homes and Communities Agency,05/08/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,300410,706.4
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,707.09
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE MAINT-FUTURE CRA DIS,MILTON KEYNES PARTNERSHIP,R D LANDSCAPES LTD,301629,707.79
Communities and Local Government,Homes and Communities Agency,26/08/2010,LEGAL FEES,SOUTH WEST,PINSENT MASONS,301823,710
Communities and Local Government,Homes and Communities Agency,12/08/2010,DISPOSAL SCALE FEES LEGAL,PLACE MAKING,FORSHAWS DAVIES RIDGWAY LLP,301068,710.5
Communities and Local Government,Homes and Communities Agency,05/08/2010,AGENCY STAFF,FINANCE & CORPORATE SERVICES,ADECCO UK LTD,300896,710.85
Communities and Local Government,Homes and Communities Agency,05/08/2010,AGENCY STAFF,FINANCE & CORPORATE SERVICES,ADECCO UK LTD,300897,710.85
Communities and Local Government,Homes and Communities Agency,26/08/2010,AGENCY STAFF,LONDON,ADECCO UK LTD,302567,710.85
Communities and Local Government,Homes and Communities Agency,12/08/2010,DIRECTOR DEVELOPMENT,FINANCE & CORPORATE SERVICES,JOHN LANGFORD CONSULTING LTD,300319,712
Communities and Local Government,Homes and Communities Agency,26/08/2010,SITE SUPERVISION,NORTH EAST,AECOM LIMITED,302328,714.08
Communities and Local Government,Homes and Communities Agency,05/08/2010,GROUNDS MAINTENANCE GENERAL,LONDON,W. A. FAIRHURST & PARTNERS,300448,717.73
Communities and Local Government,Homes and Communities Agency,19/08/2010,CLEANING,FINANCE & CORPORATE SERVICES,INDEPTH MANAGED SERVICES,302275,718
Communities and Local Government,Homes and Communities Agency,12/08/2010,SECURITY,FINANCE & CORPORATE SERVICES,CHUBB ELECTRONIC SECURITY LIMITED,300989,720
Communities and Local Government,Homes and Communities Agency,26/08/2010,LEGAL FEES,SOUTH WEST,PINSENT MASONS,301825,720
Communities and Local Government,Homes and Communities Agency,05/08/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,300410,722.23
Communities and Local Government,Homes and Communities Agency,26/08/2010,LEGAL FEES,NORTH WEST,BERWIN LEIGHTON PAISNER,303003,731.57
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,736.95
Communities and Local Government,Homes and Communities Agency,26/08/2010,LEGAL FEES,NORTH WEST,TROWERS AND HAMLINS,302544,739
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECURITY,LONDON,QUAYSTONE CONSTRUCTION LIMITED,302178,741.92
Communities and Local Government,Homes and Communities Agency,26/08/2010,MASTERPLANNING NON EP ASSETS,YORKSHIRE & THE HUMBER,WYG ENGINEERING LTD,302579,744.49
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,745.21
Communities and Local Government,Homes and Communities Agency,19/08/2010,AGENCY STAFF,FINANCE & CORPORATE SERVICES,COMPUTER FUTURES SOLUTIONS,302556,748
Communities and Local Government,Homes and Communities Agency,19/08/2010,MISC PROFESSIONAL FEES,PLACE MAKING,BATH & NORTH EAST SOMERSET COUNCIL,279260,749.42
Communities and Local Government,Homes and Communities Agency,05/08/2010,AGENCY STAFF,FINANCE & CORPORATE SERVICES,COMPUTER FUTURES SOLUTIONS,300956,750
Communities and Local Government,Homes and Communities Agency,05/08/2010,PLANNING FEES,SOUTH WEST,GVA GRIMLEY,300292,750
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,751.2
Communities and Local Government,Homes and Communities Agency,05/08/2010,ENGINEERING CONSULTANTS,PLACE MAKING,PELL FRISCHMANN MILTON KEYNES LTD,299307,753.97
Communities and Local Government,Homes and Communities Agency,26/08/2010,LITERATURE/BROCHURES ETC,FINANCE & CORPORATE SERVICES,SEACOURT,303201,755
Communities and Local Government,Homes and Communities Agency,19/08/2010,PROPERTY,PLACE MAKING,GVA GRIMLEY,301739,760
Communities and Local Government,Homes and Communities Agency,19/08/2010,END-USER CONSUMABLES,FINANCE & CORPORATE SERVICES,EXCEL COURIERS,301752,761.38
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,762.38
Communities and Local Government,Homes and Communities Agency,26/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,RPS GROUP PLC,302427,763.2
Communities and Local Government,Homes and Communities Agency,19/08/2010,PANEL FEES-DEVELOPMENT MGNT,EAST OF ENGLAND,CURRIE & BROWN GROUP LTD,302142,763.75
Communities and Local Government,Homes and Communities Agency,26/08/2010,ENGINEERING CONSULTANTS,MILTON KEYNES PARTNERSHIP,PELL FRISCHMANN MILTON KEYNES LTD,303022,765
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECURITY,SOUTH WEST,SAFE ESTATES SERVICES LTD,301493,766
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAR LEASING - OTHER COSTS,YORKSHIRE & THE HUMBER,EVANS HALSHAW LEEDS,47869,-766.34
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,NORTH WEST,TEP-THE ENVIRONMENT PARTNERSHIP,301716,768.3
Communities and Local Government,Homes and Communities Agency,12/08/2010,DESKTOP,FINANCE & CORPORATE SERVICES,COMPUTER AID INTERNATIONAL,300864,768.5
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAR LEASING - OTHER COSTS,PLACE MAKING,NATIONWIDE CRC LTD DAVENTRY,47879,769.31
Communities and Local Government,Homes and Communities Agency,31/08/2010,END-USER CONSUMABLES,FINANCE & CORPORATE SERVICES,PROBRAND,47769,771.94
Communities and Local Government,Homes and Communities Agency,26/08/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,DOLPHIN COMMUNICATION (VOICE SYSTEMS) LTD,302893,774
Communities and Local Government,Homes and Communities Agency,26/08/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,DOLPHIN COMMUNICATION (VOICE SYSTEMS) LTD,302893,774
Communities and Local Government,Homes and Communities Agency,26/08/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,DOLPHIN COMMUNICATION (VOICE SYSTEMS) LTD,302893,774
Communities and Local Government,Homes and Communities Agency,26/08/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,DOLPHIN COMMUNICATION (VOICE SYSTEMS) LTD,302893,774
Communities and Local Government,Homes and Communities Agency,26/08/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,DOLPHIN COMMUNICATION (VOICE SYSTEMS) LTD,302893,774
Communities and Local Government,Homes and Communities Agency,26/08/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,DOLPHIN COMMUNICATION (VOICE SYSTEMS) LTD,302893,774
Communities and Local Government,Homes and Communities Agency,26/08/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,DOLPHIN COMMUNICATION (VOICE SYSTEMS) LTD,302893,774
Communities and Local Government,Homes and Communities Agency,26/08/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,DOLPHIN COMMUNICATION (VOICE SYSTEMS) LTD,302893,774
Communities and Local Government,Homes and Communities Agency,26/08/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,DOLPHIN COMMUNICATION (VOICE SYSTEMS) LTD,302893,774
Communities and Local Government,Homes and Communities Agency,26/08/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,DOLPHIN COMMUNICATION (VOICE SYSTEMS) LTD,302893,774
Communities and Local Government,Homes and Communities Agency,19/08/2010,LEGAL FEES,LONDON,BERWIN LEIGHTON PAISNER,296085,776.5
Communities and Local Government,Homes and Communities Agency,26/08/2010,LANDSCAPE ARCHITECT FEES,EAST OF ENGLAND,RPS GROUP PLC,302619,779.61
