Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,03/06/2010,Accommodation: Service Charges,Corporate Resources,Civil Aviation Authority,115222,"150,442.98",Payment of service charges 
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,07/06/2010,Fixed Assets: Acquisitions,Corporate Resources,Systemax Europe Limited Trading as MISCO,115404,"26,390.15",Payment relating to building fit out costs
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,08/06/2010,Fixed Assets: Acquisitions,Corporate Resources,Insight Direct (UK) Limited,114908,"44,062.50",Payment relating to purchase of  security software
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,08/06/2010,Counsel Fees,Litigation Division,Mr James Eadie Q.C,420168,"51,700.00",Payment to Counsel
HM Procurator General and Treasury Solicitor,Attorney General's Office,09/06/2010,Maintenance: Hardware,Attorney General's Office,Sungard Public Sector Limited,21697,"41,994.28",Payment relating to IT hardware maintenance
HM Procurator General and Treasury Solicitor,Attorney General's Office,09/06/2010,Maintenance: Hardware,Attorney General's Office,Sungard Public Sector Limited,21700,"43,139.20",Payment relating to IT hardware maintenance
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,09/06/2010,Agency Staff: Admin,Corporate Resources,Kelly Services (UK) Ltd,115232,"26,277.59",Payments for temporary agency staff performing administrative duties
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,09/06/2010,Accommodation: Rent,Corporate Resources,Civil Aviation Authority,115521,"1,030,672.39",Payment of rent  
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,09/06/2010,Accommodation: Service Charges,Corporate Resources,Civil Aviation Authority,115522,"323,456.82",Payment of service charges 
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,09/06/2010,Solicitor's Agents Fees,Litigation Division,Halliwells LLP,420486,"30,167.74",Payment to a local solicitor
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,11/06/2010,Solicitor's Agents Fees,Litigation Division,Kingsley Napley,421142,"35,580.17",Payment to a local solicitor
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,11/06/2010,Counsel Fees,Litigation Division,Mr Neil Garnham Q.C.,421240,"29,962.51",Payment to Counsel
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,14/06/2010,Counsel Fees,Litigation Division,Mr Rory Phillips Q.C.,421553,"45,369.11",Payment to Counsel
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,15/06/2010,Translation Fee,Litigation Division,FCO Translation Services,420312,"33,855.46",Payment for the provision of translation services
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,16/06/2010,Expert Report,Litigation Division,Atkins Consultants Ltd,421983,"68,411.95",Payment relating to a study written by one or more experts that states findings and offers opinions relating to a legal case
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,16/06/2010,Expert Report,Litigation Division,Atkins Consultants Ltd,421993,"53,770.66",Payment relating to a study written by one or more experts that states findings and offers opinions relating to a legal case
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,17/06/2010,Accommodation: Rent,Government Property Lawyers,Colliers Conrad Ritblat Erdman,115705,"123,590.03",Payment relating to rent and service charges
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,17/06/2010,Fixed Assets: Acquisitions,Corporate Resources,FWBS Limited,115709,"57,499.80",Payments relating to the implementation of our new Case Management System
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,22/06/2010,Expert Report,Litigation Division,Pricewaterhouse Coopers,422654,"30,410.18",Payment relating to a study written by one or more experts that states findings and offers opinions relating to a legal case
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,29/06/2010,Accommodation: Rates,Government Property Lawyers,Charity Commission,116026,"99,062.41",Payment of rates  
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,29/06/2010,Fixed Assets: Acquisitions,Corporate Resources,Systemax Europe Limited Trading as MISCO,116049,"79,170.43",Payment relating to building fit out costs
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,29/06/2010,Expert Report,Litigation Division,Davis Langdon LLP,423811,"27,994.38",Payment relating to a study written by one or more experts that states findings and offers opinions relating to a legal case
HM Procurator General and Treasury Solicitor,Attorney General's Office,30/06/2010,Maintenance: Hardware,Attorney General's Office,Sungard Public Sector Limited,21765,"46,131.53",Payment relating to IT hardware maintenance
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,30/06/2010,Fixed Assets: Acquisitions,Corporate Resources,Systemax Europe Limited Trading as MISCO,116113,"171,535.95",Payment relating to building fit out costs
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,30/06/2010,Fixed Assets: Acquisitions,Corporate Resources,BT Engage IT Limited,116191,"27,495.00",Payment relating to the purchase of IT
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,30/06/2010,Library: Network Services,Corporate Resources,Cable & Wireless,116201,"29,033.07","Payment relating to the provision of a hosting service for the LION database, the Government Legal Service intranet"
