Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Transaction Number,Amount,Description,Expenditure Type
Land Registry,Land Registry,09/07/2013,Hull Office,FF&F:Maintenance,Carillion Services Ltd,Large,957387,111.28,FF&F:Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Leicester Office,Property Maintenance,Carillion Services Ltd,Large,957387,464,Property Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Leicester Office,Security Expenses,Carillion Services Ltd,Large,957387,112.35,Security Expenses,Administration
Land Registry,Land Registry,09/07/2013,Wales Office,Property Maintenance,Carillion Services Ltd,Large,957387,93642.93,Property Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Wales Office,FF&F:Maintenance,Carillion Services Ltd,Large,957387,94.13,FF&F:Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Nottingham Office,Property Maintenance,Carillion Services Ltd,Large,957387,1389.56,Property Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Nottingham Office,Security Expenses,Carillion Services Ltd,Large,957387,631.3,Security Expenses,Administration
Land Registry,Land Registry,09/07/2013,Nottingham Office,FF&F:Maintenance,Carillion Services Ltd,Large,957387,1961.84,FF&F:Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Birkenhead Office,FF&F:Maintenance,Carillion Services Ltd,Large,957387,8.21,FF&F:Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Fylde Office,Property Maintenance,Carillion Services Ltd,Large,957387,15748.58,Property Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Fylde Office,Waste Disposal,Carillion Services Ltd,Large,957387,208.43,Waste Disposal,Administration
Land Registry,Land Registry,09/07/2013,Gloucester Computer Centre,Property Maintenance,Carillion Services Ltd,Large,957387,6363.15,Property Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Governance & Policy,Security Expenses,Carillion Services Ltd,Large,957387,1461.86,Security Expenses,Administration
Land Registry,Land Registry,09/07/2013,Governance & Policy,Property Maintenance,Carillion Services Ltd,Large,957387,7111.55,Property Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Governance & Policy,FF&F:Maintenance,Carillion Services Ltd,Large,957387,211.2,FF&F:Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Dir: Finance,Property Management; Other Fees,Carillion Services Ltd,Large,957387,267.5,Property Management; Other Fees,Administration
Land Registry,Land Registry,09/07/2013,Fylde Office,Security Expenses,Carillion Services Ltd,Large,957387,2606.37,Security Expenses,Administration
Land Registry,Land Registry,09/07/2013,Durham Office,FF&F:Maintenance,Carillion Services Ltd,Large,957387,182.32,FF&F:Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Weymouth Office,Gas,Carillion Services Ltd,Large,957387,1261.04,Gas,Administration
Land Registry,Land Registry,09/07/2013,RFS1 - Telford,Gas,Carillion Services Ltd,Large,957387,321.63,Gas,Administration
Land Registry,Land Registry,09/07/2013,Telford Office,Gas,Carillion Services Ltd,Large,957387,2394.81,Gas,Administration
Land Registry,Land Registry,09/07/2013,Telford Office,Electricity,Carillion Services Ltd,Large,957387,5413.8,Electricity,Administration
Land Registry,Land Registry,09/07/2013,Birkenhead Office,Gas,Carillion Services Ltd,Large,957387,1306.1,Gas,Administration
Land Registry,Land Registry,09/07/2013,Birkenhead Office,Office Cleaning Expenses,Carillion Services Ltd,Large,957387,5908.42,Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/07/2013,Birkenhead Office,Electricity,Carillion Services Ltd,Large,957387,3710.86,Electricity,Administration
Land Registry,Land Registry,09/07/2013,Wales Office,Gas,Carillion Services Ltd,Large,957387,760.01,Gas,Administration
Land Registry,Land Registry,09/07/2013,Weymouth Office,Waste Disposal,Carillion Services Ltd,Large,957387,221.17,Waste Disposal,Administration
Land Registry,Land Registry,09/07/2013,Wales Office,Electricity,Carillion Services Ltd,Large,957387,4996.61,Electricity,Administration
Land Registry,Land Registry,09/07/2013,Croydon Office,Security Expenses,Carillion Services Ltd,Large,957387,9371.34,Security Expenses,Administration
Land Registry,Land Registry,09/07/2013,Croydon Office,FF&F:Maintenance,Carillion Services Ltd,Large,957387,182.32,FF&F:Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Hull Office,Electricity,Carillion Services Ltd,Large,957387,6588.83,Electricity,Administration
Land Registry,Land Registry,09/07/2013,Fylde Office,Electricity,Carillion Services Ltd,Large,957387,4119.33,Electricity,Administration
Land Registry,Land Registry,09/07/2013,Durham Office,Electricity,Carillion Services Ltd,Large,957387,4295.7,Electricity,Administration
Land Registry,Land Registry,09/07/2013,Birkenhead Office,Security Expenses,Carillion Services Ltd,Large,957387,3251.88,Security Expenses,Administration
Land Registry,Land Registry,09/07/2013,Durham Office,Gas,Carillion Services Ltd,Large,957387,759.55,Gas,Administration
Land Registry,Land Registry,09/07/2013,Coventry Office,Electricity,Carillion Services Ltd,Large,957387,6025.09,Electricity,Administration
Land Registry,Land Registry,09/07/2013,Coventry Office,FF&F:Maintenance,Carillion Services Ltd,Large,957387,182.32,FF&F:Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Coventry Office,Pest Control,Carillion Services Ltd,Large,957387,53.17,Pest Control,Administration
Land Registry,Land Registry,09/07/2013,Leicester Office,Gas,Carillion Services Ltd,Large,957387,1357.64,Gas,Administration
Land Registry,Land Registry,09/07/2013,Weymouth Office,Property Maintenance,Carillion Services Ltd,Large,957387,2655.24,Property Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Fylde Office,Pest Control,Carillion Services Ltd,Large,957387,39.44,Pest Control,Administration
Land Registry,Land Registry,09/07/2013,Hull Office,Water,Carillion Services Ltd,Large,957387,330.93,Water,Administration
Land Registry,Land Registry,09/07/2013,RFS1 - Telford,Electricity,Carillion Services Ltd,Large,957387,42.13,Electricity,Administration
Land Registry,Land Registry,09/07/2013,Coventry Office,Gas,Carillion Services Ltd,Large,957387,2538.17,Gas,Administration
Land Registry,Land Registry,09/07/2013,Leicester Office,Electricity,Carillion Services Ltd,Large,957387,3218.42,Electricity,Administration
Land Registry,Land Registry,09/07/2013,Wales Office,Security Expenses,Carillion Services Ltd,Large,957387,2906.31,Security Expenses,Administration
Land Registry,Land Registry,09/07/2013,Gloucester Office,Gas,Carillion Services Ltd,Large,957387,753.35,Gas,Administration
Land Registry,Land Registry,09/07/2013,Hull Office,Gas,Carillion Services Ltd,Large,957387,2026.52,Gas,Administration
Land Registry,Land Registry,09/07/2013,RFS5 - Durham Belmont,Gas,Carillion Services Ltd,Large,957387,424.68,Gas,Administration
Land Registry,Land Registry,09/07/2013,Fylde Office,Gas,Carillion Services Ltd,Large,957387,1567.51,Gas,Administration
Land Registry,Land Registry,09/07/2013,Birkenhead Office,Property Maintenance,Carillion Services Ltd,Large,957387,4899,Property Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Durham Office,Security Expenses,Carillion Services Ltd,Large,957387,3465.83,Security Expenses,Administration
Land Registry,Land Registry,09/07/2013,Coventry Office,Waste Disposal,Carillion Services Ltd,Large,957387,348.33,Waste Disposal,Administration
Land Registry,Land Registry,09/07/2013,Fylde Office,FF&F:Maintenance,Carillion Services Ltd,Large,957387,182.32,FF&F:Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Weymouth Office,Electricity,Carillion Services Ltd,Large,957387,3525.51,Electricity,Administration
Land Registry,Land Registry,09/07/2013,Coventry Office,Water,Carillion Services Ltd,Large,957387,3523.99,Water,Administration
Land Registry,Land Registry,09/07/2013,Telford Office,Office Cleaning Expenses,Carillion Services Ltd,Large,957387,5307.13,Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/07/2013,Gloucester Office,Electricity,Carillion Services Ltd,Large,957387,4779.41,Electricity,Administration
Land Registry,Land Registry,09/07/2013,Wales Office,Waste Disposal,Carillion Services Ltd,Large,957387,519.08,Waste Disposal,Administration
Land Registry,Land Registry,09/07/2013,Croydon Office,Property Maintenance,Carillion Services Ltd,Large,957387,7176.27,Property Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Croydon Office,Electricity,Carillion Services Ltd,Large,957387,6150.89,Electricity,Administration
Land Registry,Land Registry,09/07/2013,Croydon Office,Gas,Carillion Services Ltd,Large,957387,2046.69,Gas,Administration
Land Registry,Land Registry,09/07/2013,Croydon Office,Vending Machine Consumables & Repairs,Carillion Services Ltd,Large,957387,189.13,Vending Machine Consumables & Repairs,Administration
Land Registry,Land Registry,09/07/2013,Croydon Office,Waste Disposal,Carillion Services Ltd,Large,957387,242.92,Waste Disposal,Administration
Land Registry,Land Registry,09/07/2013,Gloucester Office,Office Cleaning Expenses,Carillion Services Ltd,Large,957387,6016.23,Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/07/2013,Gloucester Office,Waste Disposal,Carillion Services Ltd,Large,957387,232.75,Waste Disposal,Administration
Land Registry,Land Registry,09/07/2013,Gloucester Office,Security Expenses,Carillion Services Ltd,Large,957387,10518.32,Security Expenses,Administration
Land Registry,Land Registry,09/07/2013,Gloucester Office,FF&F:Maintenance,Carillion Services Ltd,Large,957387,182.32,FF&F:Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Leicester Office,FF&F:Maintenance,Carillion Services Ltd,Large,957387,273.48,FF&F:Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Croydon Office,Office Cleaning Expenses,Carillion Services Ltd,Large,957387,6172.4,Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/07/2013,Durham Office,Pest Control,Carillion Services Ltd,Large,957387,48.8,Pest Control,Administration
Land Registry,Land Registry,09/07/2013,Gloucester Office,Property Maintenance,Carillion Services Ltd,Large,957387,3244.03,Property Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Birkenhead Office,Waste Disposal,Carillion Services Ltd,Large,957387,629.75,Waste Disposal,Administration
Land Registry,Land Registry,09/07/2013,Peterborough Office,Vending Machine Consumables & Repairs,Carillion Services Ltd,Large,957387,161.35,Vending Machine Consumables & Repairs,Administration
Land Registry,Land Registry,09/07/2013,Hull Office,Grounds Maintenance,Carillion Services Ltd,Large,957387,664.91,Grounds Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Durham Office,Property Maintenance,Carillion Services Ltd,Large,957387,5736.2,Property Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Durham Office,Water,Carillion Services Ltd,Large,957387,3482.9,Water,Administration
Land Registry,Land Registry,09/07/2013,Durham Office,Office Cleaning Expenses,Carillion Services Ltd,Large,957387,8726.76,Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/07/2013,Durham Office,Waste Disposal,Carillion Services Ltd,Large,957387,365.5,Waste Disposal,Administration
Land Registry,Land Registry,09/07/2013,Weymouth Office,Office Cleaning Expenses,Carillion Services Ltd,Large,957387,4117.29,Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/07/2013,Weymouth Office,Pest Control,Carillion Services Ltd,Large,957387,66.89,Pest Control,Administration
Land Registry,Land Registry,09/07/2013,Weymouth Office,Security Expenses,Carillion Services Ltd,Large,957387,3129.65,Security Expenses,Administration
Land Registry,Land Registry,09/07/2013,Weymouth Office,FF&F:Maintenance,Carillion Services Ltd,Large,957387,273.48,FF&F:Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Peterborough Office,Property Maintenance,Carillion Services Ltd,Large,957387,2225.32,Property Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Peterborough Office,Office Cleaning Expenses,Carillion Services Ltd,Large,957387,9933,Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/07/2013,Peterborough Office,Pest Control,Carillion Services Ltd,Large,957387,57.54,Pest Control,Administration
Land Registry,Land Registry,09/07/2013,Peterborough Office,Waste Disposal,Carillion Services Ltd,Large,957387,242.92,Waste Disposal,Administration
Land Registry,Land Registry,09/07/2013,Peterborough Office,Security Expenses,Carillion Services Ltd,Large,957387,3248.91,Security Expenses,Administration
Land Registry,Land Registry,09/07/2013,Peterborough Office,FF&F:Maintenance,Carillion Services Ltd,Large,957387,182.32,FF&F:Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Telford Office,Property Maintenance,Carillion Services Ltd,Large,957387,5659.25,Property Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Telford Office,Pest Control,Carillion Services Ltd,Large,957387,44.77,Pest Control,Administration
Land Registry,Land Registry,09/07/2013,Telford Office,Waste Disposal,Carillion Services Ltd,Large,957387,278.25,Waste Disposal,Administration
Land Registry,Land Registry,09/07/2013,Telford Office,Security Expenses,Carillion Services Ltd,Large,957387,2847.69,Security Expenses,Administration
Land Registry,Land Registry,09/07/2013,Telford Office,FF&F:Maintenance,Carillion Services Ltd,Large,957387,182.32,FF&F:Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Coventry Office,Property Maintenance,Carillion Services Ltd,Large,957387,10787.56,Property Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Coventry Office,Office Cleaning Expenses,Carillion Services Ltd,Large,957387,7700.55,Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/07/2013,Coventry Office,Vending Machine Consumables & Repairs,Carillion Services Ltd,Large,957387,222.09,Vending Machine Consumables & Repairs,Administration
Land Registry,Land Registry,09/07/2013,Coventry Office,Security Expenses,Carillion Services Ltd,Large,957387,7931.49,Security Expenses,Administration
Land Registry,Land Registry,09/07/2013,Hull Office,Property Maintenance,Carillion Services Ltd,Large,957387,5863.87,Property Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Hull Office,Office Cleaning Expenses,Carillion Services Ltd,Large,957387,5297.63,Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/07/2013,Hull Office,Pest Control,Carillion Services Ltd,Large,957387,49.84,Pest Control,Administration
Land Registry,Land Registry,09/07/2013,Hull Office,Vending Machine Consumables & Repairs,Carillion Services Ltd,Large,957387,215.2,Vending Machine Consumables & Repairs,Administration
Land Registry,Land Registry,09/07/2013,Hull Office,Waste Disposal,Carillion Services Ltd,Large,957387,139.08,Waste Disposal,Administration
Land Registry,Land Registry,09/07/2013,Hull Office,Security Expenses,Carillion Services Ltd,Large,957387,3234.32,Security Expenses,Administration
Land Registry,Land Registry,09/07/2013,Hull Office,FF&F:Maintenance,Carillion Services Ltd,Large,957387,182.32,FF&F:Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Leicester Office,Property Maintenance,Carillion Services Ltd,Large,957387,8324.54,Property Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Leicester Office,Office Cleaning Expenses,Carillion Services Ltd,Large,957387,3918.99,Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/07/2013,Leicester Office,Vending Machine Consumables & Repairs,Carillion Services Ltd,Large,957387,157.74,Vending Machine Consumables & Repairs,Administration
Land Registry,Land Registry,09/07/2013,Leicester Office,Waste Disposal,Carillion Services Ltd,Large,957387,331.58,Waste Disposal,Administration
Land Registry,Land Registry,09/07/2013,Leicester Office,Security Expenses,Carillion Services Ltd,Large,957387,2741.88,Security Expenses,Administration
Land Registry,Land Registry,09/07/2013,Wales Office,Property Maintenance,Carillion Services Ltd,Large,957387,4901.77,Property Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Wales Office,Office Cleaning Expenses,Carillion Services Ltd,Large,957387,4931.9,Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/07/2013,Wales Office,Pest Control,Carillion Services Ltd,Large,957387,59.11,Pest Control,Administration
Land Registry,Land Registry,09/07/2013,Wales Office,FF&F:Maintenance,Carillion Services Ltd,Large,957387,364.64,FF&F:Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Nottingham Office,Property Maintenance,Carillion Services Ltd,Large,957387,22081.97,Property Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Nottingham Office,Electricity,Carillion Services Ltd,Large,957387,8971.37,Electricity,Administration
Land Registry,Land Registry,09/07/2013,Nottingham Office,Gas,Carillion Services Ltd,Large,957387,574.95,Gas,Administration
Land Registry,Land Registry,09/07/2013,Nottingham Office,Office Cleaning Expenses,Carillion Services Ltd,Large,957387,11638.49,Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/07/2013,Nottingham Office,Pest Control,Carillion Services Ltd,Large,957387,314.48,Pest Control,Administration
Land Registry,Land Registry,09/07/2013,Nottingham Office,Waste Disposal,Carillion Services Ltd,Large,957387,904.83,Waste Disposal,Administration
Land Registry,Land Registry,09/07/2013,Nottingham Office,Security Expenses,Carillion Services Ltd,Large,957387,42287.46,Security Expenses,Administration
Land Registry,Land Registry,09/07/2013,Nottingham Office,FF&F:Maintenance,Carillion Services Ltd,Large,957387,182.32,FF&F:Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Birkenhead Office,Grounds Maintenance,Carillion Services Ltd,Large,957387,385.44,Grounds Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Birkenhead Office,Pest Control,Carillion Services Ltd,Large,957387,41.71,Pest Control,Administration
Land Registry,Land Registry,09/07/2013,Birkenhead Office,FF&F:Maintenance,Carillion Services Ltd,Large,957387,182.32,FF&F:Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Fylde Office,Property Maintenance,Carillion Services Ltd,Large,957387,3688.68,Property Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Fylde Office,Office Cleaning Expenses,Carillion Services Ltd,Large,957387,5382.73,Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/07/2013,Fylde Office,Vending Machine Consumables & Repairs,Carillion Services Ltd,Large,957387,218.76,Vending Machine Consumables & Repairs,Administration
Land Registry,Land Registry,09/07/2013,Fylde Office,Waste Disposal,Carillion Services Ltd,Large,957387,110.83,Waste Disposal,Administration
Land Registry,Land Registry,09/07/2013,RFS5 - Durham Belmont,Property Maintenance,Carillion Services Ltd,Large,957387,5187.41,Property Maintenance,Administration
Land Registry,Land Registry,09/07/2013,RFS5 - Durham Belmont,Water,Carillion Services Ltd,Large,957387,103.17,Water,Administration
Land Registry,Land Registry,09/07/2013,RFS4 - Coventry,Property Maintenance,Carillion Services Ltd,Large,957387,55.24,Property Maintenance,Administration
Land Registry,Land Registry,09/07/2013,RFS4 - Coventry,Office Cleaning Expenses,Carillion Services Ltd,Large,957387,247.47,Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/07/2013,RFS1 - Telford,Property Maintenance,Carillion Services Ltd,Large,957387,1696.89,Property Maintenance,Administration
Land Registry,Land Registry,09/07/2013,RFS1 - Telford,Water,Carillion Services Ltd,Large,957387,62.16,Water,Administration
Land Registry,Land Registry,09/07/2013,RFS8 - Birkenhead,Office Cleaning Expenses,Carillion Services Ltd,Large,957387,7.51,Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/07/2013,Weymouth Office,Vending Machine Consumables & Repairs,Carillion Services Ltd,Large,957387,120.1,Vending Machine Consumables & Repairs,Administration
Land Registry,Land Registry,09/07/2013,Fylde Office,Grounds Maintenance,Carillion Services Ltd,Large,957387,1374.54,Grounds Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Leicester Office,Pest Control,Carillion Services Ltd,Large,957387,55.62,Pest Control,Administration
Land Registry,Land Registry,09/07/2013,Croydon Office,Pest Control,Carillion Services Ltd,Large,957387,40.05,Pest Control,Administration
Land Registry,Land Registry,09/07/2013,Telford Office,Grounds Maintenance,Carillion Services Ltd,Large,957387,1241.32,Grounds Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Weymouth Office,Grounds Maintenance,Carillion Services Ltd,Large,957387,720.17,Grounds Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Leicester Office,Grounds Maintenance,Carillion Services Ltd,Large,957387,236.56,Grounds Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Gloucester Office,Grounds Maintenance,Carillion Services Ltd,Large,957387,671.75,Grounds Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Durham Office,Grounds Maintenance,Carillion Services Ltd,Large,957387,952.36,Grounds Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Gloucester Office,Pest Control,Carillion Services Ltd,Large,957387,46.52,Pest Control,Administration
Land Registry,Land Registry,09/07/2013,Gloucester Computer Centre,Electricity,Carillion Services Ltd,Large,957387,27217.15,Electricity,Administration
Land Registry,Land Registry,09/07/2013,Gloucester Computer Centre,Security Expenses,Carillion Services Ltd,Large,957387,8269.97,Security Expenses,Administration
Land Registry,Land Registry,09/07/2013,Gloucester Computer Centre,Office Cleaning Expenses,Carillion Services Ltd,Large,957387,10.63,Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/07/2013,Nottingham Office,Grounds Maintenance,Carillion Services Ltd,Large,957387,5803.66,Grounds Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Gloucester Computer Centre,Gas,Carillion Services Ltd,Large,957387,64,Gas,Administration
Land Registry,Land Registry,09/07/2013,Gloucester Computer Centre,Waste Disposal,Carillion Services Ltd,Large,957387,92.67,Waste Disposal,Administration
Land Registry,Land Registry,09/07/2013,Gloucester Computer Centre,Property Maintenance,Carillion Services Ltd,Large,957387,6819.98,Property Maintenance,Administration
Land Registry,Land Registry,09/07/2013,RFS15 - Plymouth Drakes Hill Court,Electricity,Carillion Services Ltd,Large,957387,2206.42,Electricity,Administration
Land Registry,Land Registry,09/07/2013,RFS15 - Plymouth Drakes Hill Court,Gas,Carillion Services Ltd,Large,957387,991.41,Gas,Administration
Land Registry,Land Registry,09/07/2013,RFS15 - Plymouth Drakes Hill Court,Water,Carillion Services Ltd,Large,957387,22.96,Water,Administration
Land Registry,Land Registry,09/07/2013,RFS15 - Plymouth Drakes Hill Court,Office Cleaning Expenses,Carillion Services Ltd,Large,957387,519.28,Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/07/2013,Coventry Office,Grounds Maintenance,Carillion Services Ltd,Large,957387,787.63,Grounds Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Gloucester Office,Vending Machine Consumables & Repairs,Carillion Services Ltd,Large,957387,729.73,Vending Machine Consumables & Repairs,Administration
Land Registry,Land Registry,09/07/2013,Wales Office,Vending Machine Consumables & Repairs,Carillion Services Ltd,Large,957387,182.05,Vending Machine Consumables & Repairs,Administration
Land Registry,Land Registry,09/07/2013,Wales Office,Grounds Maintenance,Carillion Services Ltd,Large,957387,530.47,Grounds Maintenance,Administration
Land Registry,Land Registry,09/07/2013,Gloucester Computer Centre,Pest Control,Carillion Services Ltd,Large,957387,28.51,Pest Control,Administration
Land Registry,Land Registry,09/07/2013,RFS15 - Plymouth Drakes Hill Court,FF&F:Maintenance,Carillion Services Ltd,Large,957387,91.16,FF&F:Maintenance,Administration
