Year,MthAndYrCode,Trust,New_Hospital,Type,FourAndUnder_sum,FiveToTwelve_sum,OverTwelve_sum,Total_sum
2016/17,September 2016,South Eastern,Ards MIU,Type 3,"1,086.00",0.00,0.00,"1,086.00"
2016/17,September 2016,South Eastern,Bangor MIU,Type 3,890.00,0.00,0.00,890.00
2016/17,September 2016,South Eastern,Downe,Type 2,"1,637.00",181.00,2.00,"1,820.00"
2016/17,September 2016,South Eastern,Lagan Valley,Type 2,"1,963.00",169.00,0.00,"2,132.00"
2016/17,September 2016,South Eastern,Ulster,Type 1,"5,822.00","1,973.00",22.00,"7,817.00"
2016/17,September 2016,Southern,Craigavon Area,Type 1,"4,711.00","2,263.00",0.00,"6,974.00"
2016/17,September 2016,Southern,Daisy Hill,Type 1,"3,435.00",870.00,0.00,"4,305.00"
2016/17,September 2016,Southern,South Tyrone,Type 3,"2,675.00",0.00,0.00,"2,675.00"
2016/17,September 2016,Western,Altnagelvin Area,Type 1,"3,735.00","1,531.00",6.00,"5,272.00"
2016/17,September 2016,Western,South West Acute,Type 1,"2,052.00",598.00,0.00,"2,650.00"
2016/17,September 2016,Western,Tyrone County,Type 3,"1,450.00",1.00,0.00,"1,451.00"
2016/17,October 2016,Belfast,Mater,Type 1,"2,850.00","1,067.00",27.00,"3,944.00"
2016/17,October 2016,Belfast,Royal Victoria,Type 1,"5,518.00","2,694.00",68.00,"8,280.00"
2016/17,October 2016,Belfast,RBHSC,Type 1,"2,986.00",557.00,0.00,"3,543.00"
2016/17,October 2016,Belfast,Royal Victoria (RAES),Type 2,"1,270.00",137.00,0.00,"1,407.00"
2016/17,October 2016,Northern,Antrim Area,Type 1,"4,522.00","2,469.00",118.00,"7,109.00"
2016/17,October 2016,Northern,Causeway,Type 1,"2,457.00","1,147.00",0.00,"3,604.00"
2016/17,October 2016,Northern,Mid-Ulster,Type 3,802.00,0.00,0.00,802.00
2016/17,October 2016,South Eastern,Ards MIU,Type 3,957.00,0.00,0.00,957.00
2016/17,October 2016,South Eastern,Bangor MIU,Type 3,906.00,0.00,0.00,906.00
2016/17,October 2016,South Eastern,Downe,Type 2,"1,507.00",146.00,8.00,"1,661.00"
2016/17,October 2016,South Eastern,Lagan Valley,Type 2,"1,801.00",227.00,0.00,"2,028.00"
2016/17,October 2016,South Eastern,Ulster,Type 1,"5,905.00","2,094.00",44.00,"8,043.00"
2016/17,October 2016,Southern,Craigavon Area,Type 1,"4,761.00","2,514.00",13.00,"7,288.00"
2016/17,October 2016,Southern,Daisy Hill,Type 1,"3,480.00","1,176.00",0.00,"4,656.00"
2016/17,October 2016,Southern,South Tyrone,Type 3,"2,504.00",0.00,0.00,"2,504.00"
2016/17,October 2016,Western,Altnagelvin Area,Type 1,"3,533.00","1,811.00",21.00,"5,365.00"
2016/17,October 2016,Western,South West Acute,Type 1,"2,067.00",755.00,9.00,"2,831.00"
2016/17,October 2016,Western,Tyrone County,Type 3,"1,383.00",3.00,0.00,"1,386.00"
2016/17,November 2016,Belfast,Mater,Type 1,"2,851.00",846.00,29.00,"3,726.00"
2016/17,November 2016,Belfast,Royal Victoria,Type 1,"5,106.00","2,337.00",81.00,"7,524.00"
2016/17,November 2016,Belfast,RBHSC,Type 1,"2,984.00",577.00,0.00,"3,561.00"
2016/17,November 2016,Belfast,Royal Victoria (RAES),Type 2,"1,206.00",162.00,0.00,"1,368.00"
2016/17,November 2016,Northern,Antrim Area,Type 1,"4,199.00","2,249.00",163.00,"6,611.00"
2016/17,November 2016,Northern,Causeway,Type 1,"2,238.00","1,126.00",0.00,"3,364.00"
2016/17,November 2016,Northern,Mid-Ulster,Type 3,723.00,3.00,0.00,726.00
2016/17,November 2016,South Eastern,Ards MIU,Type 3,868.00,0.00,0.00,868.00
2016/17,November 2016,South Eastern,Bangor MIU,Type 3,805.00,0.00,0.00,805.00
2016/17,November 2016,South Eastern,Downe,Type 2,"1,490.00",173.00,19.00,"1,682.00"
2016/17,November 2016,South Eastern,Lagan Valley,Type 2,"1,728.00",215.00,0.00,"1,943.00"
2016/17,November 2016,South Eastern,Ulster,Type 1,"5,441.00","1,997.00",114.00,"7,552.00"
2016/17,November 2016,Southern,Craigavon Area,Type 1,"4,394.00","2,449.00",12.00,"6,855.00"
2016/17,November 2016,Southern,Daisy Hill,Type 1,"3,081.00","1,151.00",6.00,"4,238.00"
2016/17,November 2016,Southern,South Tyrone,Type 3,"2,150.00",0.00,0.00,"2,150.00"
2016/17,November 2016,Western,Altnagelvin Area,Type 1,"3,323.00","1,575.00",11.00,"4,909.00"
2016/17,November 2016,Western,South West Acute,Type 1,"1,945.00",767.00,25.00,"2,737.00"
2016/17,November 2016,Western,Tyrone County,Type 3,"1,219.00",1.00,0.00,"1,220.00"
2016/17,December 2016,Belfast,Mater,Type 1,"2,613.00","1,108.00",80.00,"3,801.00"
2016/17,December 2016,Belfast,Royal Victoria,Type 1,"4,905.00","2,567.00",79.00,"7,551.00"
2016/17,December 2016,Belfast,RBHSC,Type 1,"2,642.00",693.00,0.00,"3,335.00"
2016/17,December 2016,Belfast,Royal Victoria (RAES),Type 2,"1,141.00",160.00,0.00,"1,301.00"
2016/17,December 2016,Northern,Antrim Area,Type 1,"4,281.00","2,210.00",270.00,"6,761.00"
2016/17,December 2016,Northern,Causeway,Type 1,"2,122.00","1,331.00",4.00,"3,457.00"
2016/17,December 2016,Northern,Mid-Ulster,Type 3,597.00,0.00,0.00,597.00
2016/17,December 2016,South Eastern,Ards MIU,Type 3,825.00,0.00,0.00,825.00
2016/17,December 2016,South Eastern,Bangor MIU,Type 3,639.00,0.00,0.00,639.00
2016/17,December 2016,South Eastern,Downe,Type 2,"1,389.00",211.00,31.00,"1,631.00"
2016/17,December 2016,South Eastern,Lagan Valley,Type 2,"1,521.00",337.00,0.00,"1,858.00"
2016/17,December 2016,South Eastern,Ulster,Type 1,"5,129.00","2,435.00",177.00,"7,741.00"
2016/17,December 2016,Southern,Craigavon Area,Type 1,"4,441.00","2,419.00",123.00,"6,983.00"
2016/17,December 2016,Southern,Daisy Hill,Type 1,"3,017.00","1,527.00",20.00,"4,564.00"
2016/17,December 2016,Southern,South Tyrone,Type 3,"2,086.00",0.00,0.00,"2,086.00"
2016/17,December 2016,Western,Altnagelvin Area,Type 1,"2,991.00","1,891.00",80.00,"4,962.00"
2016/17,December 2016,Western,South West Acute,Type 1,"1,862.00",925.00,22.00,"2,809.00"
2016/17,December 2016,Western,Tyrone County,Type 3,"1,186.00",5.00,0.00,"1,191.00"
2016/17,January 2017,Belfast,Mater,Type 1,"2,577.00","1,172.00",145.00,"3,894.00"
2016/17,January 2017,Belfast,Royal Victoria,Type 1,"4,876.00","2,339.00",316.00,"7,531.00"
2016/17,January 2017,Belfast,RBHSC,Type 1,"2,480.00",451.00,0.00,"2,931.00"
2016/17,January 2017,Belfast,Royal Victoria (RAES),Type 2,"1,167.00",194.00,0.00,"1,361.00"
2016/17,January 2017,Northern,Antrim Area,Type 1,"4,949.00","1,412.00",339.00,"6,700.00"
2016/17,January 2017,Northern,Causeway,Type 1,"2,154.00","1,142.00",162.00,"3,458.00"
2016/17,January 2017,Northern,Mid-Ulster,Type 3,705.00,0.00,0.00,705.00
2016/17,January 2017,South Eastern,Ards MIU,Type 3,961.00,0.00,0.00,961.00
2016/17,January 2017,South Eastern,Bangor MIU,Type 3,763.00,0.00,0.00,763.00
2016/17,January 2017,South Eastern,Downe,Type 2,"1,515.00",163.00,27.00,"1,705.00"
2016/17,January 2017,South Eastern,Lagan Valley,Type 2,"1,603.00",281.00,14.00,"1,898.00"
2016/17,January 2017,South Eastern,Ulster,Type 1,"5,208.00","2,016.00",351.00,"7,575.00"
2016/17,January 2017,Southern,Craigavon Area,Type 1,"4,166.00","2,436.00",181.00,"6,783.00"
2016/17,January 2017,Southern,Daisy Hill,Type 1,"2,937.00","1,201.00",104.00,"4,242.00"
2016/17,January 2017,Southern,South Tyrone,Type 3,"2,116.00",0.00,0.00,"2,116.00"
2016/17,January 2017,Western,Altnagelvin Area,Type 1,"2,918.00","1,718.00",101.00,"4,737.00"
2016/17,January 2017,Western,South West Acute,Type 1,"1,800.00",794.00,74.00,"2,668.00"
2016/17,January 2017,Western,Tyrone County,Type 3,"1,209.00",0.00,0.00,"1,209.00"
2016/17,February 2017,Belfast,Mater,Type 1,"2,584.00",916.00,102.00,"3,602.00"
2016/17,February 2017,Belfast,Royal Victoria,Type 1,"4,357.00","2,425.00",210.00,"6,992.00"
2016/17,February 2017,Belfast,RBHSC,Type 1,"2,454.00",437.00,0.00,"2,891.00"
2016/17,February 2017,Belfast,Royal Victoria (RAES),Type 2,"1,140.00",222.00,0.00,"1,362.00"
2016/17,February 2017,Northern,Antrim Area,Type 1,"4,969.00","1,201.00",87.00,"6,257.00"
2016/17,February 2017,Northern,Causeway,Type 1,"2,021.00","1,110.00",71.00,"3,202.00"
2016/17,February 2017,Northern,Mid-Ulster,Type 3,734.00,0.00,0.00,734.00
2016/17,February 2017,South Eastern,Ards MIU,Type 3,834.00,0.00,0.00,834.00
2016/17,February 2017,South Eastern,Bangor MIU,Type 3,692.00,0.00,0.00,692.00
2016/17,February 2017,South Eastern,Downe,Type 2,"1,406.00",154.00,23.00,"1,583.00"
2016/17,February 2017,South Eastern,Lagan Valley,Type 2,"1,573.00",242.00,1.00,"1,816.00"
2016/17,February 2017,South Eastern,Ulster,Type 1,"4,975.00","1,830.00",74.00,"6,879.00"
2016/17,February 2017,Southern,Craigavon Area,Type 1,"4,029.00","2,147.00",54.00,"6,230.00"
2016/17,February 2017,Southern,Daisy Hill,Type 1,"2,751.00","1,054.00",76.00,"3,881.00"
2016/17,February 2017,Southern,South Tyrone,Type 3,"2,266.00",0.00,0.00,"2,266.00"
2016/17,February 2017,Western,Altnagelvin Area,Type 1,"3,071.00","1,542.00",13.00,"4,626.00"
2016/17,February 2017,Western,South West Acute,Type 1,"1,869.00",487.00,4.00,"2,360.00"
2016/17,February 2017,Western,Tyrone County,Type 3,"1,163.00",0.00,0.00,"1,163.00"
2016/17,March 2017,Belfast,Mater,Type 1,"2,961.00","1,062.00",67.00,"4,090.00"
2016/17,March 2017,Belfast,Royal Victoria,Type 1,"5,014.00","3,032.00",92.00,"8,138.00"
2016/17,March 2017,Belfast,RBHSC,Type 1,"2,963.00",644.00,0.00,"3,607.00"
2016/17,March 2017,Belfast,Royal Victoria (RAES),Type 2,"1,317.00",212.00,0.00,"1,529.00"
2016/17,March 2017,Northern,Antrim Area,Type 1,"5,247.00","2,021.00",153.00,"7,421.00"
2016/17,March 2017,Northern,Causeway,Type 1,"2,804.00","1,091.00",15.00,"3,910.00"
2016/17,March 2017,Northern,Mid-Ulster,Type 3,995.00,0.00,0.00,995.00
2016/17,March 2017,South Eastern,Ards MIU,Type 3,"1,070.00",0.00,0.00,"1,070.00"
2016/17,March 2017,South Eastern,Bangor MIU,Type 3,955.00,0.00,0.00,955.00
2016/17,March 2017,South Eastern,Downe,Type 2,"1,780.00",165.00,19.00,"1,964.00"
2016/17,March 2017,South Eastern,Lagan Valley,Type 2,"1,879.00",290.00,0.00,"2,169.00"
2016/17,March 2017,South Eastern,Ulster,Type 1,"5,536.00","2,509.00",63.00,"8,108.00"
2016/17,March 2017,Southern,Craigavon Area,Type 1,"4,812.00","2,530.00",80.00,"7,422.00"
2016/17,March 2017,Southern,Daisy Hill,Type 1,"3,376.00","1,139.00",69.00,"4,584.00"
2016/17,March 2017,Southern,South Tyrone,Type 3,"2,675.00",0.00,0.00,"2,675.00"
2016/17,March 2017,Western,Altnagelvin Area,Type 1,"3,831.00","1,636.00",24.00,"5,491.00"
2016/17,March 2017,Western,South West Acute,Type 1,"2,412.00",341.00,3.00,"2,756.00"
2016/17,March 2017,Western,Tyrone County,Type 3,"1,537.00",0.00,0.00,"1,537.00"
2017/18,April 2017,Belfast,Mater,Type 1,"2,604.00","1,260.00",50.00,"3,914.00"
2017/18,April 2017,Belfast,Royal Victoria,Type 1,"5,105.00","2,657.00",13.00,"7,775.00"
2017/18,April 2017,Belfast,RBHSC,Type 1,"2,862.00",511.00,0.00,"3,373.00"
2017/18,April 2017,Belfast,Royal Victoria (RAES),Type 2,"1,248.00",138.00,0.00,"1,386.00"
2017/18,April 2017,Northern,Antrim Area,Type 1,"4,934.00","2,154.00",163.00,"7,251.00"
2017/18,April 2017,Northern,Causeway,Type 1,"2,858.00","1,125.00",23.00,"4,006.00"
2017/18,April 2017,Northern,Mid-Ulster,Type 3,712.00,0.00,0.00,712.00
2017/18,April 2017,South Eastern,Ards MIU,Type 3,882.00,0.00,0.00,882.00
2017/18,April 2017,South Eastern,Bangor MIU,Type 3,748.00,0.00,0.00,748.00
2017/18,April 2017,South Eastern,Downe,Type 2,"1,746.00",127.00,1.00,"1,874.00"
2017/18,April 2017,South Eastern,Lagan Valley,Type 2,"1,609.00",185.00,0.00,"1,794.00"
2017/18,April 2017,South Eastern,Ulster,Type 1,"5,238.00","2,342.00",203.00,"7,783.00"
2017/18,April 2017,Southern,Craigavon Area,Type 1,"4,416.00","2,629.00",203.00,"7,248.00"
2017/18,April 2017,Southern,Daisy Hill,Type 1,"3,485.00",956.00,19.00,"4,460.00"
2017/18,April 2017,Southern,South Tyrone,Type 3,"2,619.00",0.00,0.00,"2,619.00"
2017/18,April 2017,Western,Altnagelvin Area,Type 1,"3,720.00","1,581.00",25.00,"5,326.00"
2017/18,April 2017,Western,South West Acute,Type 1,"2,548.00",310.00,3.00,"2,861.00"
2017/18,April 2017,Western,Tyrone County,Type 3,"1,419.00",1.00,0.00,"1,420.00"
2017/18,May 2017,Belfast,Mater,Type 1,"2,906.00","1,253.00",84.00,"4,243.00"
2017/18,May 2017,Belfast,Royal Victoria,Type 1,"5,676.00","2,704.00",68.00,"8,448.00"
2017/18,May 2017,Belfast,RBHSC,Type 1,"3,174.00",571.00,0.00,"3,745.00"
2017/18,May 2017,Belfast,Royal Victoria (RAES),Type 2,"1,297.00",191.00,0.00,"1,488.00"
2017/18,May 2017,Northern,Antrim Area,Type 1,"6,221.00","1,644.00",38.00,"7,903.00"
2017/18,May 2017,Northern,Causeway,Type 1,"2,797.00","1,251.00",0.00,"4,048.00"
2017/18,May 2017,Northern,Mid-Ulster,Type 3,"1,009.00",0.00,0.00,"1,009.00"
2017/18,May 2017,South Eastern,Ards MIU,Type 3,"1,196.00",0.00,0.00,"1,196.00"
2017/18,May 2017,South Eastern,Bangor MIU,Type 3,999.00,1.00,0.00,"1,000.00"
2017/18,May 2017,South Eastern,Downe,Type 2,"1,936.00",140.00,3.00,"2,079.00"
2017/18,May 2017,South Eastern,Lagan Valley,Type 2,"2,007.00",229.00,2.00,"2,238.00"
2017/18,May 2017,South Eastern,Ulster,Type 1,"5,642.00","2,647.00",177.00,"8,466.00"
2017/18,May 2017,Southern,Craigavon Area,Type 1,"4,935.00","2,686.00",132.00,"7,753.00"
2017/18,May 2017,Southern,Daisy Hill,Type 1,"3,795.00","1,222.00",25.00,"5,042.00"
2017/18,May 2017,Southern,South Tyrone,Type 3,"3,058.00",0.00,0.00,"3,058.00"
2017/18,May 2017,Western,Altnagelvin Area,Type 1,"4,769.00","1,142.00",24.00,"5,935.00"
2017/18,May 2017,Western,South West Acute,Type 1,"2,687.00",469.00,2.00,"3,158.00"
2017/18,May 2017,Western,Tyrone County,Type 3,"1,604.00",2.00,0.00,"1,606.00"
2017/18,June 2017,Belfast,Mater,Type 1,"2,920.00","1,098.00",26.00,"4,044.00"
2017/18,June 2017,Belfast,Royal Victoria,Type 1,"6,565.00","1,319.00",5.00,"7,889.00"
2017/18,June 2017,Belfast,RBHSC,Type 1,"2,982.00",219.00,0.00,"3,201.00"
2017/18,June 2017,Belfast,Royal Victoria (RAES),Type 2,"1,351.00",173.00,0.00,"1,524.00"
2017/18,June 2017,Northern,Antrim Area,Type 1,"5,501.00","1,786.00",25.00,"7,312.00"
2017/18,June 2017,Northern,Causeway,Type 1,"2,535.00","1,267.00",3.00,"3,805.00"
2017/18,June 2017,Northern,Mid-Ulster,Type 3,"1,025.00",0.00,0.00,"1,025.00"
2017/18,June 2017,South Eastern,Ards MIU,Type 3,"1,140.00",0.00,0.00,"1,140.00"
2017/18,June 2017,South Eastern,Bangor MIU,Type 3,913.00,0.00,0.00,913.00
2017/18,June 2017,South Eastern,Downe,Type 2,"1,776.00",122.00,16.00,"1,914.00"
2017/18,June 2017,South Eastern,Lagan Valley,Type 2,"1,906.00",240.00,0.00,"2,146.00"
2017/18,June 2017,South Eastern,Ulster,Type 1,"5,803.00","2,175.00",104.00,"8,082.00"
2017/18,June 2017,Southern,Craigavon Area,Type 1,"5,853.00","1,400.00",59.00,"7,312.00"
2017/18,June 2017,Southern,Daisy Hill,Type 1,"3,581.00","1,015.00",45.00,"4,641.00"
2017/18,June 2017,Southern,South Tyrone,Type 3,"2,810.00",0.00,0.00,"2,810.00"
2017/18,June 2017,Western,Altnagelvin Area,Type 1,"4,279.00","1,214.00",9.00,"5,502.00"
2017/18,June 2017,Western,South West Acute,Type 1,"2,463.00",377.00,4.00,"2,844.00"
2017/18,June 2017,Western,Tyrone County,Type 3,"1,508.00",0.00,0.00,"1,508.00"
