Year,MthAndYrCode,Trust,New_Hospital,Type,FourAndUnder_sum,FiveToTwelve_sum,OverTwelve_sum,Total_sum
2015/16,December 2015,Belfast,Royal Victoria,Type 1,"4,593.00","2,653.00",15.00,"7,261.00"
2015/16,December 2015,Belfast,RBHSC,Type 1,"2,624.00",540.00,0.00,"3,164.00"
2015/16,December 2015,Belfast,Royal Victoria (RAES),Type 2,"1,179.00",0.00,0.00,"1,179.00"
2015/16,December 2015,Northern,Antrim Area,Type 1,"4,012.00","2,241.00",82.00,"6,335.00"
2015/16,December 2015,Northern,Causeway,Type 1,"2,147.00","1,283.00",7.00,"3,437.00"
2015/16,December 2015,Northern,Mid-Ulster,Type 3,618.00,0.00,0.00,618.00
2015/16,December 2015,South Eastern,Ards MIU,Type 3,787.00,0.00,0.00,787.00
2015/16,December 2015,South Eastern,Bangor MIU,Type 3,625.00,0.00,0.00,625.00
2015/16,December 2015,South Eastern,Downe,Type 2,"1,332.00",124.00,13.00,"1,469.00"
2015/16,December 2015,South Eastern,Lagan Valley,Type 2,"1,559.00",181.00,0.00,"1,740.00"
2015/16,December 2015,South Eastern,Ulster,Type 1,"5,123.00","1,928.00",162.00,"7,213.00"
2015/16,December 2015,Southern,Craigavon Area,Type 1,"4,638.00","2,063.00",2.00,"6,703.00"
2015/16,December 2015,Southern,Daisy Hill,Type 1,"3,405.00",569.00,0.00,"3,974.00"
2015/16,December 2015,Southern,South Tyrone,Type 3,"1,769.00",0.00,0.00,"1,769.00"
2015/16,December 2015,Western,Altnagelvin Area,Type 1,"3,631.00","1,393.00",4.00,"5,028.00"
2015/16,December 2015,Western,South West Acute,Type 1,"1,881.00",789.00,5.00,"2,675.00"
2015/16,December 2015,Western,Tyrone County,Type 3,"1,228.00",0.00,0.00,"1,228.00"
2015/16,January 2016,Belfast,Mater,Type 1,"2,816.00",838.00,40.00,"3,694.00"
2015/16,January 2016,Belfast,Royal Victoria,Type 1,"4,549.00","2,729.00",88.00,"7,366.00"
2015/16,January 2016,Belfast,RBHSC,Type 1,"2,810.00",204.00,0.00,"3,014.00"
2015/16,January 2016,Belfast,Royal Victoria (RAES),Type 2,"1,218.00",0.00,0.00,"1,218.00"
2015/16,January 2016,Northern,Antrim Area,Type 1,"4,333.00","1,960.00",112.00,"6,405.00"
2015/16,January 2016,Northern,Causeway,Type 1,"2,227.00","1,129.00",12.00,"3,368.00"
2015/16,January 2016,Northern,Mid-Ulster,Type 3,581.00,0.00,0.00,581.00
2015/16,January 2016,South Eastern,Ards MIU,Type 3,779.00,0.00,0.00,779.00
2015/16,January 2016,South Eastern,Bangor MIU,Type 3,614.00,0.00,0.00,614.00
2015/16,January 2016,South Eastern,Downe,Type 2,"1,281.00",132.00,15.00,"1,428.00"
2015/16,January 2016,South Eastern,Lagan Valley,Type 2,"1,454.00",228.00,0.00,"1,682.00"
2015/16,January 2016,South Eastern,Ulster,Type 1,"4,976.00","2,050.00",197.00,"7,223.00"
2015/16,January 2016,Southern,Craigavon Area,Type 1,"4,434.00","2,172.00",43.00,"6,649.00"
2015/16,January 2016,Southern,Daisy Hill,Type 1,"3,223.00",878.00,5.00,"4,106.00"
2015/16,January 2016,Southern,South Tyrone,Type 3,"1,857.00",0.00,0.00,"1,857.00"
2015/16,January 2016,Western,Altnagelvin Area,Type 1,"3,390.00","1,588.00",8.00,"4,986.00"
2015/16,January 2016,Western,South West Acute,Type 1,"1,893.00",670.00,24.00,"2,587.00"
2015/16,January 2016,Western,Tyrone County,Type 3,"1,190.00",2.00,0.00,"1,192.00"
2015/16,February 2016,Belfast,Mater,Type 1,"2,989.00",667.00,13.00,"3,669.00"
2015/16,February 2016,Belfast,Royal Victoria,Type 1,"4,326.00","2,828.00",55.00,"7,209.00"
2015/16,February 2016,Belfast,RBHSC,Type 1,"2,734.00",479.00,0.00,"3,213.00"
2015/16,February 2016,Belfast,Royal Victoria (RAES),Type 2,"1,274.00",0.00,0.00,"1,274.00"
2015/16,February 2016,Northern,Antrim Area,Type 1,"4,165.00","2,069.00",140.00,"6,374.00"
2015/16,February 2016,Northern,Causeway,Type 1,"2,078.00","1,300.00",4.00,"3,382.00"
2015/16,February 2016,Northern,Mid-Ulster,Type 3,781.00,0.00,0.00,781.00
2015/16,February 2016,South Eastern,Ards MIU,Type 3,910.00,0.00,0.00,910.00
2015/16,February 2016,South Eastern,Bangor MIU,Type 3,750.00,0.00,0.00,750.00
2015/16,February 2016,South Eastern,Downe,Type 2,"1,481.00",133.00,2.00,"1,616.00"
2015/16,February 2016,South Eastern,Lagan Valley,Type 2,"1,631.00",182.00,0.00,"1,813.00"
2015/16,February 2016,South Eastern,Ulster,Type 1,"4,964.00","2,136.00",219.00,"7,319.00"
2015/16,February 2016,Southern,Craigavon Area,Type 1,"4,575.00","2,033.00",12.00,"6,620.00"
2015/16,February 2016,Southern,Daisy Hill,Type 1,"3,183.00",868.00,10.00,"4,061.00"
2015/16,February 2016,Southern,South Tyrone,Type 3,"1,970.00",0.00,0.00,"1,970.00"
2015/16,February 2016,Western,Altnagelvin Area,Type 1,"3,342.00","1,688.00",35.00,"5,065.00"
2015/16,February 2016,Western,South West Acute,Type 1,"1,944.00",700.00,7.00,"2,651.00"
2015/16,February 2016,Western,Tyrone County,Type 3,"1,242.00",3.00,0.00,"1,245.00"
2015/16,March 2016,Belfast,Mater,Type 1,"3,346.00",856.00,22.00,"4,224.00"
2015/16,March 2016,Belfast,Royal Victoria,Type 1,"4,585.00","3,219.00",49.00,"7,853.00"
2015/16,March 2016,Belfast,RBHSC,Type 1,"3,011.00",565.00,0.00,"3,576.00"
2015/16,March 2016,Belfast,Royal Victoria (RAES),Type 2,"1,322.00",0.00,0.00,"1,322.00"
2015/16,March 2016,Northern,Antrim Area,Type 1,"4,361.00","2,460.00",297.00,"7,118.00"
2015/16,March 2016,Northern,Causeway,Type 1,"2,572.00","1,381.00",0.00,"3,953.00"
2015/16,March 2016,Northern,Mid-Ulster,Type 3,847.00,1.00,0.00,848.00
2015/16,March 2016,South Eastern,Ards MIU,Type 3,951.00,0.00,0.00,951.00
2015/16,March 2016,South Eastern,Bangor MIU,Type 3,812.00,0.00,0.00,812.00
2015/16,March 2016,South Eastern,Downe,Type 2,"1,692.00",185.00,5.00,"1,882.00"
2015/16,March 2016,South Eastern,Lagan Valley,Type 2,"1,821.00",232.00,0.00,"2,053.00"
2015/16,March 2016,South Eastern,Ulster,Type 1,"5,463.00","2,277.00",231.00,"7,971.00"
2015/16,March 2016,Southern,Craigavon Area,Type 1,"4,894.00","2,303.00",8.00,"7,205.00"
2015/16,March 2016,Southern,Daisy Hill,Type 1,"3,639.00",977.00,2.00,"4,618.00"
2015/16,March 2016,Southern,South Tyrone,Type 3,"2,304.00",1.00,0.00,"2,305.00"
2015/16,March 2016,Western,Altnagelvin Area,Type 1,"3,643.00","1,861.00",34.00,"5,538.00"
2015/16,March 2016,Western,South West Acute,Type 1,"2,256.00",719.00,17.00,"2,992.00"
2015/16,March 2016,Western,Tyrone County,Type 3,"1,369.00",2.00,0.00,"1,371.00"
2016/17,April 2016,Belfast,Mater,Type 1,"2,935.00","1,070.00",44.00,"4,049.00"
2016/17,April 2016,Belfast,Royal Victoria,Type 1,"4,473.00","3,077.00",92.00,"7,642.00"
2016/17,April 2016,Belfast,RBHSC,Type 1,"2,882.00",362.00,0.00,"3,244.00"
2016/17,April 2016,Belfast,Royal Victoria (RAES),Type 2,"1,311.00",0.00,0.00,"1,311.00"
2016/17,April 2016,Northern,Antrim Area,Type 1,"4,458.00","2,381.00",57.00,"6,896.00"
2016/17,April 2016,Northern,Causeway,Type 1,"2,328.00","1,455.00",17.00,"3,800.00"
2016/17,April 2016,Northern,Mid-Ulster,Type 3,838.00,0.00,0.00,838.00
2016/17,April 2016,South Eastern,Ards MIU,Type 3,925.00,0.00,0.00,925.00
2016/17,April 2016,South Eastern,Bangor MIU,Type 3,881.00,0.00,0.00,881.00
2016/17,April 2016,South Eastern,Downe,Type 2,"1,605.00",177.00,12.00,"1,794.00"
2016/17,April 2016,South Eastern,Lagan Valley,Type 2,"1,793.00",150.00,1.00,"1,944.00"
2016/17,April 2016,South Eastern,Ulster,Type 1,"5,425.00","2,025.00",158.00,"7,608.00"
2016/17,April 2016,Southern,Craigavon Area,Type 1,"4,702.00","2,078.00",77.00,"6,857.00"
2016/17,April 2016,Southern,Daisy Hill,Type 1,"3,395.00",963.00,5.00,"4,363.00"
2016/17,April 2016,Southern,South Tyrone,Type 3,"2,488.00",0.00,0.00,"2,488.00"
2016/17,April 2016,Western,Altnagelvin Area,Type 1,"3,592.00","1,689.00",31.00,"5,312.00"
2016/17,April 2016,Western,South West Acute,Type 1,"2,118.00",627.00,18.00,"2,763.00"
2016/17,April 2016,Western,Tyrone County,Type 3,"1,416.00",7.00,0.00,"1,423.00"
2016/17,May 2016,Belfast,Mater,Type 1,"3,098.00","1,137.00",39.00,"4,274.00"
2016/17,May 2016,Belfast,Royal Victoria,Type 1,"4,623.00","3,136.00",52.00,"7,811.00"
2016/17,May 2016,Belfast,RBHSC,Type 1,"3,166.00",434.00,0.00,"3,600.00"
2016/17,May 2016,Belfast,Royal Victoria (RAES),Type 2,"1,409.00",0.00,0.00,"1,409.00"
2016/17,May 2016,Northern,Antrim Area,Type 1,"4,733.00","2,507.00",79.00,"7,319.00"
2016/17,May 2016,Northern,Causeway,Type 1,"2,573.00","1,382.00",8.00,"3,963.00"
2016/17,May 2016,Northern,Mid-Ulster,Type 3,896.00,0.00,0.00,896.00
2016/17,May 2016,South Eastern,Ards MIU,Type 3,990.00,0.00,0.00,990.00
2016/17,May 2016,South Eastern,Bangor MIU,Type 3,914.00,0.00,0.00,914.00
2016/17,May 2016,South Eastern,Downe,Type 2,"1,782.00",139.00,8.00,"1,929.00"
2016/17,May 2016,South Eastern,Lagan Valley,Type 2,"1,928.00",195.00,0.00,"2,123.00"
2016/17,May 2016,South Eastern,Ulster,Type 1,"6,044.00","1,879.00",66.00,"7,989.00"
2016/17,May 2016,Southern,Craigavon Area,Type 1,"4,917.00","2,329.00",59.00,"7,305.00"
2016/17,May 2016,Southern,Daisy Hill,Type 1,"3,711.00","1,208.00",4.00,"4,923.00"
2016/17,May 2016,Southern,South Tyrone,Type 3,"2,706.00",0.00,0.00,"2,706.00"
2016/17,May 2016,Western,Altnagelvin Area,Type 1,"3,989.00","1,526.00",6.00,"5,521.00"
2016/17,May 2016,Western,South West Acute,Type 1,"2,200.00",789.00,21.00,"3,010.00"
2016/17,May 2016,Western,Tyrone County,Type 3,"1,623.00",1.00,0.00,"1,624.00"
2016/17,June 2016,Belfast,Mater,Type 1,"3,179.00",885.00,11.00,"4,075.00"
2016/17,June 2016,Belfast,Royal Victoria,Type 1,"4,629.00","2,797.00",61.00,"7,487.00"
2016/17,June 2016,Belfast,RBHSC,Type 1,"2,915.00",354.00,0.00,"3,269.00"
2016/17,June 2016,Belfast,Royal Victoria (RAES),Type 2,"1,329.00",0.00,0.00,"1,329.00"
2016/17,June 2016,Northern,Antrim Area,Type 1,"4,539.00","2,281.00",84.00,"6,904.00"
2016/17,June 2016,Northern,Causeway,Type 1,"2,325.00","1,561.00",12.00,"3,898.00"
2016/17,June 2016,Northern,Mid-Ulster,Type 3,955.00,0.00,0.00,955.00
2016/17,June 2016,South Eastern,Ards MIU,Type 3,"1,068.00",0.00,0.00,"1,068.00"
2016/17,June 2016,South Eastern,Bangor MIU,Type 3,933.00,0.00,0.00,933.00
2016/17,June 2016,South Eastern,Downe,Type 2,"1,663.00",126.00,12.00,"1,801.00"
2016/17,June 2016,South Eastern,Lagan Valley,Type 2,"1,856.00",246.00,0.00,"2,102.00"
2016/17,June 2016,South Eastern,Ulster,Type 1,"5,854.00","1,975.00",63.00,"7,892.00"
2016/17,June 2016,Southern,Craigavon Area,Type 1,"4,702.00","2,335.00",19.00,"7,056.00"
2016/17,June 2016,Southern,Daisy Hill,Type 1,"3,544.00","1,085.00",5.00,"4,634.00"
2016/17,June 2016,Southern,South Tyrone,Type 3,"2,762.00",0.00,0.00,"2,762.00"
2016/17,June 2016,Western,Altnagelvin Area,Type 1,"4,191.00","1,347.00",2.00,"5,540.00"
2016/17,June 2016,Western,South West Acute,Type 1,"1,975.00",883.00,11.00,"2,869.00"
2016/17,June 2016,Western,Tyrone County,Type 3,"1,554.00",12.00,0.00,"1,566.00"
2016/17,July 2016,Belfast,Mater,Type 1,"3,031.00","1,108.00",9.00,"4,148.00"
2016/17,July 2016,Belfast,Royal Victoria,Type 1,"5,328.00","2,496.00",4.00,"7,828.00"
2016/17,July 2016,Belfast,RBHSC,Type 1,"2,399.00",292.00,0.00,"2,691.00"
2016/17,July 2016,Belfast,Royal Victoria (RAES),Type 2,"1,294.00",0.00,0.00,"1,294.00"
2016/17,July 2016,Northern,Antrim Area,Type 1,"4,106.00","2,418.00",175.00,"6,699.00"
2016/17,July 2016,Northern,Causeway,Type 1,"2,309.00","1,743.00",9.00,"4,061.00"
2016/17,July 2016,Northern,Mid-Ulster,Type 3,742.00,0.00,0.00,742.00
2016/17,July 2016,South Eastern,Ards MIU,Type 3,884.00,0.00,0.00,884.00
2016/17,July 2016,South Eastern,Bangor MIU,Type 3,680.00,0.00,0.00,680.00
2016/17,July 2016,South Eastern,Downe,Type 2,"1,540.00",155.00,18.00,"1,713.00"
