Organisation Name,Organisation Code,Directorate/Service,Cost Centre,Detail Code,Service Category label,Supplier Name,Payment Date,Transaction Number,Net Amount,Purpose of Spend,Procurement Classification,Card Transaction
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,Handyman Materials,GIBBS & DANDY,28/02/2015,PCC/116,17.04,POLY FRAME,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,Handyman Materials,TOWBAR & TRAILER,28/02/2015,PCC/117,13.00,DROP PLATE,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,20006,Fuel Costs,KINGSMEAD SERVICE STN,28/02/2015,PCC/118,13.1,FUEL,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,20006,Fuel Costs,SHELL GARAGE,28/02/2015,PCC/119,16.67,FUEL,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,Handyman Materials,TOWBAR & TRAILER,28/02/2015,PCC/120,79.99,HARDWARE EQUIP&SUPPS,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3805,30159,Magistrates Court Fees,HM Courts Services,28/02/2015,PCC/107,288,CT Summonses,Central Services to the Public,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3805,30159,Magistrates Court Fees,HM Courts Services,28/02/2015,PCC/108,462,154 CT Summonses,Central Services to the Public,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3805,30159,Magistrates Court Fees,HM Courts Services,28/02/2015,PCC/109,48,16 NDR Summonses,Central Services to the Public,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1304,30042,Charity Dinner Dance,WDINGCHRCOVRS.CO.UK,28/02/2015,PCC/95,296.48,Chair Covers for Mayors Ball,Corporate & Democratic Core,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1321,30234,Promotions,XL Display,28/02/2015,PCC/96,120.5,Grasshopper roller banner x2 for sustainable energy network,Planning Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1322,30197,Operational Equipment,Overall Maintenance Ltd,28/02/2015,PCC/97,47.49,Honeywell Mobile Access Kit for heating ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1300,30187,Miscellaneous Expenses,Graham's Jewellers,28/02/2015,PCC/98,26,Engraving Services badges,Corporate & Democratic Core,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1321,30234,Promotions,wiggly wigglers,28/02/2015,PCC/99,13.95,Peanuts for the birds,Planning Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1304,30042,Charity Dinner Dance,Amazon,28/02/2015,PCC/100,14.9,Organza Chair Sashes Mayors ball ,Corporate & Democratic Core,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1314,30249,Refreshments At Meetings,Spark Etail Limited - Paypal,28/02/2015,PCC/101,24.86,Tea and Sugar for Office - TO BE PAID BACK - Receipts attached,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1314,30229,Stationery,Jammy Dog - Paypal,28/02/2015,PCC/102,8.28,White Board Tape,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1304,30042,Charity Dinner Dance,WDINGCHRCOVRS.CO.UK,28/02/2015,PCC/103,65.08,Chair Covers for Mayors Ball,Corporate & Democratic Core,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1321,30234,Promotions,wiggly wigglers,28/02/2015,PCC/104,154,Wildlife category Prizes for In Bloom Comp 2015,Planning Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Publicity And Advertising,Facebook,28/02/2015,PCC/71,22.21,FB Adverts - Shows,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Publicity And Advertising,Facebook,28/02/2015,PCC/72,17.7,FB Adverts - Shows,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,10026,General Repairs / Maintenance,Facebook,28/02/2015,PCC/73,17.77,Hazard Tape,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Publicity And Advertising,Facebook,28/02/2015,PCC/74,16.63,FB Adverts - Shows,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30307,Snap Discos,Facebook,28/02/2015,PCC/75,7.6,FB adverts - SNAP,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Publicity And Advertising,Facebook,28/02/2015,PCC/76,11.11,FB Adverts - Shows,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30307,Snap Discos,Facebook,28/02/2015,PCC/77,6.51,FB adverts - SNAP,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Publicity And Advertising,Facebook,28/02/2015,PCC/78,11.19,FB Adverts - Shows,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30307,Snap Discos,Facebook,28/02/2015,PCC/79,8.54,FB adverts - SNAP,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2543,30970,Nri Aldershot Promotions,123 - REG,28/02/2015,PCC/80,20.94,Retail website renewal,Planning Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Publicity And Advertising,Facebook,28/02/2015,PCC/81,10.31,FB Adverts - Shows,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30307,Snap Discos,Facebook,28/02/2015,PCC/82,12.9,FB adverts - SNAP,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Publicity And Advertising,Facebook,28/02/2015,PCC/83,11.6,FB Adverts - Shows,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30307,Snap Discos,Facebook,28/02/2015,PCC/84,6.27,FB adverts - SNAP,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Publicity And Advertising,Facebook,28/02/2015,PCC/85,11.25,FB Adverts - Shows,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30307,Snap Discos,Facebook,28/02/2015,PCC/86,5.78,FB adverts - SNAP,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Publicity And Advertising,Facebook,28/02/2015,PCC/87,16.29,FB Adverts - Shows,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30307,Snap Discos,Facebook,28/02/2015,PCC/88,8.43,FB adverts - SNAP,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Publicity And Advertising,Facebook,28/02/2015,PCC/89,16.41,FB Adverts - Shows,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30307,Snap Discos,Facebook,28/02/2015,PCC/90,8.82,FB adverts - SNAP,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Publicity And Advertising,Facebook,28/02/2015,PCC/91,15.4,FB Adverts - Shows,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30307,Snap Discos,Facebook,28/02/2015,PCC/92,7.01,FB adverts - SNAP,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2543,30970,Nri Aldershot Promotions,Ryman,28/02/2015,PCC/68,3.74,Double sided sticky tape for shop window,Planning Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1322,10026,General Repairs / Maintenance,PTS Farnborough,28/02/2015,PCC/65,140.89,Honeywell evohome base pack,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,IT Services,3300,30004,Administrative Equipment,Richer sounds,28/02/2015,PCC/24,599.16,Display unit,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,5329,40012,Contract Costs,Debenhams,28/02/2015,PCC/25,1244.67,3 x display units,Administrative Equipment,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,IT Services,3300,30004,Administrative Equipment,Debenhams,28/02/2015,PCC/26,622.33,3 x display units,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,IT Services,3304,30012,Computer Consumables,Geotrust,28/02/2015,PCC/21,105.89,SSL Server Certificates,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,IT Services,3304,30012,Computer Consumables,Geotrust,28/02/2015,PCC/22,105.89,SSL Server Certificates,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,Handyman Materials,MyFonts,28/02/2015,PCC/18,22.99,Fonts for Market logo,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Strategy and Communications,1411,30120,Website Support/Development,Ning Inc,28/02/2015,PCC/12,40.71,Big Aldershot Conversation - February 2015,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Strategy and Communications,1402,30004,Administrative Equipment,Adobe,28/02/2015,PCC/13,60.34,Design software,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,Handyman Materials,Shutterstock,28/02/2015,PCC/14,32,Photography,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Strategy and Communications,1411,30236,Public Relations/Consultations,Facebook,28/02/2015,PCC/15,0.58,Contact email,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2402,80424,Hants Welfare Assistance Grant,First Wessex HA,28/02/2015,PCC/8,790.4,Rent for Collins,Other Housing Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2402,30186,Storage,Shurgard,28/02/2015,PCC/9,130,Storage,Other Housing Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2402,30186,Storage,alligator farnham,28/02/2015,PCC/3,92,lambert storage,Other Housing Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2402,30186,Storage,alligator farnham refund,28/02/2015,PCC/4,-92,lambert storage,Other Housing Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,9335,90001,Expenditure,clarkes lettings,28/02/2015,PCC/5,825,J Thomson rent in advance,Other Housing Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2402,30186,Storage,shurgard camberley,28/02/2015,PCC/6,103.04,lambert storage,Other Housing Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2246,00006,Training Expenses,Liverpool SIR SIA,28/02/2015,PCC/1,220,SIA Licence,Cost Centres to be split over several headings,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Planning,2611,30004,Administrative Equipment,Banner,28/02/2015,PCC/29,17.88,Stationery,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30229,Stationery,Banner,28/02/2015,PCC/30,15.58,Stationery,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Planning,2611,30004,Administrative Equipment,Banner,28/02/2015,PCC/31,18.21,Stationery,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Financial Services,3401,30229,Stationery,Banner,28/02/2015,PCC/32,1.79,Stationery,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1323,30229,Stationery,Banner,28/02/2015,PCC/33,55.89,Stationery,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30229,Stationery,Banner,28/02/2015,PCC/34,62.77,Stationery,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30229,Stationery,Banner,28/02/2015,PCC/35,55.14,Stationery,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1323,30229,Stationery,Banner,28/02/2015,PCC/36,24.9,Stationery,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1323,30229,Stationery,Banner,28/02/2015,PCC/37,18.54,Stationery,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1302,30229,Stationery,Banner,28/02/2015,PCC/38,5.29,Stationery,Central Services to the Public,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3811,30229,Stationery,Banner,28/02/2015,PCC/39,34.11,Stationery,Other Housing Services,GPC
