,Percentage of respondents satisfied with overall service in 12 months to June 2014,Confidence Interval percentage of respondents satisfied with overall service in 12 months to June 2014,Percentage of respondents satisfied with overall service in 12 months to June 2013,Confidence Interval percentage of respondents satisfied with overall service in 12 months to June 2013,Percentage of respondents satisfied with overall service in 12 months to June 2012,Confidence Interval percentage of respondents satisfied with overall service in 12 months to June 2012,Percentage of respondents satisfied with overall service in 12 months to June 2011,Confidence Interval percentage of respondents satisfied with overall service in 12 months to June 2011
England and Wales,85.00953312,0.193034673,85.00552009,0.195407106,83.75963749,0.197318945,84.09918853,0.190125856
Avon and Somerset,88.90214482,1.146139908,87.66710567,1.128265329,86.37786725,1.120420509,87.34022217,1.031429511
Bedfordshire,83.33437287,0.153232227,82.32716275,0.143713318,80.97163523,1.462580501,79.08870152,1.562103855
Cambridgeshire,88.08985828,1.285916323,87.16178661,1.305705659,86.18831637,1.379127646,84.64834044,1.485133608
Cheshire,86.41287157,2.222500137,88.68709912,1.682222925,84.88926532,1.893155239,88.58278859,1.592018938
City of London,89.64510332,3.591222811,85.3030303,6.402897607,80.36870234,11.22351912,90.94911937,2.952292061
Cleveland,84.28383419,1.578717819,83.32950674,1.622228243,82.81108684,1.587091617,84.13132473,1.577018786
Cumbria,89.21832568,2.792803624,89.05502001,2.792303778,91.48674695,2.312687251,87.40296949,2.724721436
Derbyshire,88.01031156,1.403598042,86.71000437,1.447585848,86.99034306,1.591701789,84.70038501,1.616465729
Devon and Cornwall,84.27088784,1.502250528,84.15713708,1.581044929,85.30739154,1.502625967,87.24190441,1.480459614
Dorset,84.49417448,1.37669693,82.38544088,1.541491543,83.93194946,1.414963449,83.45309785,1.506714089
Durham,88.6061153,1.782545027,89.64748007,1.514047815,87.22774372,1.861960529,85.96432161,1.609164939
Dyfed-Powys,86.04145627,2.617997491,84.06577446,4.623086542,86.77275018,2.50264569,84.39844814,2.851075747
Essex,82.43722303,1.59565613,79.83559059,1.727643276,81.94732122,1.467396798,84.15083582,1.476955409
Gloucestershire,82.32944867,1.746687028,80.84464649,1.8228656,81.25142461,1.638271784,81.81331936,1.623531008
Greater Manchester,84.24587624,0.821555369,84.92080237,0.88835318,84.28911864,0.824348269,83.39815141,0.851448006
Gwent,78.05456635,1.705587797,79.99342028,1.761621003,81.75190745,1.699730918,82.11370531,1.607129736
Hampshire,86.95325904,0.946741795,84.04646964,0.94603528,81.54877284,0.978798758,83.65661528,0.76761011
Hertfordshire,88.79338829,1.281656549,88.16749243,1.270675132,88.06644365,1.294678686,88.12292545,1.460223316
Humberside,85.74801367,1.422212577,86.17793246,1.24681883,84.80626782,1.231070491,83.02596775,1.256133191
Kent,86.73733828,1.203706409,87.4672052,1.231807828,87.74091794,1.134536098,87.3518836,1.087325947
Lancashire,82.26504564,0.758663395,86.7541806,0.644108755,85.0645739,1.183943367,84.50726767,1.431968605
Leicestershire,85.22780702,1.895402222,85.38009438,1.828761248,84.67006827,1.800305574,86.94077497,1.553149954
Lincolnshire,84.29625721,1.93224193,83.48881135,1.96620043,82.72033338,1.977841063,82.58736535,1.811741928
Merseyside,85.29744714,0.102405112,89.22835794,0.09806798,88.10232248,0.940684102,88.01619579,0.910371276
Metropolitan Police,79.9479115,0.615621985,77.54296991,0.653309924,74.2037966,0.672778223,75.81853508,0.672853221
Norfolk,87.8799707,1.42072908,89.19994466,1.294917515,87.01049687,1.325219838,87.33522465,1.907313864
Northamptonshire,85.90446818,2.283856541,84.18014464,1.741716414,84.07698629,1.753844961,85.40145057,1.762602997
Northumbria,90.49623049,1.205447014,91.49879199,1.056507004,93.38993574,1.003531004,92.54193471,1.029088167
North Wales,80.79233963,1.86707956,81.17406623,1.697568602,81.28714822,1.805494845,83.49421144,1.605295728
North Yorkshire,88.19151032,1.17133207,86.62596217,0.948939373,84.975756,1.264336712,86.52510138,1.524735026
Nottinghamshire,87.10689431,0.855321902,87.10795301,0.842433994,87.19710709,0.758097128,87.17743106,0.748037709
South Wales,89.12270493,0.94422103,87.72733438,0.911306589,85.6814141,1.022815327,87.63675083,0.832302611
South Yorkshire,85.22267706,1.385382234,85.29927283,1.418550605,84.73326781,1.461873482,84.21806076,1.541782234
Staffordshire,89.80739958,1.511042539,90.55339989,1.641298629,85.90428315,1.745893253,90.11062359,1.371026589
Suffolk,87.66189931,1.709231112,87.51774361,1.809252848,82.38199855,2.02984758,82.44736128,1.946277906
Surrey,85.91886346,0.961480388,87.6437328,0.878965359,82.65725746,1.051031115,84.0415596,0.984250722
Sussex,83.0377407,1.120233171,85.61485184,1.195309416,83.63178705,1.416441959,82.75567207,1.64123175
Thames Valley,88.74243013,1.757914406,88.06906193,1.831657952,86.01842287,0.962987646,85.088008,0.960264924
Warwickshire,83.82982597,1.738574579,85.58581135,1.657301686,81.50200527,1.908849456,81.47174325,1.594284761
West Mercia,84.71985958,1.252042611,85.37073786,1.143940983,85.03012573,1.179305798,86.18016972,1.113964343
West Midlands,83.70726391,0.416979,85.5459619,0.075614203,86.46079535,0.892654574,85.41811369,0.70263959
West Yorkshire,88.37674227,0.771127628,87.76029363,0.759984528,86.18091089,0.739408024,83.82561977,0.759382503
Wiltshire,90.0587106,1.9242802,88.05341256,1.952081838,84.96505293,1.924263066,82.60649087,2.142868144
