Transaction Date,Department,Merchant (Beneficiary),Transaction Value (£),Purpose of expenditure,Merchant Category/Summary
15.06.2015,ST MICHAELS RC,BRAKE BROS LTD,57.18,School meals,CATERERS
15.06.2015,WELFORD DAY CENTRE,JR HOLLAND FOODSERVICE,18.94,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.06.2015,WEST JESMOND,BRAKE BROS LTD,280.88,School meals,CATERERS
15.06.2015,STOCKSFIELD AVENUE,BRAKE BROS LTD,168.9,School meals,CATERERS
15.06.2015,BENTON PARK,JR HOLLAND FOODSERVICE,1.5,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.06.2015,ST ALBANS RC,JR HOLLAND FOODSERVICE,8.81,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.06.2015,HOTSPUR PRIMARY,BRAKE BROS LTD,195.93,School meals,CATERERS
15.06.2015,ST BEDES RC,BRAKE BROS LTD,32.06,School meals,CATERERS
15.06.2015,GOSFORTH PARK,BRAKE BROS LTD,315.26,School meals,CATERERS
15.06.2015,TYNEVIEW PRIMARY,JR HOLLAND FOODSERVICE,3.37,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.06.2015,ARCHIBOLD FIRST,BRAKE BROS LTD,185.17,School meals,CATERERS
15.06.2015,TYNEVIEW PRIMARY,JR HOLLAND FOODSERVICE,38.72,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.06.2015,WEST WALKER,JR HOLLAND FOODSERVICE,19.47,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.06.2015,SACRED HEART HIGH,JR HOLLAND FOODSERVICE,9.54,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.06.2015,SOUTH GOSFORTH,BRAKE BROS LTD,86.48,School meals,CATERERS
15.06.2015,BYKER PRIMARY,JR HOLLAND FOODSERVICE,83.43,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.06.2015,ST CHARLES' RC,BRAKE BROS LTD,59.07,School meals,CATERERS
15.06.2015,DINNINGTON FIRST,BRAKE BROS LTD,182.72,School meals,CATERERS
15.06.2015,HADRIAN SCHOOL,BRAKE BROS LTD,128.53,School meals,CATERERS
15.06.2015,ARTHURS MOORSIDE,BRAKE BROS LTD,278.83,School meals,CATERERS
15.06.2015,CIVIC BANQUETING,JR HOLLAND FOODSERVICE,142.28,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.06.2015,ST JOSEPHS RC,BRAKE BROS LTD,159.91,School meals,CATERERS
15.06.2015,NEWBURN MANOR,BRAKE BROS LTD,120.82,School meals,CATERERS
15.06.2015,RAVENSWOOD PRIMARY,BRAKE BROS LTD,289.96,School meals,CATERERS
15.06.2015,WESTGATE VICTORIA,BRAKE BROS LTD,185.37,School meals,CATERERS
15.06.2015,WELBECK PRIMARY,JR HOLLAND FOODSERVICE,49.17,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.06.2015,ST ALBANS RC,BRAKE BROS LTD,12.77,School meals,CATERERS
15.06.2015,WALBOTTLE VILLAGE,BRAKE BROS LTD,68.95,School meals,CATERERS
15.06.2015,GOSFORTH JUNIOR,JR HOLLAND FOODSERVICE,43.75,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.06.2015,WELFORD DAY CENTRE,JR HOLLAND FOODSERVICE,49.9,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.06.2015,NORTH FAWDON,JR HOLLAND FOODSERVICE,5.19,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
