SUPPLIER NAME,?BODY NAME,SERVICE LABEL PORTFOLIO,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER ID
NOTTINGHAMSHIRE COUNTY COUNCIL,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,NOTTS CC PRECEPT,08/03/2013,224871,4698023,100393
NOTTS POLICE AND CRIME COMMISSIONER,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,NOTTS POLICE AUTHORITY PRECEPT,08/03/2013,224872,655222,101784
NEWARK AND SHERWOOD HOMES LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,HOUSING REVENUE ACCOUNT,B300,NSH MANAGEMENT FEE,07/03/2013,1139664,639438.72,400001
NOTTINGHAMSHIRE FIRE AUTHORITY,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,NOTTINGHAMSHIRE FIRE AND RESCU,08/03/2013,224873,274397,101572
FRANK HASLAM MILAN & CO LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,28/03/2013,226264,189171.81,101867
HMRC CUMBERNAULD,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,INCOME TAX,20/03/2013,225474,110375.14,101515
HMRC CUMBERNAULD,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,NATIONAL INSURANCE,20/03/2013,225474,110318.07,101515
NEWARK AND SHERWOOD HOMES LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,NSH CAPITAL FEE,11/03/2013,1139694,94365,400001
ZURICH FINANCIAL SERVICES,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PREMIUM PROPERTY - HOUSING,28/03/2013,226014,83739.43,100620
NOTTINGHAMSHIRE COUNTY COUNCIL,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,BIC CONTRACT,01/03/2013,224290,76736.57,100393
IAN WILLIAMS LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,08/03/2013,224751,72974.43,100219
LINDUM GROUP LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,01/03/2013,224240,63662.64,100651
ZURICH FINANCIAL SERVICES,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PREMIUM PUBLIC LIABILITY,28/03/2013,226014,63331.3,100620
IAN WILLIAMS LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,08/03/2013,224749,57304,100219
BLUE LINES ROOFING LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,08/03/2013,224753,57284.53,100049
MATTHEWS & TANNERT LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,15/03/2013,225131,56813.57,101312
ZURICH FINANCIAL SERVICES,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PREMIUM PROPERTY - GENERAL,28/03/2013,226014,48786.73,100620
ZURICH FINANCIAL SERVICES,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PREMIUM MOTOR,28/03/2013,226014,45854.73,100620
QUADRANT SECURITY GROUP LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,CCTV OPERATION,22/03/2013,225389,42758,100438
ZURICH FINANCIAL SERVICES,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PREMIUM PROPERTY - FLATS,28/03/2013,226014,39997.33,100620
ROBERT WOODHEAD LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,08/03/2013,224715,37915.48,100461
JOHNSON SURFACING LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,22/03/2013,225625,34664.63,100246
MATTHEWS & TANNERT LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,28/03/2013,226266,33107.23,101312
ELECTRICAL SAFETY SYSTEMS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,01/03/2013,224315,25901.86,100147
THE NEWARK ACADEMY,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,GAS,08/03/2013,224735,23575.21,101813
EMO OIL LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B991,STORES RECEIPTS,15/03/2013,224975,23426,100728
NOTTINGHAMSHIRE COUNTY COUNCIL,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,METERED WATER CHARGE,28/03/2013,225946,23390.92,100393
EMO OIL LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B991,STORES RECEIPTS,01/03/2013,224074,23266,100728
PRINT IMAGE FACILITIES LLP,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,ELECTION EXPENSES,22/03/2013,225580,23156.02,101902
EMO OIL LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B991,STORES RECEIPTS,22/03/2013,225613,23108,100728
ZURICH FINANCIAL SERVICES,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PREMIUM EMPLOYERS LIABILITY,28/03/2013,226014,22773.38,100620
ELECTRICAL SAFETY SYSTEMS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,08/03/2013,224710,22321.35,100147
NOTTINGHAMSHIRE COUNTY COUNCIL,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,CONTRACTUAL SERVICES,08/03/2013,224648,20000,100393
RIXONWAY KITCHENS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,28/03/2013,226240,18835.56,101367
