Date,Supplier,Amount
01/05/2014,HEALTHCARE CONFERENCES,£766.50
09/05/2014,LSR TRAINING AND DEVEL,£690.00
13/05/2014,STATIONERY OFFICE BOOK,£963.00
14/05/2014,Amazon  Mktplce EU-UK,£637.33
14/05/2014,OFFICE FOR NAT STATS,"£1,000.00"
19/05/2014,OFFICE FOR NAT STATS,£588.00
26/05/2014,CIVIL SERVICE COLLEGE,£540.00
26/05/2014,MISCO,£850.80
30/05/2014,STATIONERY OFFICE BOOK,£668.08
