NAME,ADDRESS1,TOWN,POSTCODE,EASTING,NORTHING
NEWTON AYCLIFFE LEISURE CENTRE,BEVERIDGE ARCADE,NEWTON AYCLIFFE,DL5 4EH,427599,524982
SPENNYMOOR LEISURE CENTRE,HIGH STREET,SPENNYMOOR,DL16 6DB,425891,533840
TEESDALE LEISURE CENTRE,STRATHMORE ROAD,BARNARD CASTLE,DL12 8DS,405734,517361
RIVERSIDE LEISURE COMPLEX,RIVERSIDE SOUTH,CHESTER-LE-STREET,DH3 3SJ,428355,550779
WOODHOUSE CLOSE LEISURE COMPLEX,WOODHOUSE LANE,BISHOP AUCKLAND,DL14 6JX,420701,528330
ABBEY LEISURE CENTRE,ABBEY ROAD,PITY ME,DH1 5GE,427352,545646
MEADOWFIELD LEISURE CENTRE,JOHN STREET NORTH,MEADOWFIELD,DH7 8RS,424718,539883
CHESTER-LE-STREET LEISURE CENTRE,BURNS GREEN,CHESTER-LE-STREET,DH3 3QH,427742,551331
SHILDON-SUNNYDALE LEISURE CENTRE,MIDDRIDGE LANE,SHILDON,DL4 2EP,423530,526604
FREEMAN'S QUAY LEISURE CENTRE,WALKERGATE,DURHAM CITY,DH1 1SW,427442,542818
