Department,Entity,Posted Date,Internal Voucher Number,  Invoice Line Amount Net GBP  ,Supplier Name,Account Name,,,,,
FCO,FCO,16/01/2017,8941892," 16,801,888.00 ",BRITISH COUNCIL,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,12/01/2017,8926434," 15,548,779.75 ",UNITED NATIONS,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,09/01/2017,8863474," 3,565,336.10 ",CABINET OFFICE,Multiple Accounts,,,,,
FCO,FCO,31/01/2017,8960624," 3,500,000.00 ",BBC  BRITISH BROADCASTING CORPORATION,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,09/01/2017,8863466," 3,132,895.77 ",HMRC HM REVENUE AND CUSTOMS,Multiple Accounts,,,,,
FCO,FCO,03/01/2017,8817424," 3,049,820.62 ",NATO,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,10/01/2017,8895521," 3,049,820.62 ",NATO INTERNATIONAL STAFF,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,03/01/2017,8813561," 2,304,580.00 ",COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,23/01/2017,8950965," 2,241,727.32 ",UNITED NATIONS,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,20/01/2017,8947695," 2,053,795.21 ",THE SECRETARY GENERAL OF THE OSCE,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,25/01/2017,8954248," 1,975,387.40 ",THE SECRETARY GENERAL OF THE OSCE,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,23/01/2017,8951045," 1,918,000.82 ",G4S RISK MANAGEMENT LTD,UK Guarding Contracts Overseas,,,,,
FCO,FCO,19/01/2017,8946677," 1,670,000.00 ",ISS FACILITY SERVICES LTD FCO OP - POE,FMCU POE Trust Account Debtor,,,,,
FCO,FCO,01/01/2017,8872428," 1,644,315.13 ",THE ROYAL BANK OF SCOTLAND,Corporate Credit Card Clearing Account,,,,,
FCO,FCO,13/01/2017,8932528," 1,505,004.00 ",FCO SERVICES,Specialist Contractors,,,,,
FCO,FCO,27/01/2017,8956241," 1,438,844.06 ",ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,16/01/2017,8941087," 1,385,253.89 ",ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account),,,,,
