Organisation|Merchant|MCC|Date Posted|Settlement Amount|Description
"Health & Safety Executive|I P D SUBSCRIPTIONS|8999|11/06/2013|£2,346.00|Membership Subs"
Health & Safety Executive|CAPITA BUS SVS-MOTO|9399|17/06/2013|£966.00|Training Event
"Health & Safety Executive|WHITEHALL & INDUST|7392|17/06/2013|£7,800.00|Training Event"
Health & Safety Executive|AASMIRT|8398|20/06/2013|£595.28|Training Event
Health & Safety Executive|EML LEARNING|8299|03/06/2013|£780.00|Training Event
"Health & Safety Executive|WWW.NAFEMS.ORG|5942|04/06/2013|£1,278.00|Training Event"
Health & Safety Executive|I A M DRIVE & SURV|8299|13/06/2013|£576.00|Training Event
Health & Safety Executive|XMA LTD|7372|05/06/2013|£807.34|Computer Consumables
Health & Safety Executive|XMA LTD|7372|11/06/2013|£729.52|Computer Consumables
Health & Safety Executive|XMA LTD|7372|14/06/2013|£633.23|Computer Consumables
"Health & Safety Executive|APEX SECURITY ENGINEER|8911|14/06/2013|£1,356.00|Office (Security) Furniture"
"Health & Safety Executive|XMA LTD|7372|18/06/2013|£4,303.77|Computer Consumables"
"Health & Safety Executive|XMA LTD|7372|18/06/2013|£1,591.48|Computer Consumables"
"Health & Safety Executive|XMA LTD|7372|18/06/2013|£1,579.44|Computer Consumables"
Health & Safety Executive|XMA LTD|7372|18/06/2013|£722.28|Computer Consumables
"Health & Safety Executive|WWW.TJA.CO.UK|7399|03/06/2013|£3,180.00|Training Event"
"Health & Safety Executive|THE IET|2741|04/06/2013|£1,858.80|Training Event"
"Health & Safety Executive|ASKHAM BRYAN COLLEGE|8220|14/06/2013|£2,250.00|Training Event"
Health & Safety Executive|AMERICAN GLOVEBOX SOCIET|8398|17/06/2013|£524.22|Training Event
"Health & Safety Executive|DNV LTD|7392|17/06/2013|£1,020.00|Training Event"
"Health & Safety Executive|FARADAY TRAINING|8220|17/06/2013|£1,266.00|Training Event"
Health & Safety Executive|PROSPECTS TRAINING|8220|17/06/2013|£898.16|Training Event
Health & Safety Executive|XMA LTD|7372|11/06/2013|£729.52|Computer Consumables
Health & Safety Executive|XMA LTD|7372|06/06/2013|£714.05|Computer Consumables
"Health & Safety Executive|XMA LTD|7372|07/06/2013|£1,386.02|Computer Consumables"
"Health & Safety Executive|XMA LTD|7372|07/06/2013|£1,165.60|Computer Consumables"
"Health & Safety Executive|XMA LTD|7372|10/06/2013|£1,053.17|Computer Consumables"
Health & Safety Executive|XMA LTD|7372|04/06/2013|£729.52|Computer Consumables
"Health & Safety Executive|XMA LTD|7372|07/06/2013|£4,752.16|Computer Consumables"
"Health & Safety Executive|XMA LTD|7372|13/06/2013|£1,443.84|Computer Consumables"
"Health & Safety Executive|XMA LTD|7372|18/06/2013|£2,458.36|Computer Consumables"
"Health & Safety Executive|XMA LTD|7372|18/06/2013|£4,275.76|Computer Consumables"
"Health & Safety Executive|XMA LTD|7372|18/06/2013|£4,886.59|Computer Consumables"
"Health & Safety Executive|XMA LTD|7372|18/06/2013|£4,275.76|Computer Consumables"
"Health & Safety Executive|XMA LTD|7372|03/06/2013|£1,992.58|Computer Consumables"
Health & Safety Executive|FLEXIFORM BUS FURNITUR|5712|03/06/2013|£673.20|Office Furniture
"Health & Safety Executive|XMA LTD|7372|11/06/2013|£2,341.66|Computer Consumables"
Health & Safety Executive|BANNER BUSINESS SERVIC|5943|13/06/2013|£876.88|Office Consumables
Health & Safety Executive|XMA LTD|7372|11/06/2013|£656.78|Computer Consumables
Health & Safety Executive|XMA LTD|7372|11/06/2013|£606.86|Computer Consumables
Health & Safety Executive|XMA LTD|7372|11/06/2013|£408.95|Computer Consumables
Health & Safety Executive|Amazon EU|5969|19/06/2013|£748.69|Printing Media
Health & Safety Executive|CLARION TECHNICAL CONF|8249|03/06/2013|£717.85|International Forum
Health & Safety Executive|I.O.M COMMUNICATIONS L|5969|12/06/2013|£705.00|Vacancy Notice
Health & Safety Executive|ONEBIGDOT.COM|5311|12/06/2013|£598.13|Scientific Consumables
Health & Safety Executive|WWW.RADPIDTOOLSDIRECT.|5251|12/06/2013|£736.80|Scientific Equipment
"Health & Safety Executive|SPANSET LTD|5046|03/06/2013|£1,212.00|Training Event"
"Health & Safety Executive|WWW.THELAPTOPCENTRE.CO|5734|03/06/2013|£1,114.70|Computer Equipment"
"Health & Safety Executive|THE MCPS-PRS ALLIANCE|7399|05/06/2013|£1,511.48|Computer Software"
Health & Safety Executive|CONNEXION DEVELOPM|5732|06/06/2013|£506.57|Scientific Equipment
Health & Safety Executive|HBM UK LIMITED|5969|11/06/2013|£643.63|Computer Equipment
"Health & Safety Executive|JWS WILEY PUBLISHERS|5942|17/06/2013|£2,373.79|Scientific Subscription"
Health & Safety Executive|KINESIS LIMITED|5047|17/06/2013|£667.08|Scientific Equipment
Health & Safety Executive|WWW.AGI-ORG.UK|8999|07/06/2013|£540.00|Training Event
Health & Safety Executive|BANNER BUSINESS SERVIC|5943|05/06/2013|£550.16|Office Consumables
