Organisation name,Organisation type,Main parent or sponsoring department,Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time equivalent,Payroll staff Other unknown or unspecified Headcount,Payroll staff Other unknown or unspecified Full-time equivalent,Payroll staff Total Employees Headcount,"Payroll staff Total Employees Full-time 
equivalent",Number of non-payroll staff Agency staff (clerical/admin) Headcount,Number of non-payroll staff Agency staff (clerical/admin) Full-time equivalent,Number of non-payroll staff Interim managers Headcount,Number of non-payroll staff Interim managers Full-time equivalent,Number of non-payroll staff Specialist Contractors Headcount,Number of non-payroll staff Specialist Contractors Full-time equivalent,Number of non-payroll staff Consultants/consultancy Headcount,Number of non-payroll staff Consultants/consultancy Full-time equivalent,Number of non-payroll staff Total Headcount,Number of non-payroll staff Total Full-time equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time equivalent,Payroll staff costs Salary,Payroll staff costs Allowances,Payroll staff costs Non-consolidated performance payments,Payroll staff costs Overtime,Payroll staff costs Employer pension contributions,Payroll staff costs Employer national insurance contributions,Payroll staff costs Total paybill for payroll staff,Total monthly cost of contingent labour: agency (clerical and admin) staff and interim managers and specialist contractors,Total monthly cost of consultants/consultancy,Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Cabinet Office,Ministerial Department,Cabinet Office,172,165.85,325,317.07,487,477.58,747,735.07,233,229.1,166,163.04,"2,130","2,088",11,9,295,295,12,11.05,16,5.5,334,320.55,"2,464","2,408","£7,593,053.14","£394,783.57","£612,903.00","£125,357.43","£1,672,858.63","£853,705.62","£11,252,661.39","£2,258,825.00","£1,221,485.00","£3,480,310.00","£14,732,971.39",
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,3,2.56,5,5,3,2.8,3,3,1,1,1,1,16,15,0,0,0,0,0,0,0,0,0,0,16,15,"£41,360.96",£545.00,£0.00,£0.00,"£7,744.35","£3,518.42","£53,168.73",£0.00,£0.00,£0.00,"£53,168.73",
Crown Commercial Services,Executive Agency,Cabinet Office,41,40,101,96.4,291,285.1,164,162.2,38,38,0,0,635,622,18,18,23,23,0,0,0,0,41,41,676,663,"£2,034,516.69","£125,007.73",£0.00,£0.00,"£419,423.39","£198,039.86","£2,776,987.67","£350,607.47","£8,547.31","£359,154.78","£3,136,142.45",
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,107,101,488,453,246,233,78,75,20,20,0,0,939,882,42,42,0,0,5,3.5,0,0,47,45.5,986,928,"£2,071,700.55","£40,305.52","£209,075.60","£17,541.65","£379,649.87","£191,527.27","£2,909,800.46","£146,990.99",£0.00,"£146,990.99","£3,056,791.45",
