12 Top Ten Recipients DFID Bilateral Humanitarian,,,,,,,,,,,
     Assistance 2009/10 - 2011/12,,,,,,,,,,,
,,2009/10,,,2010/11,,,2011/12,,,
Rank,,Country,£ m,,Country,£ m,,Country,£ m,,
,,,,,,,,,,,
1,,Ethiopia, 64 ,,Sudan, 84 ,,Somalia, 79 ,,
2,,Sudan, 59 ,,Pakistan, 83 ,,Pakistan, 59 ,,
3,,Congo (Dem Rep), 41 ,,Congo (Dem Rep), 47 ,,Ethiopia, 57 ,,
4,,Somalia, 32 ,,Somalia, 30 ,,Congo (Dem Rep), 27 ,,
5,,Pakistan, 29 ,,Yemen, 7 ,,Kenya, 23 ,,
,,,,,,,,,,,
6,,Zimbabwe, 19 ,,Haiti, 7 ,,Yemen,20,,
7,,Haiti, 15 ,,Ethiopia, 6 ,,South Sudan, 18 ,,
8,,West Bank,15,,Kenya, 6 ,,Liberia, 11 ,,
9,,Kenya, 14 ,,Burma, 5 ,,Malawi, 8 ,,
10,,Sri Lanka, 13 ,,Eritrea, 4 ,,Cote d'Ivoire, 8 ,,
,,,,,,,,,,,
,,,,,,,,,,,
Total: Top 10 Recipient Countries,,, 300 ,,, 278 ,,, 310 ,,
Total: Humanitarian Assistance,,,435 ,,,351 ,,,354 ,,
Proportion of Total to Top 10,,,69%,,,79%,,,88%,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
