Department Family,Entity,TransactionDate,GL Description,AccountCostCentre,SupplierAccountName,UniqueReferenceNumber, Gross 
CLG,Standards Board for England,07/06/2011,Professional Subscriptions,CEO,BRITISH & IRISH OMBUDSMAN ASS.,58530, 750.00 
CLG,Standards Board for England,22/06/2011,Service Charges,FAC,CLEANING NORTHWEST,58596," 1,033.92 "
CLG,Standards Board for England,02/06/2011,Periodicals,STR,DURRANTS PRESS CUTTINGS LTD,58493," 1,179.67 "
CLG,Standards Board for England,20/06/2011,IT Hardware Repairs & Maintenance,IST,INSIGHT DIRECT (UK) LTD,58572," 3,498.70 "
CLG,Standards Board for England,30/06/2011,Electricity,FAC,JD WILLIAMS,58641," 1,388.68 "
CLG,Standards Board for England,27/06/2011,Electricity,FAC,JD WILLIAMS,58607," 1,498.34 "
CLG,Standards Board for England,27/06/2011,Electricity,FAC,JD WILLIAMS,58608," 1,560.24 "
CLG,Standards Board for England,02/06/2011,Legal Fees,REG,LANDMARK CHAMBERS,58517, 540.00 
CLG,Standards Board for England,03/06/2011,Travel - Train,STR,CAPITA BUSINESS TRAVEL,58552, 7.80 
CLG,Standards Board for England,03/06/2011,Travel - Train,STR,CAPITA BUSINESS TRAVEL,58552, 15.65 
CLG,Standards Board for England,03/06/2011,Travel - Train,STR,CAPITA BUSINESS TRAVEL,58552, 28.25 
CLG,Standards Board for England,03/06/2011,Travel - Train,STR,CAPITA BUSINESS TRAVEL,58552, 35.10 
CLG,Standards Board for England,03/06/2011,Travel - Train,STR,CAPITA BUSINESS TRAVEL,58552, 35.10 
CLG,Standards Board for England,03/06/2011,Travel - Train,STR,CAPITA BUSINESS TRAVEL,58552, 55.40 
CLG,Standards Board for England,03/06/2011,Accommodation,STR,CAPITA BUSINESS TRAVEL,58552, 68.65 
CLG,Standards Board for England,03/06/2011,Accommodation,STR,CAPITA BUSINESS TRAVEL,58552, 68.65 
CLG,Standards Board for England,03/06/2011,Travel - Train,REG,CAPITA BUSINESS TRAVEL,58552, 81.60 
CLG,Standards Board for England,03/06/2011,Travel - Train,STR,CAPITA BUSINESS TRAVEL,58552, 81.60 
CLG,Standards Board for England,03/06/2011,Travel - Train,STR,CAPITA BUSINESS TRAVEL,58552, 98.00 
CLG,Standards Board for England,03/06/2011,Travel - Train,CEO,CAPITA BUSINESS TRAVEL,58552, 122.40 
CLG,Standards Board for England,03/06/2011,Travel - Train,STR,CAPITA BUSINESS TRAVEL,58552, 139.50 
CLG,Standards Board for England,03/06/2011,Travel - Train,STR,CAPITA BUSINESS TRAVEL,58552, 139.50 
CLG,Standards Board for England,03/06/2011,Accommodation,STR,CAPITA BUSINESS TRAVEL,58552, 238.80 
CLG,Standards Board for England,03/06/2011,Travel - Train,STR,CAPITA BUSINESS TRAVEL,58552, 243.60 
CLG,Standards Board for England,03/06/2011,Travel - Train,STR,CAPITA BUSINESS TRAVEL,58552, 283.75 
CLG,Standards Board for England,07/06/2011,Rates,FAC,MANCHESTER CITY COUNCIL,58540," 5,124.00 "
CLG,Standards Board for England,23/06/2011,Rent,FAC,N BROWN FUNDING LTD,58595," 52,860.00 "
CLG,Standards Board for England,01/06/2011,Internet Charges,IST,NODE 4 LIMITED,58492," 2,498.40 "
CLG,Standards Board for England,13/06/2011,Repairs & Maintenance,FAC,OASIS INTERIOR LANDSCAPING,58520, 637.37 
CLG,Standards Board for England,01/06/2011,Mobile Telephone,HRC,ORANGE,58495, 17.14 
CLG,Standards Board for England,01/06/2011,Mobile Telephone,BRD,ORANGE,58495, 17.40 
CLG,Standards Board for England,01/06/2011,Mobile Telephone,CEO,ORANGE,58495, 65.86 
CLG,Standards Board for England,01/06/2011,Mobile Telephone,STR,ORANGE,58495, 97.40 
CLG,Standards Board for England,01/06/2011,Mobile Telephone,IST,ORANGE,58495, 185.98 
CLG,Standards Board for England,01/06/2011,Mobile Telephone,REG,ORANGE,58495, 205.34 
CLG,Standards Board for England,13/06/2011,IT Software Support,IST,VIZUAL BUSINESS TOOLS PLC,58516," 3,600.00 "
