"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"OPC06C","Corporate Gas Oil - CO2 (kg)","257337.57 Number","Number","2014/2015","2014-04-01","2015-03-31","Annual"
"OPC06C","Corporate Gas Oil - CO2 (kg)","152360.27 Number","Number","2015/2016","2015-04-01","2016-03-31","Annual"
