Supplier,Amount,Payment Date
ANGELS HUMAN RESOURCES LTD,1012.8,11/02/2014
ANGELS HUMAN RESOURCES LTD,961.5,11/02/2014
ANGELS HUMAN RESOURCES LTD,1284.47,11/02/2014
ANGELS HUMAN RESOURCES LTD,583.95,11/02/2014
ANGELS HUMAN RESOURCES LTD,1458.26,11/02/2014
ANGELS HUMAN RESOURCES LTD,500.02,11/02/2014
ANGELS HUMAN RESOURCES LTD,1830.14,11/02/2014
ANGELS HUMAN RESOURCES LTD,677.39,11/02/2014
ANGELS HUMAN RESOURCES LTD,2040.96,11/02/2014
ANGELS HUMAN RESOURCES LTD,598.5,11/02/2014
ANGELS HUMAN RESOURCES LTD,1556.9,11/02/2014
ANGELS HUMAN RESOURCES LTD,2838.44,11/02/2014
ANGELS HUMAN RESOURCES LTD,665.01,11/02/2014
ANGELS HUMAN RESOURCES LTD,578.73,12/02/2014
ANGELS HUMAN RESOURCES LTD,506.85,12/02/2014
ANGELS HUMAN RESOURCES LTD,705.12,12/02/2014
ANGELS HUMAN RESOURCES LTD,1012.11,12/02/2014
ANGELS HUMAN RESOURCES LTD,1205.09,12/02/2014
ANGELS HUMAN RESOURCES LTD,743.2,13/02/2014
ANGELS HUMAN RESOURCES LTD,1587.2,13/02/2014
ANTALIS LIMITED,1196.4,24/02/2014
AON,10598.54,20/02/2014
APA  CONCRETE REPAIRS LTD,1914,28/02/2014
APEX LIFTS,85139.05,06/02/2014
APEX LIFTS,106104.46,20/02/2014
ARCHITECTURAL DECORATORS LTD,55599.45,19/02/2014
ARDEN CHAMBERS LTD,1500,10/02/2014
ARDEN CHAMBERS LTD,1800,10/02/2014
ARDEN CHAMBERS LTD,1080,20/02/2014
ARDEN CHAMBERS LTD,1080,20/02/2014
ARDEN CHAMBERS LTD,1080,20/02/2014
ARGOS BUSINESS SOLUTIONS,549.98,13/02/2014
ARK HOME HEALTHCARE LIMITED,788.58,12/02/2014
ARK HOME HEALTHCARE LIMITED,1709.96,12/02/2014
ARK HOME HEALTHCARE LIMITED,2516.6,24/02/2014
ASD LEARNING LTD,967,07/02/2014
ASE CONSULTING LTD,5600,21/02/2014
ASHINGTON HOUSE LTD T/A  ASHINGTON HOUSE,4845.4,25/02/2014
ASSET FINANCE & MANAGEMENT LTD (AFM SOLUTIONS),799.91,27/02/2014
AURORA  LIFT LTD,330881.87,21/02/2014
AURORA  LIFT LTD,8163.58,21/02/2014
AURORA CARE LTD - HENDFORD CARE HOME,2268.18,12/02/2014
BAAF,720,11/02/2014
BANSAL AND LONG LTD,4701.88,25/02/2014
BARBICAN RESPONSE ASSOCIATES LIMITED,600,11/02/2014
BARNES GOLD ESTATES,1080,24/02/2014
BARNES GOLD ESTATES,609,21/02/2014
BARNES GOLD ESTATES,1240,21/02/2014
BARNES GOLD ESTATES,640,21/02/2014
BARNES GOLD ESTATES,961,21/02/2014
BARNES GOLD ESTATES,1000,21/02/2014
BARNES GOLD ESTATES,1000,21/02/2014
BARNES GOLD ESTATES,2354,21/02/2014
BARNES GOLD ESTATES,2574,21/02/2014
BARNES GOLD ESTATES,2134,21/02/2014
BARNES GOLD ESTATES,976.5,21/02/2014
BARNES GOLD ESTATES,1550,21/02/2014
BARNES GOLD ESTATES,2310,21/02/2014
BARNES GOLD ESTATES,1240,21/02/2014
BARNFIELD PROJECT,4104,24/02/2014
BARRY STEWART & SONS LTD,35074.38,14/02/2014
BATES WELLS & BRAITHWAITE LONDON LLP,5398.8,24/02/2014
BAY MEDIA,540,04/02/2014
BAY MEDIA,10620,04/02/2014
BENCHMARQ,2376,28/02/2014
BENSASSON AND CHALMERS LIMITED,7292.08,20/02/2014
BESPOKE CFT LIMITED,600,11/02/2014
BESPOKE CFT LIMITED,600,11/02/2014
BESPOKE CFT LIMITED,600,12/02/2014
BESPOKE CFT LIMITED,600,25/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,512.8,18/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,861.95,18/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,2083.2,18/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,672.28,18/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,538.44,18/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,508.47,18/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,765.91,18/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,679.48,18/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,538.12,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,508.56,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,593.37,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,717.92,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,1907.4,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,602.52,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,641,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,1538.4,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,777.33,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,1019.32,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,894.4,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,1723.44,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,923.04,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,769.2,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,631.77,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,861.95,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,677.9,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,1794.8,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,1256.36,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,1523.56,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,593.37,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,677.9,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,538.44,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,1638.82,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,607.81,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,1057.65,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,534.39,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,1640.96,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,1628.16,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,966,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,1017.64,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,692.43,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,1723.44,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,897.4,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,607.81,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,660.68,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,650.97,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,522.91,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,2401.34,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,1408.69,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,846.12,19/02/2014
BEST VALUE HOME CARE SERVICES UK LTD,1214.7,21/02/2014
BETA DISTRIBUTION (SOUTH),6719.66,05/02/2014
BETA DISTRIBUTION (SOUTH),6719.66,19/02/2014
BETA DISTRIBUTION (SOUTH),6719.66,21/02/2014
BETA DISTRIBUTION (SOUTH),6719.66,24/02/2014
BETHS GRAMMAR SCHOOL,4924.8,06/02/2014
BEXLEY GRAMMAR SCHOOL,1582.8,19/02/2014
BEXLEYHEATH ACADEMY,900,26/02/2014
