PHEC17CD,PHEC17CDH,PHEC17NM,FID
E45000001,X25001AA,London,1
E45000005,X25002AE,West Midlands,2
E45000009,X25003AE,North East,3
E45000010,X25003AF,Yorkshire and Humber,4
E45000016,X25002AF,East Midlands,5
E45000017,X25002AG,East of England,6
E45000018,X25003AG,North West,7
E45000019,X25004AH,South East,8
E45000020,X25004AG,South West,9
