Organisation Name,Organisation Code,Directorate/Service,Cost Centre,Detail Code,Service Category label,Supplier Name,Payment Date,Transaction Number,Net Amount,Purpose of Spend,Procurement Classification,Card Transaction
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",PAYPAL*NATIONWIDET,31/03/2016,164/1,72.52,AUTO PARTS,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30197,"Highways, Roads & Transport Services",IZ*ABTRAILERS,31/03/2016,164/2,35.00,FAULT FIND & REWIRE,Operational Equipment,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2565,30197,Markets and Car Boot Sales,AMAZON,31/03/2016,164/3,204.5,COIN SORTER,Operational Equipment,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,20006,"Highways, Roads & Transport Services",JET KINGSMEAD,31/03/2016,164/4,42.27,FUEL,Fuel Costs,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",B&Q,31/03/2016,164/5,52.84,GRIPNGRAB,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,10026,Cultural and Related Services,Lamps Direct,31/03/2016,164/8,79.1,Projector Lamp,General Repairs / Maintenance,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,20006,"Highways, Roads & Transport Services",SHELL,31/03/2016,161/1,5.89,FUEL,Fuel Costs,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",BURCH & HILLS,31/03/2016,161/2,4.98,RIVETS,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",CHALLENGE FENCING,31/03/2016,161/3,2.28,ROOFING BOLT,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",KEBUR,31/03/2016,161/4,34.63,BALLAST,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,20006,"Highways, Roads & Transport Services",SHELL,31/03/2016,161/5,27.98,FUEL,Fuel Costs,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",KEBUR,31/03/2016,161/6,79.77,BALLAST,Handyman Materials,GPC
