Minister,Date of Trip,Destination,Purpose,"Scheduled, 'No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'",Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Deputy Prime Minister, The Rt Hon Nick Clegg MP",25-Feb-13,The Hague,Met with business leaders and ALDE conference,Scheduled,,£569.83
,12-16 March 2013,Mozambique and Ethiopia,Bilateral visit and G8 engagement,Scheduled,,"£5,052.69"
