Organisation Name,Organisation Code,Directorate/Service,Cost Centre,Detail Code,Service Category label,Supplier Name,Payment Date,Transaction Number,Net Amount,Purpose of Spend,Procurement Classification,Card Transaction
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2402,30090,Bed & Breakfast,Travelodge,30/11/2017,PC 235/ 1,45,B&B,Other Housing Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2402,30090,Bed & Breakfast,Premier Inn,30/11/2017,PC 235/ 2,259.5,B&B,Other Housing Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2402,30090,Bed & Breakfast,Travelodge,30/11/2017,PC 235/ 3,98.33,B&B,Other Housing Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2402,30090,Bed & Breakfast,Travelodge,30/11/2017,PC 235/ 4,769.18,B&B,Other Housing Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Publicity And Advertising,Facebook,30/11/2017,PC 235/ 7,568.55,Show Adverts,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30307,Snap Discos,Facebook,30/11/2017,PC 235/ 8,17.99,SNAP Adverts,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Publicity And Advertising,Facebook,30/11/2017,PC 235/ 9,7.52,Show Adverts,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30307,Snap Discos,Facebook,30/11/2017,PC 235/ 10,6.01,SNAP Adverts,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Publicity And Advertising,Wilko,30/11/2017,PC 235/ 11,6.25,Spray Paint,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Publicity And Advertising,Colourways,30/11/2017,PC 235/ 12,198.15,Panto Tshirts,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Publicity And Advertising,Facebook,30/11/2017,PC 235/ 13,69.81,Show Adverts,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30229,Stationery,Amazon,30/11/2017,PC 235/ 14,9.71,Hand Sanatiser,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Publicity And Advertising,Ikea,30/11/2017,PC 235/ 15,75,5 x Frames ,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Publicity And Advertising,Colourways,30/11/2017,PC 235/ 16,160.95,Panto Tshirts,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Publicity And Advertising,Wilko,30/11/2017,PC 235/ 17,10.5,Christmas Decs,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Publicity And Advertising,UKPOS,30/11/2017,PC 235/ 18,28.95,Thumb Tack Suckers,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Publicity And Advertising,PayPal,30/11/2017,PC 235/ 19,22.41,10 x Aladdins Lamps,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Publicity And Advertising,Amazon,30/11/2017,PC 235/ 20,15.84,4 x Aladdins Lamps,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30209,Payments To Artistes,Magic Shop,30/11/2017,PC 235/ 21,14.65,Panto Prop,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30253,Stage Equipment,Amazon,30/11/2017,PC 235/ 22,17.25,Hand Sanatiser - Panto,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30229,Stationery,Wilko,30/11/2017,PC 235/ 23,6.25,USB,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30229,Stationery,Morrisons,30/11/2017,PC 235/ 24,4.17,Command Strips,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Publicity And Advertising,Striking Displays,30/11/2017,PC 235/ 25,104.3,Dump bin & leaflet rack,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30209,Payments To Artistes,Magic Shop,30/11/2017,PC 235/ 26,30.97,Panto Prop,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,1327,30051,Clothing And Uniforms,Marks and Spencer,30/11/2017,PC 235/ 29,127,Uniform,Over/Under Recovery on Support Services,GPC
