,"Bone protection
 assessment only",Both assessments,Falls assessment only,No assessments,Unknown,,,,
Overall,5374,34886,2585,3052,2704,,,,
ADD,0,351,0,0,4,,,,
AEI,1,289,1,2,1,,,,
ASH,0,291,0,0,1,,,,
BAR,65,78,16,28,3,,,,
BAS,3,308,0,0,7,,,,
BAT,1,339,6,77,12,,,,
BED,31,115,0,0,15,,,,
BFH,257,41,1,113,1,,,,
BLA,13,184,119,12,28,,,,
BNT,0,290,0,0,3,,,,
BOL,82,186,1,3,3,,,,
BRD,0,276,16,0,4,,,,
BRI,2,120,134,2,9,,,,
BRO,16,81,4,1,24,,,,
BRT,0,264,0,0,11,,,,
BRY,192,8,0,2,4,,,,
BSL,4,113,5,9,0,,,,
CCH,0,133,1,0,2,,,,
CGH,0,8,18,151,52,,,,
CHE,2,209,1,20,4,,,,
CHG,0,251,0,0,0,,,,
CHS,2,181,0,0,1,,,,
CMI,91,117,1,18,0,,,,
COC,5,261,7,0,3,,,,
COL,95,146,70,65,8,,,,
DAR,27,221,3,19,16,,,,
DER,287,122,0,5,8,,,,
DEW,0,1,152,0,8,,,,
DGE,8,25,2,1,292,,,,
DID,30,299,10,14,0,,,,
DRY,9,251,13,40,11,,,,
DVH,44,172,0,25,6,,,,
EBH,297,60,2,16,1,,,,
ESU,1,424,0,0,14,,,,
FAZ,2,301,4,1,0,,,,
FGH,26,1,0,30,31,,,,
FRM,0,277,11,0,6,,,,
FRY,1,416,0,3,4,,,,
GEO,5,136,1,1,4,,,,
GGH,29,196,2,2,17,,,,
GHS,4,296,12,5,1,,,,
GLO,1,367,2,1,0,,,,
GWH,4,244,1,0,6,,,,
HAR,21,32,19,112,8,,,,
HCH,0,242,4,21,4,,,,
HIL,28,142,0,2,12,,,,
HIN,132,0,0,15,44,,,,
HOM,1,66,1,4,1,,,,
HOR,4,117,2,1,10,,,,
HRI,0,449,6,1,9,,,,
HUD,167,1,1,177,16,,,,
IOW,12,200,1,2,2,,,,
IPS,0,392,3,0,8,,,,
JPH,0,322,2,12,2,,,,
KCH,37,26,0,0,14,,,,
KGH,20,2,6,71,78,,,,
KMH,159,4,0,1,84,,,,
KSX,134,0,1,18,3,,,,
KTH,3,317,1,0,0,,,,
LDH,34,33,9,120,12,,,,
LER,6,482,125,1,56,,,,
LEW,0,141,1,0,1,,,,
LGH,8,84,5,3,0,,,,
LGI,8,300,230,41,10,,,,
LIN,0,338,0,0,0,,,,
LIS,5,84,0,1,18,,,,
LON,24,0,0,88,12,,,,
MAC,103,45,16,37,7,,,,
MAI,120,1,0,1,8,,,,
MAY,26,228,3,2,5,,,,
MDW,1,310,0,0,2,,,,
MKH,2,80,13,0,5,,,,
MPH,8,322,3,12,6,,,,
MRI,0,134,1,6,5,,,,
NCR,203,106,2,38,8,,,,
NDD,10,115,51,12,13,,,,
NGS,24,374,11,16,3,,,,
NHH,3,186,2,1,0,,,,
NMH,1,126,0,0,2,,,,
NOB,1,57,9,1,0,,,,
NOR,5,629,4,35,30,,,,
NTG,1,261,0,0,4,,,,
NTH,56,1,2,224,4,,,,
NTY,24,230,1,6,0,,,,
NUN,0,176,26,0,1,,,,
NWG,0,84,0,2,0,,,,
OHM,1,116,5,0,12,,,,
OLD,21,305,0,4,21,,,,
PAH,7,236,1,0,1,,,,
PET,1,347,0,0,1,,,,
PGH,0,496,283,0,25,,,,
PIL,2,256,1,0,3,,,,
PIN,12,117,12,109,29,,,,
PLY,0,166,0,1,316,,,,
PMS,1,321,6,0,3,,,,
QAP,0,599,0,0,0,,,,
QEB,2,279,15,2,1,,,,
QEG,0,248,1,0,1,,,,
QEQ,23,360,6,2,0,,,,ALT
QEW,8,123,2,9,4,,,,BRG
QKL,10,278,1,0,2,,,,CLW
RAD,56,320,22,21,0,,,,CRG
RBE,0,398,0,0,1,,,,GWE
RCH,2,409,4,0,3,,,,GWY
RDE,0,518,4,0,0,,,,MOR
RED,0,164,23,3,3,,,,NEV
RFH,4,167,0,2,5,,,,NUH
RLI,60,1,0,114,66,,,,PCH
RLU,24,282,1,3,1,,,,PEH
ROT,0,227,8,0,3,,,,POW
RPH,11,220,58,1,44,,,,RGH
RSC,2,357,2,12,32,,,,RVB
RSS,0,266,9,0,3,,,,SHJ
RSU,2,302,3,4,0,,,,UHW
RUS,0,409,2,0,1,,,,WRX
RVN,0,369,0,1,0,,,,WWG
SAL,6,175,1,12,8,,,,WYB
SAN,97,149,3,51,2,,,,
SCA,110,45,1,8,54,,,,
SCM,0,329,44,0,0,,,,
SCU,0,207,8,0,3,,,,
SDG,42,5,0,9,151,,,,
SEH,25,247,7,124,7,,,,
SGH,43,445,6,3,17,,,,
SHC,206,72,1,33,16,,,,
SHH,74,58,3,19,75,,,,
SLF,15,174,1,0,0,,,,
SMV,4,319,3,1,10,,,,
SOU,0,69,126,0,4,,,,
