Defendant Gender,2010 - 11 Volume,2010 - 11 Percentage,2011 - 12 Volume,2011 - 12 Percentage,2012 - 13 Volume,2012 - 13 Percentage,2013 - 14 Volume,2013 - 14 Percentage
Women,22,21.36%,23,16.20%,21,15.11%,29,12.83%
Men,81,78.64%,117,82.39%,118,84.89%,195,86.28%
Unknown,0,0.00%,2,1.41%,0,0.00%,2,0.88%
Total,103,100.00%,142,100.00%,139,100.00%,226,100.00%
