GIFTS RECEIVED ,,,

Richard Hazlewood,,1st July 2011 - 30 September 2011,


DATE GIFT RECEIVED,FROM,GIFT,VALUE
NIL,,,














Gifts with a value of less than £25 are not recorded.  
The general principle is that gifts and hospitality must only be provided / accepted in exceptional circumstances.
