Permanent Secretary,Date,Name of Organisation,Purpose of meeting
Martin Donnelly,Oct-12,"Queen’s University Centre, Belfast",Introductory Meeting
Martin Donnelly,Oct-12,Qinetiq,General catch-up
Martin Donnelly,Oct-12,London South Bank University,General catch-up
Martin Donnelly,Nov-12,Vodafone,General catch-up
Martin Donnelly,Nov-12,European Council on Foreign Relations,General catch-up
Martin Donnelly,Nov-12,Airbus,General catch-up
Martin Donnelly,Dec-12,Apprenticeship Ambassadors Network,Regular meeting
Martin Donnelly,Dec-12,British Retail Consortium,General catch-up
Sir John Beddington,Oct-12,University of York,To discuss science
Sir John Beddington,Oct-12,The Smith Institute,To discuss science
Sir John Beddington,Oct-12,The Imperial Society of the Knights Bachelor,To discuss science
Sir John Beddington,Oct-12,Nottingham Trent University,To discuss science
Sir John Beddington,Oct-12,Science & Technology Society (Japan),To discuss science
Sir John Beddington,Oct-12,Kyoto University,To discuss science
Sir John Beddington,Oct-12,Australian Academy of Science,To discuss science
Sir John Beddington,Oct-12,University of Melbourne,To discuss science
Sir John Beddington,Oct-12,Australian Academy of Technological Sciences & Engineering,To discuss science
Sir John Beddington,Nov-12,AB Agri,To discuss science
Sir John Beddington,Nov-12,Rolls Royce,To discuss science
Sir John Beddington,Nov-12,Royal Society of Chemistry,To discuss science
Sir John Beddington,Nov-12,British Geological Society,To discuss science
Sir John Beddington,Nov-12,"Merton College, University of Oxford",To discuss science
Sir John Beddington,Dec-12,The Royal Society,To discuss science
Sir John Beddington,Dec-12,UBS,To discuss science
Sir John Beddington,Dec-12,The Institute of Risk Management,To discuss science
Sir John Beddington,Dec-12,National Farmers Union,To discuss science
Sir John Beddington,Dec-12,UK Water Industry Research Ltd,To discuss science
Sir John Beddington,Dec-12,Gates Foundation,To discuss science
Sir John Beddington,Dec-12,University of Manchester,To discuss science
