Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",16/01/2012,BT ,Dinner
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",18/01/2012,CBI,Dinner
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",09/02/2012,Inner Temple,Lunch
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",16/02/2012,The Times ,Lunch
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",20/02/2012,Henry Jackson Society,Dinner
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",23/02/2012,Daily Mail ,Lunch
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",14/03/2012,BT,Dinner
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",08/03/2012,Observer,Lunch
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",28/03/2012,Finsbury,Lunch
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",19/01/2012,Civic Agenda,Dinner
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",08/03/2012,ACEVO,Dinner
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",15/03/2012,Telegraph,Lunch
"Minister without Portfolio, Rt Hon Baroness Warsi",16/01/2011,"Tony Gallagher, Daily Telegraph",Lunch
