Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Work & Pensions,Ministerial Department,Department for Work & Pensions,"43,289","36,763","35,747","31,502","8,823","8,402","1,999","1,940",211,208,3,3,"90,072","78,817",.,.,.,.,209,209,.,.,209,209,"90,281","79,026","£157,174,849","£2,094,511","£446,703","£2,779,592","£28,304,558","£9,929,331","£200,729,545","£3,247,623","£1,486,737","£4,734,360","£205,463,905",
Health and Safety Executive,Crown Non Departmental Public Body,Department for Work and Pensions,430,378,429,397,"1,448","1,364",436,410,27,27,.,.,"2,770","2,575",.,.,.,.,.,.,.,.,0,0,"2,770","2,575","£8,564,498","£119,425",£0,"£19,775","£1,702,885","£740,487","£11,147,070",£0,"£3,443","£3,443","£11,150,513",
Independent Living Fund,Executive Non-Departmental Public Body,Department for Work and Pensions,71,60,27,24,13,12,5,5,2,2,.,.,118,102,1,1,.,.,.,.,.,.,1,1,119,103,"£219,976","£5,449",£0,£508,"£40,312","£15,571","£281,816","£6,225",£0,"£6,225","£288,041",
National Employment Savings Trust Corporation,Executive Non-Departmental Public Body,Department for Work and Pensions,.,.,.,.,.,.,.,.,.,.,240,235,240,235,.,.,7,6,.,.,1,1,8,7,248,242,"£1,171,855",£841,"£1,724","£4,937","£89,910","£127,896","£1,397,163","£70,674","£4,747","£75,421","£1,472,584",
Remploy Ltd,Executive Non-Departmental Public Body,Department for Work and Pensions,.,.,.,.,.,.,.,.,.,.,"1,016",941,"1,016",941,2,1,4,4,.,.,.,.,6,5,"1,022",946,"£1,881,382",£0,"£3,074","£2,466","£155,057","£219,293","£2,261,272","£29,023",£0,"£29,023","£2,290,295",Remploy do not use Civil Service Grades
The Pensions Advisory Service,Executive Non-Departmental Public Body,Department for Work and Pensions,.,.,.,.,.,.,.,.,.,.,36,34,36,34,3,2.4,1,1,.,.,1,0.4,5,3.8,41,38,"£124,144",£0,£0,£0,"£22,917","£11,125","£158,186","£4,250","£214,915","£219,165","£377,351",
The Pensions Regulator,Executive Non-Departmental Public Body,Department for Work and Pensions,.,.,.,.,.,.,.,.,.,.,451,435,451,435,17,17,.,.,5,5,.,.,22,22,473,457,"£1,998,683","£1,433","£66,955","£1,499","£390,354","£203,785","£2,662,710","£171,178","£10,800","£181,978","£2,844,688",
