Completed prosecution defendant gender,2008 - 09 volume,2008 - 09 Percentage,2009 - 10 volume,2009 - 10 Percentage
Women,243,24.20%,425,21.32%
Men,760,75.70%,1568,78.68%
Unknown,1,0.10%,0,0.00%
Total,1004,100.00%,1993,100.00%
