Regional Household Recycling Rates 2000/01 to 2013/14,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15
North East,4.1,5.2,6.6,12.2,15.4,21.1,26.4,28.4,31.1,34.7,36.1,37.9,37,37.9,38.0
North West,7.5,9.2,11.3,14.2,19.2,23.8,28.9,33.4,36.6,38.5,39.8,42.6,43.9,45.6,46.5
Yorkshire and the Humber,7.3,8.9,11.2,14.5,18.6,21.8,26.9,30.5,33.8,36.8,39.5,41.9,43.3,43.9,43.6
East Midlands,13.1,13.7,15.1,19.3,26.3,31.8,35.6,41.9,44.4,45.6,46.2,46.8,46.8,46.4,45.2
West Midlands,9.1,10.2,13,15.7,19.9,25.1,28.6,33,36.6,40,42.4,42.8,43.5,42.2,42.2
Eastern,15.2,17.4,19.4,23.4,29.8,34.1,38.3,41.2,44.5,46.1,48.9,49.7,48.5,49.3,49.3
London,9,9.3,10.9,13.3,17.6,20.7,22.9,25.5,29.2,31.8,32.4,33.9,34,33.9,33.1
South East,16.4,17.7,19.6,22.8,26.1,29.2,33.1,36,38.4,40,41.3,43.3,43.4,43.7,45.0
South West,14.9,16.6,18.6,21.4,26.6,31.4,37.2,40.3,42.3,43.5,46.6,47.2,47.2,46.7,47.6
England,11.2,12.5,14.5,17.8,22.5,26.7,30.9,34.5,37.6,39.7,41.5,43,43.2,43.5,43.7
Regional Percentage of Local Authority Collected Waste Sent to Landfill 2000/01 to 2013/14,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15
North East,76,78,76,70,67.2,60.6,57.4,56.8,52.2,44,41.5,37.4,30.5,19.8,8.8
North West,90,86,83,80,74.7,70.3,65.9,62.2,58.6,59.2,55.5,51.7,46,40.3,31.8
Yorkshire and the Humber,84,85,79,75,70.7,67,62.7,59.6,55.7,49.5,48,43,38.2,34.7,30.0
East Midlands,78,78,78,73,66.5,59.6,58.3,53,49.6,48.1,44.5,39.8,38.4,32.9,25.2
West Midlands,58,57,54,53,49,43.6,41.5,37.3,32.5,28.5,26.7,24.7,23.2,21.9,14.1
Eastern,82,80,79,75,68.8,65.3,61.8,58.3,54.4,50.9,47.3,44.8,43.6,42.2,34.8
London,72,73,71,70,65.4,63.7,56.8,53.2,49,48.7,44.7,30.6,25.5,24.4,20.6
South East,81,79,76,73,67.7,59.3,54,51.2,45.6,37.9,32.7,25.1,21.8,20.9,16.4
South West,82,81,78,75,70,66.9,61.7,58.7,56.4,54.3,49.6,44.4,42.8,40.9,36.1
England,79,78,75,72,66.9,62.2,57.9,54.4,50.3,46.9,43.3,37.4,33.9,30.9,24.6
Regional Residual Household Waste (Kilograms per Household) 2000/01 to 2013/14,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15
North East,1062,1093,1118,1046,995,882,825,778,728,667,636,607,593,583,588
North West,1190,1165,1162,1095,1012,950,857,770,701,658,634,581,548,530,527
Yorkshire and the Humber,1056,1038,1020,953,941,876,830,763,696,643,609,570,543,534,543
East Midlands,1025,1046,1035,977,901,792,759,659,609,581,569,545,537,546,563
West Midlands,1063,1064,1037,983,945,865,838,764,699,642,597,574,557,582,577
Eastern,1004,994,966,889,844,776,733,676,617,571,541,525,525,528,531
London,993,989,957,910,857,819,804,759,667,618,608,585,569,576,589
South East,1026,1018,995,934,899,841,799,754,684,644,624,592,575,588,580
South West,980,988,967,913,848,791,728,678,627,593,550,530,516,526,525
England,1046,1042,1024,962,911,845,798,735,669,625,598,568,551,555,558
