Unique Reference Number,Date,Merchant Category Code,Location,Merchant Category Group,Amount,Supplier,Comment
FCOGPC130600288,17/06/2013,Travel,United Kingdom,Airlines,3592.65,BRITISH AIRW   ,
FCOGPC130600289,17/06/2013,Travel,United Kingdom,Airlines,3288.71,BRITISH AIRW   ,
FCOGPC130600290,17/06/2013,Travel,United Kingdom,Airlines,712.35,BRITISH AIRW   ,
FCOGPC130600291,17/06/2013,Travel,China,Airlines,607.2,CHINA SOUTH,
FCOGPC130600292,17/06/2013,Travel,Iceland,Airlines,646.9,ICELANDAIR  ,
FCOGPC130600293,17/06/2013,Travel,Iceland,Airlines,723.9,ICELANDAIR  ,
FCOGPC130600294,17/06/2013,Travel,Netherlands,Airlines,1364.93,KLM PANAM,
FCOGPC130600295,17/06/2013,Travel,Oman,Airlines,685.47,OMAN AIR  ,
FCOGPC130600296,17/06/2013,Travel,United Kingdom,Airlines,1352.65,QANTAS AIR  ,
FCOGPC130600297,17/06/2013,Travel,United Kingdom,Airlines,3047.3,SWISS INTL. ,
FCOGPC130600298,17/06/2013,Travel,United Kingdom,Airlines,1381.25,VIR ATL    ,
FCOGPC130600299,17/06/2013,Travel,United Kingdom,Airlines,1626.75,VIR ATL    ,
FCOGPC130600300,17/06/2013,Travel,United Kingdom,Airlines,3416.05,VIR ATL    ,
FCOGPC130600301,17/06/2013,Travel,United Kingdom,Airlines,869.15,VIR ATL    ,
FCOGPC130600302,17/06/2013,Travel,United Kingdom,Airlines,1076.5,VIR ATL    ,
FCOGPC130600303,17/06/2013,Travel,United Kingdom,Airlines,1656.25,VIR ATL    ,
FCOGPC130600304,17/06/2013,Travel,United Kingdom,Airlines,2804.65,VIR ATL    ,
FCOGPC130600305,17/06/2013,Travel,United Kingdom,Airlines,3412.65,VIR ATL    ,
FCOGPC130600306,17/06/2013,Travel,Japan,Airlines,3559.24,VIRGIN ATLANTIC AIRWAY,
FCOGPC130600307,17/06/2013,Travel,United Kingdom,Airlines,693.05,JET AIR     ,
FCOGPC130600308,18/06/2013,Travel,Belgium,Airlines,579.2,AMERICAN AI ,
FCOGPC130600309,18/06/2013,Travel,Belgium,Airlines,992.8,AMERICAN AI ,
FCOGPC130600310,18/06/2013,Travel,Japan,Airlines,2308.44,BRITISH AIRW ,
FCOGPC130600311,19/06/2013,Travel,United Kingdom,Airlines,1353.25,AIR CANADA  ,
FCOGPC130600312,19/06/2013,Travel,United Kingdom,Airlines,531.02,AIR MALTA   ,
FCOGPC130600313,19/06/2013,Travel,United Kingdom,Airlines,531.02, AIR MALTA,
FCOGPC130600314,19/06/2013,Travel,United Kingdom,Airlines,1515.1,AIRMAURITIUS,
FCOGPC130600315,19/06/2013,Travel,United Kingdom,Airlines,1515.1,AIRMAURITIUS,
FCOGPC130600316,19/06/2013,Travel,United Kingdom,Airlines,2512.15,AIRSTANA    ,
FCOGPC130600317,19/06/2013,Travel,Belgium,Airlines,4198.05,AMERICAN AI ,
FCOGPC130600318,19/06/2013,Travel,Belgium,Airlines,5162.05,AMERICAN AI ,
FCOGPC130600319,19/06/2013,Travel,United Kingdom,Airlines,511.7,BRITISH AIRW,
FCOGPC130600320,19/06/2013,Travel,United Kingdom,Airlines,3126.45,BRITISH AIRW,
FCOGPC130600321,19/06/2013,Travel,United Kingdom,Airlines,3066.71,BRITISH AIRW,
FCOGPC130600322,19/06/2013,Travel,United Kingdom,Airlines,3066.71,BRITISH AIRW,
FCOGPC130600323,19/06/2013,Travel,United Kingdom,Airlines,1698.95,BRITISH AIRW,
FCOGPC130600324,19/06/2013,Travel,United Kingdom,Airlines,1698.95,BRITISH AIRW,
FCOGPC130600325,19/06/2013,Travel,United Kingdom,Airlines,891.19,EM AIR      ,
FCOGPC130600326,19/06/2013,Travel,United Kingdom,Airlines,604.9,THAI AIRWAYS,
FCOGPC130600327,20/06/2013,Travel,Colombia,Airlines,1437.99,AIR FRANCE,
FCOGPC130600328,20/06/2013,Travel,France,Airlines,2764.61,AIR FRANCE,
FCOGPC130600329,20/06/2013,Travel,France,Airlines,2764.61,AIR FRANCE,
FCOGPC130600330,20/06/2013,Travel,United Kingdom,Airlines,-655.39,AUSTRIAN AI ,
FCOGPC130600331,20/06/2013,Travel,United Kingdom,Airlines,-655.39,AUSTRIAN AI ,
FCOGPC130600332,20/06/2013,Travel,Colombia,Airlines,524.97,AVIANCA,
FCOGPC130600333,20/06/2013,Travel,Hong Kong,Airlines,2701.98,BRITISH AIRW,
FCOGPC130600334,20/06/2013,Travel,United Kingdom,Airlines,655.95,BRITISH AIRW,
FCOGPC130600335,20/06/2013,Travel,United Kingdom,Airlines,1698.95,BRITISH AIRW,
FCOGPC130600336,20/06/2013,Travel,United Kingdom,Airlines,2070.71,BRITISH AIRW,
FCOGPC130600337,20/06/2013,Travel,United Kingdom,Airlines,701.4,CONDOR     ,
FCOGPC130600338,20/06/2013,Travel,United Kingdom,Airlines,814.31,EM AIR     ,
FCOGPC130600339,20/06/2013,Travel,France,Airlines,521.7,Gulf Air  ,
FCOGPC130600340,20/06/2013,Travel,Iceland,Airlines,737.47,Icelandair ticket sale,
FCOGPC130600341,20/06/2013,Travel,United Kingdom,Airlines,1636.75,KENYA AIRWA ,
FCOGPC130600342,20/06/2013,Travel,Netherlands,Airlines,1457.74,KLM UNITED  ,
FCOGPC130600343,20/06/2013,Travel,United States,Airlines,-1783.57,KOREAN    ,
FCOGPC130600344,20/06/2013,Travel,United Kingdom,Airlines,2325.65,QATAR AIR ,
FCOGPC130600345,20/06/2013,Travel,United Kingdom,Airlines,2308.15,QATAR AIR ,
FCOGPC130600346,20/06/2013,Travel,United Kingdom,Airlines,1236,ROYAL JORDAN,
FCOGPC130600347,20/06/2013,Travel,Australia,Airlines,833.17,SINGAPORE ,
FCOGPC130600348,20/06/2013,Travel,United Kingdom,Airlines,592.2,THY         ,
FCOGPC130600349,20/06/2013,Travel,United Kingdom,Airlines,1020.15,VIR ATL     ,
FCOGPC130600350,21/06/2013,Travel,United Kingdom,Airlines,1766.59,AUSTRIAN  ,
FCOGPC130600351,21/06/2013,Travel,United Kingdom,Airlines,1766.59,AUSTRIAN  ,
FCOGPC130600352,21/06/2013,Travel,United Kingdom,Airlines,1766.59,AUSTRIAN  ,
FCOGPC130600353,21/06/2013,Travel,United Kingdom,Airlines,586.09,AUSTRIAN  ,
FCOGPC130600354,21/06/2013,Travel,Colombia,Airlines,633.67,AVIANCA,
FCOGPC130600355,21/06/2013,Travel,United Kingdom,Airlines,-1930.25,BRITISH AIRW   ,
FCOGPC130600356,21/06/2013,Travel,United Kingdom,Airlines,-1930.25,BRITISH AIRW   ,
FCOGPC130600357,21/06/2013,Travel,United Kingdom,Airlines,1243.15,BRITISH AIRW   ,
FCOGPC130600358,21/06/2013,Travel,United Kingdom,Airlines,1324.75,BRITISH AIRW   ,
FCOGPC130600359,21/06/2013,Travel,United Kingdom,Airlines,906.75,BRITISH AIRW   ,
FCOGPC130600360,21/06/2013,Travel,United Kingdom,Airlines,595.5,BRITISH AIRW   ,
FCOGPC130600361,21/06/2013,Travel,United Kingdom,Airlines,1761.6,EVA AIRWAYS,
FCOGPC130600362,21/06/2013,Travel,United Kingdom,Airlines,3210.45,MALAY AI  ,
FCOGPC130600363,21/06/2013,Travel,United Kingdom,Airlines,1427.6,PAKISTAN AIR,
FCOGPC130600364,21/06/2013,Travel,United Kingdom,Airlines,1035.75,QATAR AIR ,
FCOGPC130600365,21/06/2013,Travel,United Kingdom,Airlines,1160.75,QATAR AIR ,
FCOGPC130600366,21/06/2013,Travel,United Kingdom,Airlines,2551.5,QATAR AIR ,
FCOGPC130600367,21/06/2013,Travel,United Kingdom,Airlines,2551.5,QATAR AIR ,
FCOGPC130600368,21/06/2013,Travel,United Kingdom,Airlines,2551.5,QATAR AIR ,
FCOGPC130600369,21/06/2013,Travel,United Kingdom,Airlines,2551.5,QATAR AIR ,
FCOGPC130600370,21/06/2013,Travel,United Kingdom,Airlines,2551.5,QATAR AIR ,
FCOGPC130600371,21/06/2013,Travel,United Kingdom,Airlines,2551.5,QATAR AIR ,
FCOGPC130600372,21/06/2013,Travel,United Kingdom,Airlines,2551.5,QATAR AIR ,
FCOGPC130600373,24/06/2013,Travel,United Kingdom,Airlines,1559.05,AIR CANADA  ,
FCOGPC130600374,24/06/2013,Travel,United Kingdom,Airlines,1559.05,AIR CANADA  ,
FCOGPC130600375,24/06/2013,Travel,France,Airlines,3225.49,AIR FRANCE ,
FCOGPC130600376,24/06/2013,Travel,France,Airlines,3008.9,AIR FRANCE  ,
FCOGPC130600377,24/06/2013,Travel,United Kingdom,Airlines,-1016.6,AMERICAN AI ,
FCOGPC130600378,24/06/2013,Travel,United Kingdom,Airlines,-1016.6,AMERICAN AI ,
FCOGPC130600379,24/06/2013,Travel,Belgium,Airlines,1206.7,AMERICAN AI ,
FCOGPC130600380,24/06/2013,Travel,Belgium,Airlines,1206.7,AMERICAN AI ,
FCOGPC130600381,24/06/2013,Travel,United Kingdom,Airlines,1812.55,BRITISH AIRW,
FCOGPC130600382,24/06/2013,Travel,United Kingdom,Airlines,1365.75,BRITISH AIRW,
FCOGPC130600383,24/06/2013,Travel,United Kingdom,Airlines,860.05,BRITISH AIRW,
FCOGPC130600384,24/06/2013,Travel,United Kingdom,Airlines,528.2,BRITISH AIRW,
FCOGPC130600385,24/06/2013,Travel,United Kingdom,Airlines,5292.55,BRITISH AIRW,
FCOGPC130600386,24/06/2013,Travel,Croatia,Airlines,-1352.94,CTN ULIX,
FCOGPC130600387,24/06/2013,Travel,Ireland,Airlines,1568,DELTA,
FCOGPC130600388,24/06/2013,Travel,United Kingdom,Airlines,-545.7,EM AIR      ,
FCOGPC130600389,24/06/2013,Travel,United Kingdom,Airlines,552.09,EM AIR      ,
FCOGPC130600390,24/06/2013,Travel,United Kingdom,Airlines,526.99,EM AIR      ,
FCOGPC130600391,24/06/2013,Travel,United Kingdom,Airlines,803.09,EM AIR      ,
FCOGPC130600392,24/06/2013,Travel,United Arab Emirates,Airlines,671.3,EM AIR      ,
FCOGPC130600393,24/06/2013,Travel,Colombia,Airlines,4498.32,LUFTHANSA,
FCOGPC130600394,24/06/2013,Travel,Australia,Airlines,815.45,QANTAS AI ,
FCOGPC130600395,24/06/2013,Travel,United Kingdom,Airlines,2698.15,QATAR AIR ,
FCOGPC130600396,24/06/2013,Travel,United Kingdom,Airlines,712.15,QATAR AIR ,
FCOGPC130600397,24/06/2013,Travel,United Kingdom,Airlines,712.15,QATAR AIR ,
FCOGPC130600398,24/06/2013,Travel,United Kingdom,Airlines,712.15,QATAR AIR ,
FCOGPC130600399,24/06/2013,Travel,United Kingdom,Airlines,712.15,QATAR AIR ,
FCOGPC130600400,24/06/2013,Travel,United Kingdom,Airlines,2698.15,QATAR AIR ,
FCOGPC130600401,24/06/2013,Travel,United Kingdom,Airlines,2258.55,QATAR AIR ,
FCOGPC130600402,24/06/2013,Travel,United Kingdom,Airlines,508,QATAR AIR ,
FCOGPC130600403,24/06/2013,Travel,Panama,Airlines,710.36,TACA INT,
FCOGPC130600404,24/06/2013,Travel,United Kingdom,Airlines,897.45,THY         ,
FCOGPC130600405,24/06/2013,Travel,United Kingdom,Airlines,896.3,VIR ATL     ,
FCOGPC130600406,24/06/2013,Travel,United Kingdom,Airlines,1201.95,VIR ATL     ,
FCOGPC130600407,24/06/2013,Travel,United Kingdom,Airlines,1201.95,VIR ATL     ,
FCOGPC130600408,24/06/2013,Travel,United Kingdom,Airlines,799.45,VIR ATL     ,
FCOGPC130600409,24/06/2013,Travel,United Kingdom,Airlines,724.6,VIR ATL     ,
FCOGPC130600410,24/06/2013,Travel,United Kingdom,Airlines,3162.95,VIR ATL     ,
FCOGPC130600411,24/06/2013,Travel,United Kingdom,Airlines,703.95,VIR ATL     ,
FCOGPC130600412,25/06/2013,Travel,United Kingdom,Airlines,653.25,LUFTHANSA   ,
FCOGPC130600413,25/06/2013,Travel,United Kingdom,Airlines,1511,QATAR AIR ,
FCOGPC130600414,25/06/2013,Travel,United Kingdom,Airlines,1162,QATAR AIR ,
FCOGPC130600415,26/06/2013,Travel,Colombia,Airlines,1640.77,AIR FRANCE,
FCOGPC130600416,26/06/2013,Travel,Fiji,Airlines,1124.47,AIR PACIFIC LTD,
FCOGPC130600417,26/06/2013,Travel,United Kingdom,Airlines,885.65,BRITISH AIRW,
FCOGPC130600418,26/06/2013,Travel,United Kingdom,Airlines,703.6,BRITISH AIRW,
FCOGPC130600419,26/06/2013,Travel,United Kingdom,Airlines,507.2,BRITISH AIRW,
FCOGPC130600420,26/06/2013,Travel,United Kingdom,Airlines,907.05,BRITISH AIRW,
FCOGPC130600421,26/06/2013,Travel,United Kingdom,Airlines,839.09,EM AIR      ,
FCOGPC130600422,26/06/2013,Travel,Iceland,Airlines,578.56,Icelandair ticket sale,
FCOGPC130600423,26/06/2013,Travel,Netherlands,Airlines,667.58,KLM UNITED  ,
FCOGPC130600424,26/06/2013,Travel,United Kingdom,Airlines,1427.6,PAKISTAN AIR,
FCOGPC130600425,26/06/2013,Travel,United Kingdom,Airlines,773.92,THY         ,
FCOGPC130600426,26/06/2013,Travel,United Kingdom,Airlines,696.7,THY         ,
FCOGPC130600427,26/06/2013,Travel,United Kingdom,Airlines,605.8,THY         ,
FCOGPC130600428,27/06/2013,Travel,France,Airlines,1753.2,AIR FRANCE  ,
FCOGPC130600429,27/06/2013,Travel,France,Airlines,1753.2,AIR FRANCE  ,
FCOGPC130600430,27/06/2013,Travel,United Kingdom,Airlines,507.85,BRITISH AIRW ,
FCOGPC130600431,27/06/2013,Travel,United Kingdom,Airlines,2760.15,BRITISH AIRW ,
FCOGPC130600432,27/06/2013,Travel,United Kingdom,Airlines,1435.45,BRITISH AIRW ,
FCOGPC130600433,27/06/2013,Travel,United Kingdom,Airlines,531.25,BRITISH AIRW ,
FCOGPC130600434,27/06/2013,Travel,United Kingdom,Airlines,1435.45,BRITISH AIRW ,
FCOGPC130600435,27/06/2013,Travel,Ireland,Airlines,519.44,EASYJET    ,
FCOGPC130600436,27/06/2013,Travel,United Kingdom,Airlines,2018.29,EM AIR      ,
FCOGPC130600437,27/06/2013,Travel,United Kingdom,Airlines,2210.9,EM AIR      ,
FCOGPC130600438,27/06/2013,Travel,United Kingdom,Airlines,1887.1,LUFTHANSA   ,
FCOGPC130600439,27/06/2013,Travel,United Kingdom,Airlines,1887.1,LUFTHANSA   ,
FCOGPC130600440,27/06/2013,Travel,United Kingdom,Airlines,725.5,LUFTHANSA   ,
FCOGPC130600441,27/06/2013,Travel,United Kingdom,Airlines,3505.55,QATAR AIR ,
FCOGPC130600442,27/06/2013,Travel,United Kingdom,Airlines,2325.55,QATAR AIR ,
FCOGPC130600443,27/06/2013,Travel,United Kingdom,Airlines,1228.75,QATAR AIR ,
FCOGPC130600444,27/06/2013,Travel,France,Airlines,557.1,ROYAL AIR MA,
FCOGPC130600445,27/06/2013,Travel,France,Airlines,557.1,ROYAL AIR MA,
FCOGPC130600446,27/06/2013,Travel,United Kingdom,Airlines,-2202.95,THY         ,
FCOGPC130600447,27/06/2013,Travel,United Kingdom,Airlines,-1943.02,THY         ,
FCOGPC130600448,27/06/2013,Travel,United Kingdom,Airlines,-1969.95,THY         ,
FCOGPC130600449,27/06/2013,Travel,United Kingdom,Airlines,-1737.95,THY         ,
FCOGPC130600450,27/06/2013,Travel,United Kingdom,Airlines,-1969.95,THY         ,
FCOGPC130600451,27/06/2013,Travel,United Kingdom,Airlines,551.95,VIR ATL     ,
FCOGPC130600452,27/06/2013,Travel,United Kingdom,Airlines,2998.95,VIR ATL     ,
FCOGPC130600453,27/06/2013,Travel,United Kingdom,Airlines,-1879.25,VIR ATL     ,
FCOGPC130600454,28/06/2013,Travel,United Kingdom,Airlines,810.35,BRITISH AIRW,
FCOGPC130600455,28/06/2013,Travel,United Kingdom,Airlines,552.8,BRITISH AIRW,
FCOGPC130600456,28/06/2013,Travel,Guyana,Airlines,538.49,BWIA      ,
FCOGPC130600457,28/06/2013,Travel,United Kingdom,Airlines,-1968.35,ETIHADAIR   ,
FCOGPC130600458,28/06/2013,Travel,Germany,Airlines,1593.65,GULF AIR    ,
FCOGPC130600459,28/06/2013,Travel,Germany,Airlines,1593.65,GULF AIR    ,
FCOGPC130600460,28/06/2013,Travel,United Kingdom,Airlines,1774.5,KENYA AIRWA ,
FCOGPC130600461,28/06/2013,Travel,United Kingdom,Airlines,1180,QATAR AIR ,
FCOGPC130600462,28/06/2013,Travel,United Kingdom,Airlines,2203.95,ROYAL JORDAN,
FCOGPC130600463,28/06/2013,Travel,United Kingdom,Airlines,1204.7,ROYAL JORDAN,
FCOGPC130600464,28/06/2013,Travel,United Kingdom,Airlines,1204.7,ROYAL JORDAN,
FCOGPC130600465,28/06/2013,Travel,United Kingdom,Airlines,2203.95,ROYAL JORDAN,
FCOGPC130600466,28/06/2013,Travel,United Kingdom,Airlines,-538.9,THAI AIRWAYS,
FCOGPC130600467,28/06/2013,Travel,United Kingdom,Airlines,523.8,THAI AIRWAYS,
FCOGPC130600468,28/06/2013,Travel,United Kingdom,Airlines,574.05,THY         ,
FCOGPC130600469,28/06/2013,Travel,United Kingdom,Airlines,629.35,VIR ATL     ,
FCOGPC130600470,03/06/2013,Travel ,United Kingdom,Car Hire,1686.34,TRAVELHIRE,
FCOGPC130600471,03/06/2013,Travel ,United Kingdom,Car Hire,3185.27,TRAVELHIRE,
FCOGPC130600472,07/06/2013,Motoring,United Kingdom,Car Hire,8404.96,TRAVELHIRE,
FCOGPC130600473,03/06/2013,Cash,Iceland,Cash,873,Landsbanki Islands,Survey for roof damage at post overseas
FCOGPC130600474,27/06/2013,Cash,Iceland,Cash,542.51,Landsbanki Islands,Payment of miscellaneous Embassy bills
FCOGPC130600475,03/06/2013,Outbound Telemarketing Merchnt,Colombia,Catalogue,746.09,ELEMPLEO.COM,
FCOGPC130600476,04/06/2013,Computer Network/Info Svcs,Australia,Catalogue,1269.05,PROJECTORY,
FCOGPC130600477,05/06/2013,Catalog Merchant,Japan,Catalogue,1060.23,KEIOMARUNOUCHISHITEIKI,
FCOGPC130600478,06/06/2013,Computer Network/Info Svcs,Indonesia,Catalogue,901.36,BIZNET# 14962-258686,
FCOGPC130600479,07/06/2013,Outbound Telemarketing Merchnt,Colombia,Catalogue,725.07,ELEMPLEO.COM,
FCOGPC130600480,10/06/2013,Catalog Merchant,United Kingdom,Catalogue,1914.86,STATIONERY OFFICE BOOK,
FCOGPC130600481,11/06/2013,Other Direct Marketers,United Kingdom,Catalogue,805.64,VODAFONE LTD,
FCOGPC130600482,11/06/2013,Other Direct Marketers,United Kingdom,Catalogue,714.65,VODAFONE LTD,
FCOGPC130600483,11/06/2013,Other Direct Marketers,United Kingdom,Catalogue,881.12,VODAFONE LTD,
FCOGPC130600484,11/06/2013,Other Direct Marketers,United Kingdom,Catalogue,2299.93,VODAFONE LTD,
FCOGPC130600485,11/06/2013,Other Direct Marketers,United Kingdom,Catalogue,1525.56,VODAFONE LTD,
FCOGPC130600486,11/06/2013,Other Direct Marketers,United Kingdom,Catalogue,741.15,VODAFONE LTD,
FCOGPC130600487,11/06/2013,Other Direct Marketers,United Kingdom,Catalogue,512.53,VODAFONE LTD,
FCOGPC130600488,11/06/2013,Other Direct Marketers,United Kingdom,Catalogue,1242.1,VODAFONE LTD,
FCOGPC130600489,11/06/2013,Other Direct Marketers,United Kingdom,Catalogue,1952.21,VODAFONE LTD,
FCOGPC130600490,11/06/2013,Other Direct Marketers,United Kingdom,Catalogue,585.37,VODAFONE LTD,
FCOGPC130600491,11/06/2013,Other Direct Marketers,United Kingdom,Catalogue,2274.46,VODAFONE LTD,
FCOGPC130600492,11/06/2013,Other Direct Marketers,United Kingdom,Catalogue,511.28,VODAFONE LTD,
FCOGPC130600493,12/06/2013,Other Direct Marketers,United Kingdom,Catalogue,785.57,VODAFONE LTD,
FCOGPC130600494,12/06/2013,Other Direct Marketers,United Kingdom,Catalogue,526.76,VODAFONE LTD,
FCOGPC130600495,12/06/2013,Other Direct Marketers,United Kingdom,Catalogue,592.43,VODAFONE LTD,
FCOGPC130600496,12/06/2013,Other Direct Marketers,United Kingdom,Catalogue,722.26,VODAFONE LTD,
FCOGPC130600497,12/06/2013,Other Direct Marketers,United Kingdom,Catalogue,1956.42,VODAFONE LTD,
FCOGPC130600498,12/06/2013,Other Direct Marketers,United Kingdom,Catalogue,1147.83,VODAFONE LTD,
FCOGPC130600499,12/06/2013,Other Direct Marketers,United Kingdom,Catalogue,524.97,VODAFONE LTD,
FCOGPC130600500,12/06/2013,Other Direct Marketers,United Kingdom,Catalogue,4539.94,VODAFONE LTD,
FCOGPC130600501,12/06/2013,Other Direct Marketers,United Kingdom,Catalogue,4539.94,VODAFONE LTD,
FCOGPC130600502,12/06/2013,Other Direct Marketers,United Kingdom,Catalogue,853.59,VODAFONE LTD,
FCOGPC130600503,12/06/2013,Other Direct Marketers,United Kingdom,Catalogue,550.33,VODAFONE LTD,
FCOGPC130600504,17/06/2013,Outbound Telemarketing Merchnt,Colombia,Catalogue,726.68,ELEMPLEO.COM,
FCOGPC130600505,25/06/2013,Combination Catalog & Retail,United Kingdom,Catalogue,648.75,LTT VENDING SOUTH,
FCOGPC130600506,26/06/2013,Other Direct Marketers,United Kingdom,Catalogue,596,Amazon *Marketplce JP,
FCOGPC130600507,27/06/2013,Other Direct Marketers,Luxembourg,Catalogue,695.71,Amazon EU,
FCOGPC130600508,27/06/2013,Direct Mktg-Travel Related Arr,Pakistan,Catalogue,945.2,SHAKIL EXPRESS PVT LTD,
FCOGPC130600509,27/06/2013,Catalog Merchant,United Kingdom,Catalogue,818.72,STATIONERY OFFICE BOOK,
FCOGPC130600510,03/06/2013,Fabric Stores,United Kingdom,Clothing,1298.55,OSBORNE & LITTLE L,Fabric to recover chairs in Nairobi Residence & wallpaper for Morning Room in Washington Residence
FCOGPC130600511,12/06/2013,Men/Boys Clothing/Acc Stores,United Kingdom,Clothing,1731.07,CORPORATE TOGS (SHROPS,Staff T-shirts for G8
FCOGPC130600512,06/06/2013,Department Stores,United Kingdom,Department Stores,541,WWW.JOHNLEWIS.COM,
FCOGPC130600513,12/06/2013,Department Stores,Czech Republic,Department Stores,674.35,HORNBACH PRAHA - REPY,
FCOGPC130600514,24/06/2013,Department Stores,Nicaragua,Department Stores,1004.98,MIA FASHION - LOS ROBL,Flower arrangements for Queen's Birthday Party at post overseas
FCOGPC130600515,03/06/2013,Furniture/Equip Stores,Uruguay,Diy & Household Stores,1212.98,LA CASA INTERIORES,
FCOGPC130600516,05/06/2013,Hardware Stores,Greece,Diy & Household Stores,922.07,CARR MAK,
FCOGPC130600517,05/06/2013,Furniture/Equip Stores,United Kingdom,Diy & Household Stores,828.3,DIPLOMATIC MISSION,
FCOGPC130600518,06/06/2013,Electronics Stores,Singapore,Diy & Household Stores,502.21,COURTS (S) LTD - VISTA,
FCOGPC130600519,06/06/2013,Construction Materials - Def,Turkey,Diy & Household Stores,723.95,FIMOB MIMARLIK TURIZM,
FCOGPC130600520,06/06/2013,Floor Covering Stores,Iceland,Diy & Household Stores,633.32,Stepp ehf,
FCOGPC130600521,10/06/2013,Household Appliance Stores,Croatia,Diy & Household Stores,736.45,ELIPSO MP24,
FCOGPC130600522,11/06/2013,Furniture/Equip Stores,Uruguay,Diy & Household Stores,1225.02,LA CASA INTERIORES,
FCOGPC130600523,12/06/2013,Electronics Stores,United Kingdom,Diy & Household Stores,535.21,CURRYS,
FCOGPC130600524,14/06/2013,Household Appliance Stores,Turkey,Diy & Household Stores,599.09,ARCELIK-SAFA TIC DAY T,
FCOGPC130600525,14/06/2013,Household Appliance Stores,Turkey,Diy & Household Stores,627.11,ARCELIK-SAFA TIC DAY T,
FCOGPC130600526,14/06/2013,Furniture/Equip Stores,Uruguay,Diy & Household Stores,822.84,MARIA VICTORIA,
FCOGPC130600527,17/06/2013,Drapery & Upholstery Stores,United Kingdom,Diy & Household Stores,980.52,HLL LINENS LTD,
FCOGPC130600528,17/06/2013,Lumber/Build. Supply Stores,United Kingdom,Diy & Household Stores,6000,TIMONEY TEC,Payment for Park & Ride during G8 Summit in Enniskillen
FCOGPC130600529,18/06/2013,Electronics Stores,United Kingdom,Diy & Household Stores,1089.95,PC WORLD ONLINE,
FCOGPC130600530,19/06/2013,Household Appliance Stores,Hong Kong,Diy & Household Stores,-2066.91,BROADWAY PHOTO S LT 56,
FCOGPC130600531,19/06/2013,Furniture/Equip Stores,Mexico,Diy & Household Stores,1027.83,D EUROPE MARINA NAL,
FCOGPC130600532,19/06/2013,Furniture/Equip Stores,Mexico,Diy & Household Stores,1027.83,D EUROPE MARINA NAL,
FCOGPC130600533,19/06/2013,Household Appliance Stores,Hong Kong,Diy & Household Stores,-2110.71,FORTRESS 478 KLN,
FCOGPC130600534,19/06/2013,Household Appliance Stores,Hong Kong,Diy & Household Stores,-1033.45,FORTRESS HK/655,
FCOGPC130600535,19/06/2013,Household Appliance Stores,Hong Kong,Diy & Household Stores,-1033.45,FORTRESS HK/655,
FCOGPC130600536,19/06/2013,Furniture/Equip Stores,Turkey,Diy & Household Stores,938.28,ISTIKBAL - BEYPA DAY.T,
FCOGPC130600537,19/06/2013,Household Appliance Stores,Hong Kong,Diy & Household Stores,-978.19,SUNING CITICALL,
FCOGPC130600538,20/06/2013,Furniture/Equip Stores,Turkey,Diy & Household Stores,665.33,AKABE MOBILYA SANAYI V,
FCOGPC130600539,20/06/2013,Furniture/Equip Stores,Turkey,Diy & Household Stores,1225.62,AKABE MOBILYA SANAYI V,
FCOGPC130600540,20/06/2013,Electronics Stores,ROM,Diy & Household Stores,1424.47,DANTE INTERNATIONAL SA,
FCOGPC130600541,20/06/2013,Electronics Stores,Belize,Diy & Household Stores,778.69,FULTEC SYSTEMS BELMOPA,
FCOGPC130600542,20/06/2013,Hardware Stores,Jamaica,Diy & Household Stores,564.82,NATIONAL SUPPLY,
FCOGPC130600543,21/06/2013,Household Appliance Stores,Russia,Diy & Household Stores,1000.45,M.VIDEO 26  7,
FCOGPC130600544,24/06/2013,Misc Home Furnishing Specialty,Uruguay,Diy & Household Stores,771.83,DIVINO,
FCOGPC130600545,24/06/2013,Misc Home Furnishing Specialty,Uruguay,Diy & Household Stores,1351.1,DIVINO,
FCOGPC130600546,24/06/2013,Misc Home Furnishing Specialty,Uruguay,Diy & Household Stores,1225.4,DIVINO,
FCOGPC130600547,24/06/2013,Misc Home Furnishing Specialty,Uruguay,Diy & Household Stores,562.83,DIVINO,
FCOGPC130600548,27/06/2013,Electronics Stores,United Kingdom,Diy & Household Stores,721.46,CURRYS,
FCOGPC130600549,27/06/2013,Commercial Furniture,Trinidad & Tobago,Diy & Household Stores,551.48,OFFICE CENTRE,
FCOGPC130600550,28/06/2013,Electrical Parts/Equipment,Turkey,Diy & Household Stores,657.86,SINAN ELEKTRIK MALZ.,
FCOGPC130600551,07/06/2013,Theatrical Producers,United Kingdom,Entertainment,634,MET POLICE EVENTS,
FCOGPC130600552,10/06/2013,Fast Food Restaurants,United Kingdom,Entertainment,919.2,WWW.MISSION COMMS,Official contracted catering company
FCOGPC130600553,11/06/2013,Restaurants,El Salvador,Entertainment,698.03,REPUBLIK,Venue payment for British week Band finals
FCOGPC130600554,12/06/2013,Restaurants,Taiwan,Entertainment,2861.19,FU YUAN RESTAURANT,Networking dinner for Rail Trade Mission to post overseas
FCOGPC130600555,14/06/2013,Restaurants,Panama,Entertainment,897.1,RESTAURANTE MANOLO CAR,
FCOGPC130600556,17/06/2013,Restaurants,United Kingdom,Entertainment,1748.18,SEARCY RESTAURANTS,
FCOGPC130600557,19/06/2013,Caterers,Uruguay,Entertainment,584.39,SMIRNA,Equipment rental for reception
