DirectorateTeam,PercentageUsedWisdom,PercentageAddedDocument,PercentageAdded10PlusDocuments,PercentageEmailedLink
Finance & Performance,0.95,0.87,0.58,0.55
Northern Ireland and Organisational Development,1,0.85,0.57,0.51
Openness Data & Digital,0.98,0.67,0.33,0.43
Operational Delivery Group,0.88,0.43,0.29,0.18
Private Office and Secretariats,0.8,0.67,0.6,0.47
Regulatory and Legal Strategy Directorate,0.9,0.78,0.45,0.33
Science and Policy,0.95,0.72,0.43,0.39
Wales & Local Delivery,0.9,0.73,0.5,0.54
