Property,,,,,,
Department,Organisation Name,HMG Ref Number,Property name,Basis for expenditure approval,Total Value Approved (£),Date of approval
BEIS,Land Registry,HMG3352,Land Registry,A decision is awaited on the most recent consultation on its future commercial model which proposes Land Registry operations move to the private sector but the Crown retain ownership of the Land Register.,"(3 years x £146,300=) £438,900",Nov-16
