Prosecutions,2006 - 07 Volume,2006 - 07 Percentage,2007 - 08 Volume,2007 - 08 Percentage,2008 - 09 Volume,2008 - 09 Percentage,2009 - 10 Volume,2009 - 10 Percentage,2010 - 11 Volume,2010 - 11 Percentage
Convictions,9621,76.75%,11317,79.78%,10690,82.04%,11405,81.93%,12651,82.77%
Unsuccessful,2914,23.25%,2869,20.22%,2340,17.96%,2516,18.07%,2633,17.23%
Total,12535,100.00%,14186,100.00%,13030,100.00%,13921,100.00%,15284,100.00%
