FRA17CD,FRA17NM,FID
E31000001,Avon,1
E31000002,Bedfordshire,2
E31000003,Royal Berkshire,3
E31000004,Buckinghamshire & Milton Keynes,4
E31000005,Cambridgeshire,5
E31000006,Cheshire,6
E31000007,Cleveland,7
E31000008,Cornwall,8
E31000009,Cumbria,9
E31000010,Derbyshire,10
E31000011,Devon & Somerset,11
E31000013,County Durham and Darlington,12
E31000014,East Sussex,13
E31000015,Essex,14
E31000016,Gloucestershire,15
E31000017,Hampshire,16
E31000018,Hereford & Worcester,17
E31000019,Hertfordshire,18
E31000020,Humberside,19
E31000021,Isle of Wight,20
E31000022,Kent,21
E31000023,Lancashire,22
E31000024,Leicestershire,23
E31000025,Lincolnshire,24
E31000026,Norfolk,25
E31000027,North Yorkshire,26
E31000028,Northamptonshire,27
E31000029,Northumberland,28
E31000030,Nottinghamshire and City of Nottingham,29
E31000031,Oxfordshire,30
E31000032,Shropshire,31
E31000033,Stoke-on-Trent and Staffordshire,32
E31000034,Suffolk,33
E31000035,Surrey,34
E31000036,Warwickshire,35
E31000037,West Sussex,36
E31000039,Isles of Scilly,37
E31000040,Greater Manchester,38
E31000041,Merseyside,39
E31000042,South Yorkshire,40
E31000043,Tyne and Wear,41
E31000044,West Midlands,42
E31000045,West Yorkshire,43
E31000046,London Fire and Emergency Planning Authority,44
E31000047,Dorset & Wiltshire,45
N31000001,Northern Ireland Fire and Rescue Service,46
S38000001,Scotland,47
W25000001,North Wales,48
W25000002,Mid and West Wales,49
W25000003,South Wales,50
