Date,Merchan Category ,Amount
01/08/12,Training,$777.60
01/08/12,Travel/Airlines,$563.35
01/08/12,Lumber/Build. Supply Stores,$765.69
01/08/12,Travel/Airlines,"$1,305.59"
01/08/12,Travel/Airlines,"$2,653.09"
01/08/12,Travel/Airlines,"$2,487.99"
01/08/12,Travel/Airlines,"$1,668.04"
01/08/12,Travel/Airlines,"-$2,856.67"
01/08/12,Motor Vehicle Supply/New Parts,$679.18
02/08/12,Catering,$670.50
02/08/12,Travel/Airlines,"$2,464.13"
02/08/12,Travel/Airlines,"$3,693.72"
02/08/12,Travel/Airlines,"$2,464.13"
02/08/12,Travel/Airlines,"$2,750.97"
02/08/12,Travel/Airlines,"$2,795.86"
02/08/12,Computer Program/Sys Design,"$1,075.95"
02/08/12,Hotels,"$4,633.06"
02/08/12,Hotels,"$4,633.06"
02/08/12,Hotels,"$4,633.06"
02/08/12,Hotels,"$4,633.06"
02/08/12,Travel/Airlines,"$1,417.50"
02/08/12,Travel/Airlines,"$1,669.79"
02/08/12,Travel/Airlines,"$1,869.49"
02/08/12,Travel/Airlines,"$3,863.89"
02/08/12,Telecommunication Services,$700.80
02/08/12,Hotels,$830.01
02/08/12,Hotels,$829.33
02/08/12,Hotels,$834.40
03/08/12,Travel/Airlines,"$1,406.02"
03/08/12,Travel/Airlines,$976.09
03/08/12,Travel/Airlines,"$1,858.49"
03/08/12,Travel/Airlines,"-$1,301.09"
03/08/12,Lumber/Build. Supply Stores,$995.45
03/08/12,Travel/Airlines,"$4,504.19"
03/08/12,Travel/Airlines,$819.99
03/08/12,Lumber/Build. Supply Stores,$769.44
03/08/12,Travel/Airlines,"$3,182.20"
03/08/12,Travel/Airlines,$856.78
03/08/12,Diy & Household Stores,"$1,230.00"
06/08/12,Hotels,"$1,005.69"
06/08/12,Diy & Household Stores,$734.54
06/08/12,Hotels,$804.55
06/08/12,Hotels,$811.40
06/08/12,Hotels,"$1,171.22"
06/08/12,Hotels,"$1,426.84"
06/08/12,Hotels,"$1,801.63"
06/08/12,Hotels,$534.18
06/08/12,Computer Program/Sys Design,$755.28
06/08/12,Travel/Airlines,$912.00
06/08/12,Travel/Airlines,$912.00
06/08/12,Travel/Airlines,$578.55
06/08/12,Hotels,$734.07
06/08/12,Travel/Airlines,"$1,451.89"
06/08/12,Travel/Airlines,"$1,466.50"
06/08/12,Travel/Airlines,$549.66
06/08/12,Travel/Airlines,$924.00
06/08/12,Travel/Airlines,"$1,026.09"
06/08/12,Travel/Airlines,"$2,547.89"
06/08/12,Travel/Airlines,$965.93
06/08/12,Computers/Peripherals/Software,$937.10
06/08/12,Computers/Peripherals/Software,$545.76
06/08/12,Travel/Airlines,"$1,841.99"
06/08/12,Travel/Airlines,$587.45
07/08/12,Misc General Merchandise,$660.00
07/08/12,Travel/Airlines,"$1,627.00"
07/08/12,Travel/Airlines,"$4,600.00"
07/08/12,Hotels,$871.75
07/08/12,Hotels,"$1,392.64"
07/08/12,Diy & Household Stores,$797.90
07/08/12,Architectural/Eng/Survey,$556.80
07/08/12,Architectural/Eng/Survey,$817.20
07/08/12,Hotels,"$1,186.53"
08/08/12,Travel/Airlines,"$1,018.99"
08/08/12,Travel/Airlines,"$1,018.99"
08/08/12,Computers/Peripherals/Software,"$1,204.08"
08/08/12,Travel/Airlines,$620.05
08/08/12,Travel/Airlines,"-$2,670.89"
08/08/12,Travel/Airlines,-$620.05
08/08/12,Lumber/Build. Supply Stores,$506.52
08/08/12,Travel/Airlines,"-$1,052.35"
08/08/12,Travel/Airlines,"-$13,860.00"
