Year-end,Number of properties awarded DPA ,Net amount of DPA awarded
31 March 2010,10674,2539305
31 March 2011,10870,2686889
31 March 2012,11002,2794949
31 March 2013,11089,2926476
31 March 2014,11046,3018947
31 March 2015,11050,3113062
31 March 2016,10949,3127081
31 March 2017,11040,3281657
