post_date,Category,Spend,Number of Transactions
01/10/2014,Stationery/Office Supplies," £1,030.00 ",1
01/10/2014,Industrial Supplies, £652.37 ,1
01/10/2014,Stationery/Office Supplies," £1,030.00 ",1
01/10/2014,Travel/Airlines, £(964.72),1
01/10/2014,Hotels," £2,165.71 ",1
01/10/2014,Travel/Airlines, £631.11 ,1
01/10/2014,Car Hire, £550.79 ,1
01/10/2014,Travel/Airlines," £3,595.01 ",1
01/10/2014,Travel/Airlines, £824.41 ,1
01/10/2014,Travel/Airlines," £1,410.16 ",1
01/10/2014,Travel/Airlines," £1,832.76 ",1
01/10/2014,Travel/Airlines," £2,228.56 ",1
01/10/2014,Travel/Airlines," £5,610.26 ",1
01/10/2014,Travel/Airlines," £2,228.56 ",1
01/10/2014,Travel/Airlines, £(526.87),1
01/10/2014,Hotels," £1,594.64 ",1
01/10/2014,Hotels," £1,199.76 ",1
01/10/2014,Computer Program/Sys Design, £602.53 ,1
01/10/2014,Professional Subscriptions," £1,076.00 ",1
01/10/2014,Computers/Peripherals/Software," £1,317.99 ",1
01/10/2014,Quick Copy/Repro Services, £616.00 ,1
02/10/2014,Professional Subscriptions, £690.00 ,1
02/10/2014,Training," £2,160.00 ",1
02/10/2014,Computer Program/Sys Design, £618.68 ,1
02/10/2014,Professional Subscriptions, £998.40 ,1
02/10/2014,Computer Software Stores, £892.20 ,1
02/10/2014,Hotels," £1,197.53 ",1
02/10/2014,Travel/Airlines," £2,219.86 ",1
02/10/2014,Travel/Airlines," £2,206.93 ",1
02/10/2014,Travel/Airlines," £2,206.93 ",1
02/10/2014,Travel/Airlines," £1,668.46 ",1
02/10/2014,Travel/Airlines," £3,563.38 ",1
02/10/2014,Travel/Airlines," £(2,053.78)",1
02/10/2014,Hotels," £1,361.02 ",1
02/10/2014,Travel/Airlines," £2,981.78 ",1
02/10/2014,Travel/Airlines," £2,636.60 ",1
02/10/2014,Travel/Airlines, £(805.33),1
02/10/2014,Travel/Airlines, £726.70 ,1
02/10/2014,Travel/Airlines, £976.11 ,1
02/10/2014,Hotels," £1,433.88 ",1
02/10/2014,Hotels," £2,075.13 ",1
02/10/2014,Computers/Peripherals/Software, £776.01 ,1
02/10/2014,Electrical Parts/Equipment," £1,099.36 ",1
02/10/2014,Computers/Peripherals/Software, £740.61 ,1
03/10/2014,Metal Service Centers," £1,346.11 ",1
03/10/2014,Hotels, £837.40 ,1
03/10/2014,Travel/Airlines, £836.78 ,1
03/10/2014,Furniture/Equip Stores, £783.20 ,1
03/10/2014,Travel/Airlines," £1,570.03 ",1
03/10/2014,Commercial Equipment," £1,157.62 ",1
03/10/2014,Hotels, £525.30 ,1
03/10/2014,Travel/Airlines, £560.67 ,1
03/10/2014,Lumber/Build. Supply Stores, £892.20 ,1
03/10/2014,Stationery Stores," £1,716.48 ",1
03/10/2014,Stationery Stores," £1,771.58 ",1
06/10/2014,Hotels, £875.80 ,1
06/10/2014,Travel/Airlines, £850.76 ,1
06/10/2014,Travel/Airlines," £1,000.00 ",1
06/10/2014,Computer Program/Sys Design, £761.54 ,1
06/10/2014,Travel/Airlines," £2,065.79 ",1
06/10/2014,Travel/Airlines," £2,065.79 ",1
06/10/2014,Travel/Airlines," £2,065.16 ",1
06/10/2014,Travel/Airlines," £4,606.96 ",1
06/10/2014,Travel/Airlines," £4,606.96 ",1
06/10/2014,Travel/Airlines," £(1,185.26)",1
06/10/2014,Hotels," £1,666.79 ",1
06/10/2014,Hotels, £707.13 ,1
06/10/2014,Hotels, £597.42 ,1
06/10/2014,Hotels," £2,857.15 ",1
06/10/2014,Computer Software Stores, £515.80 ,1
06/10/2014,Hotels, £575.19 ,1
06/10/2014,Hotels, £635.99 ,1
06/10/2014,Hotels, £926.12 ,1
06/10/2014,Travel/Airlines," £1,439.76 ",1
06/10/2014,Travel/Airlines," £2,346.06 ",1
06/10/2014,Travel/Airlines," £2,669.56 ",1
06/10/2014,Travel/Airlines," £1,400.00 ",1
06/10/2014,Travel/Airlines, £609.30 ,1
06/10/2014,Travel/Airlines," £1,247.70 ",1
06/10/2014,Travel/Airlines," £1,036.80 ",1
06/10/2014,Travel/Airlines," £(2,669.66)",1
06/10/2014,Travel/Airlines," £(2,350.26)",1
06/10/2014,Travel/Airlines, £(580.90),1
06/10/2014,Travel/Airlines," £(1,037.70)",1
06/10/2014,Travel/Airlines," £(1,037.70)",1
06/10/2014,Hotels, £813.26 ,1
06/10/2014,Electrical Parts/Equipment, £804.40 ,1
06/10/2014,Computer Software Stores, £599.00 ,1
06/10/2014,Electrical Parts/Equipment," £1,985.81 ",1
06/10/2014,Electrical Parts/Equipment," £1,701.88 ",1
06/10/2014,Electrical Parts/Equipment," £2,330.27 ",1
06/10/2014,Electrical Parts/Equipment," £1,617.82 ",1
06/10/2014,Travel/Airlines, £860.11 ,1
06/10/2014,Travel/Airlines, £(860.11),1
06/10/2014,Household Appliance Stores," £1,472.40 ",1
06/10/2014,Travel/Airlines, £(722.20),1
06/10/2014,Computers/Peripherals/Software, £839.40 ,1
07/10/2014,Travel/Airlines," £1,569.92 ",1
07/10/2014,Travel/Airlines," £1,187.71 ",1
07/10/2014,Travel/Airlines," £3,169.79 ",1
07/10/2014,Travel/Airlines," £2,219.96 ",1
07/10/2014,Travel/Airlines," £1,540.00 ",1
07/10/2014,Travel/Airlines," £1,151.00 ",1
07/10/2014,Travel/Airlines," £3,120.00 ",1
07/10/2014,Travel/Airlines," £(2,219.96)",1
07/10/2014,Travel/Airlines," £(2,826.40)",1
07/10/2014,Travel/Airlines, £605.13 ,1
07/10/2014,Household Appliance Stores, £612.60 ,1
07/10/2014,Household Appliance Stores, £534.88 ,1
07/10/2014,Industrial Supplies, £828.00 ,1
07/10/2014,Travel/Airlines, £799.30 ,1
07/10/2014,Travel/Airlines, £767.33 ,1
07/10/2014,Travel/Airlines, £960.00 ,1
07/10/2014,Hotels," £1,200.00 ",1
07/10/2014,Hotels, £671.27 ,1
07/10/2014,Travel/Airlines, £904.79 ,1
07/10/2014,Hotels," £1,493.85 ",1
07/10/2014,Hotels, £604.72 ,1
07/10/2014,Hotels," £2,590.16 ",1
07/10/2014,Travel/Airlines, £(699.52),1
07/10/2014,Travel/Airlines," £2,879.60 ",1
07/10/2014,Travel/Airlines, £553.56 ,1
07/10/2014,Travel/Airlines, £553.56 ,1
07/10/2014,Travel/Airlines, £877.06 ,1
07/10/2014,Travel/Airlines, £877.06 ,1
07/10/2014,Travel/Airlines," £2,669.56 ",1
07/10/2014,Travel/Airlines," £3,176.29 ",1
07/10/2014,Travel/Airlines," £3,176.29 ",1
07/10/2014,Travel/Airlines," £3,176.29 ",1
07/10/2014,Travel/Airlines," £3,176.29 ",1
07/10/2014,Travel/Airlines, £779.28 ,1
07/10/2014,Vehicle Accessories," £1,941.55 ",1
07/10/2014,Training," £1,968.00 ",1
08/10/2014,Travel/Airlines, £590.78 ,1
08/10/2014,Travel/Airlines," £3,407.20 ",1
08/10/2014,Travel/Airlines," £1,408.81 ",1
08/10/2014,Travel/Airlines," £1,804.06 ",1
08/10/2014,Travel/Airlines," £3,465.06 ",1
08/10/2014,Travel/Airlines, £759.78 ,1
08/10/2014,Travel/Airlines, £759.78 ,1
08/10/2014,Travel/Airlines," £5,265.96 ",1
08/10/2014,Travel/Airlines," £4,851.96 ",1
08/10/2014,Travel/Airlines," £4,851.96 ",1
08/10/2014,Travel/Airlines," £2,320.99 ",1
08/10/2014,Travel/Airlines, £503.58 ,1
08/10/2014,Travel/Airlines, £581.40 ,1
08/10/2014,Travel/Airlines, £(549.25),1
08/10/2014,Stationery/Office Supplies," £1,030.00 ",1
08/10/2014,Travel/Airlines," £(2,219.96)",1
08/10/2014,Travel/Airlines," £(1,417.00)",1
08/10/2014,Travel/Airlines," £(1,089.00)",1
08/10/2014,Travel/Airlines, £749.90 ,1
08/10/2014,Travel/Airlines," £1,615.80 ",1
08/10/2014,Travel/Airlines, £749.90 ,1
08/10/2014,Travel/Airlines," £1,582.10 ",1
08/10/2014,Travel/Airlines, £752.50 ,1
08/10/2014,Travel/Airlines, £752.50 ,1
08/10/2014,Travel/Airlines, £752.50 ,1
08/10/2014,Electrical Parts/Equipment, £751.80 ,1
08/10/2014,Staff Incentives," £1,000.00 ",1
08/10/2014,Computers/Peripherals/Software," £1,100.00 ",1
09/10/2014,Computers/Peripherals/Software, £(977.93),1
09/10/2014,Staff Incentives, £975.00 ,1
09/10/2014,Electrical Parts/Equipment," £1,421.78 ",1
09/10/2014,Hotels, £629.99 ,1
09/10/2014,Computers/Peripherals/Software," £1,392.70 ",1
09/10/2014,Travel/Airlines," £4,666.99 ",1
