Asset _Number,Asset_Details,UPRN,Road,Postcode,Town,MAP_EAST,MAP_NORTH,FR/LH,Tenure
15.7,"Plot 7, 7 Holder Road",,Holder Road,GU12 4RH,Aldershot,,,Freehold,Ground Leasehold
15.8,Plot 8 8-18 Manaway Industrial Estate ,,Holder Road,GU12 4RH,Aldershot,,,Freehold,Ground Leasehold
15.9,"Plot 9, 19 Holder Road",,Ash Road,GU12 4RH,Aldershot,,,Freehold,Ground Leasehold
16.1,"Plot 10, 251 Ash Road",,Ash Road,GU12 4DD,Aldershot,,,Freehold,Ground Leasehold
16.1,"Plot 11, 252 Ash Road",,Ash Road,GU12 4HD,Aldershot,,,Freehold,Ground Leasehold
16.2,"Plot 12, ATS Euromaster",,Ash Road,GU12 4DQ,Aldershot,,,Freehold,Ground Leasehold
16.3,"Plot 13, 17 Blackwater Way",,Blackwater Way,GU12 4DW,Aldershot,,,Freehold,Ground Leasehold
16.4,"Plot 14, The Border Practice",,Blackwater Way,GU12 4DN,Aldershot,,,Freehold,Ground Leasehold
16.5,"Plot 15, 15 Blackwater Way",,Blackwater Way,GU12 4DN,Aldershot,,,Freehold,Ground Leasehold
16.6,"Plot 16, 1 Lower Farnham Road",,Lower Farnham Road,GU12 4DZ,Aldershot,,,Freehold,Ground Leasehold
16.7,"Plot 17, 17 Blackwater Way",,Blackwater Way,GU12 4DN,Aldershot,,,Freehold,Ground Leasehold
16.8,"Plot 18, HTH Complex",,Blackwater Way,GU12 4DN,Aldershot,,,Freehold,Ground Leasehold
16.9,"Plot 19, 19 Blackwater Way",,Blackwater Way,GU12 4DN,Aldershot,,,Freehold,Ground Leasehold
16.1,"Plot 20, 20 Blackwater Way",,Blackwater Way,GU12 4DP,Aldershot,,,Freehold,Leased Out
16.11,"Plot 21, The Beck Industrial Estate",,Blackwater Way,GU12 4DJ,Aldershot,,,Freehold,Ground Leasehold
16.12,"Plot 22, 22 Blackwater Way",,Blackwater Way,GU12 4DX,Aldershot,,,Freehold,Ground Leasehold
16.13,"Plot 23, 23 Blackwater Way",,Blackwater Way,GU12 4DL,Aldershot,,,Freehold,Ground Leasehold
16.13,"Plot 23, 23 Blackwater Way",,Blackwater Way,GU12 4DL,Aldershot,,,Freehold,Ground Leasehold
16.14,"Plot 24, 24 Blackwater Way",,Blackwater Way,GU12 4DL,Aldershot,,,Freehold,Ground Leasehold
