Organisation Name,Organisation Code,Directorate/Service,Cost Centre,Detail Code,Service Category label,Supplier Name,Payment Date,Transaction Number,Net Amount,Purpose of Spend,Procurement Classification,Card Transaction
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2208,30032,Environmental & Regulatory Services,Amazon,31/01/2016,159/1,55.83,Tripod,Business Partnerships,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,"Strategy, Engagement and Organisational Development",1413,30325,Planning Services,Amazon / Toot toot sweets,31/01/2016,159/2,15.62,Sundries for event,Learning Partnership,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,"Strategy, Engagement and Organisational Development",1402,30229,Over/Under Recovery on Support Services,Amazon,31/01/2016,159/3,70.19,Laser Measure and camera case,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Financial Services,3401,30229,Over/Under Recovery on Support Services,Amazon,31/01/2016,159/4,2.59,sundries- sponge,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,"Strategy, Engagement and Organisational Development",1413,30325,Planning Services,Amazon,31/01/2016,159/5,-6.25,toot toot sweets,Learning Partnership,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,1202,30004,Over/Under Recovery on Support Services,Amazon,31/01/2016,159/6,31.9,Legal files,Administrative Equipment,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30496,"Highways, Roads & Transport Services",INTELLECTUAL PROP. OFC,31/01/2016,157/1,270,TRADEMARK SKILLED UP ,Skilled Up Project Costs,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",SCREWFIX DIRECT,31/01/2016,157/2,39.99,RIGGER BOOTS,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,"Strategy, Engagement and Organisational Development",1411,30120,Over/Under Recovery on Support Services,Ning,31/01/2016,157/4,42.11,Big Aldershot Conversation - pro-monthly,Website Support/Development,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,"Strategy, Engagement and Organisational Development",1402,00006,Over/Under Recovery on Support Services,Lynda training,31/01/2016,157/5,23.83,Online training - monthly,Training Expenses,GPC
