Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,562,549,708,689.6,1544,1531.8,1151,1118.9,357,354.9,,,4322,4244.2,75,75,,,35,34.4,5,5,115,114.4,4437,4358.6,11949381.13,974006.82,40785.14,247577.19,2630742.47,992554.58,16835047.33,326456.25,67323.42,393779.67,17228827,The allowance figure does not include any compensatory allowances paid to staff due to their overseas commitments.
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,29,26.01,22,19.94,14,12.94,8,8,1,1,5,5,79,72.89,,,,,,,,,0,0,79,72.89,159005,11835,,1806,33835,12669,219150,4906,,4906,224056,
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,33,31.11,235,222.21,801,783.27,305,303.22,73,72,,,1447,1411.81,59,57.32,98,95.3,,,,,157,152.62,1604,1564.43,4383107.58,849886.09,38975,30382.15,967968.94,313743.71,6584063.47,605249.99,,605249.99,7189313.46,
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,7.75,7.75,2,2,1,1,,,10.75,10.75,,,,,,,,,0,0,10.75,10.75,31546.51,1024.33,,,2226.41,3149.54,37946.79,,,0,37946.79,
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,0,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,6,6,8,8,5,5,2,2,,,21,21,,,,,,,,,0,0,21,21,79937.43,,,,14731.96,10700.17,105369.56,7611.57,,7611.57,112981.13,
FCO Services,Executive Agency,Foreign and Commonwealth Office,158,155.88,179,174.5,459,446.53,131,130.05,6,5.57,,,933,912.53,48,47.59,7,7,158,155.9,,,213,210.49,1146,1123.02,2406544.07,483694.13,54277,277051.24,513709.86,240620.51,3975896.81,1564639.14,0,1564639.14,5540535.95,
UK Trade and Investment (FCO),Non-Ministerial Department,Foreign and Commonwealth Office,3,3,2,2,81,81,80,80,25,25,,,191,191,,,,,,,,,0,0,191,191,730359.32,10432.77,1900,,158010.63,28159.13,928861.85,,,0,928861.85,The allowance figure does not include any compensatory allowances paid to staff due to their overseas commitments.
