Minister,Date,Given or Received,Who gift was received from,Value (oe),Outcome
Secretary of State for Defence,13/04/2016,Received,Held from Government,oe£300.00,Disposed of via DSA
,13/06/2016,Received,Yahya Said Abdullah Al-Jabri,oe£150.00,Retained - Balance Paid
Minister of State for Defence Procurement,,,Nil Return,,
Minister of State for Armed Forces,,,Nil Return,,
Minister of State in the House of Lords,,,Nil Return ,,
Minister for Reserves,,,Nil Return,,
"Minister for Defence, Personnel and Veterans",,,Nil Return,,
