Department,Entity,Transaction Date,Expense Type,Expense Area,PES Category,Supplier,Transaction No.,Amount
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2014,FARES - AIR,BOARD,TRAVEL&EVENTS-AIR,REDFERN TRAVEL LTD,0000207973,72.87
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2014,FARES - AIR,BOARD,TRAVEL&EVENTS-AIR,COMPANY BARCLAYCARD,0000208237,22.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/02/2014,FARES - AIR,BOARD,TRAVEL&EVENTS-AIR,STAFF EXPENSES CONTROL,0000208483,41.69
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/02/2014,FARES - PUBLIC TRANSPORT,BOARD,TRAVEL&EVENTS-TAXI,STAFF EXPENSES CONTROL,0000208483,31.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/02/2014,FARES - PUBLIC TRANSPORT,BOARD,TRAVEL&EVENTS-TAXI,STAFF EXPENSES CONTROL,0000208501,28.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/02/2014,FARES - RAIL,BOARD,TRAVEL&EVENTS-RAIL,STAFF EXPENSES CONTROL,0000208483,201.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2014,HOTEL ACCOMMODATION,BOARD,TRAVEL&EVENTS-HOTELS,REDFERN TRAVEL LTD,0000207977,286.29
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/02/2014,INCIDENTALS,BOARD,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000208483,44.06
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/02/2014,MILEAGE PAYMENTS,BOARD,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000208483,162.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/02/2014,MILEAGE PAYMENTS,BOARD,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000208484,93.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2014,SUBSISTENCE ALLOWANCES,BOARD,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000208242,31.08
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/02/2014,SUBSISTENCE ALLOWANCES,BOARD,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000208483,83.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2014,FARES - AIR,CHIEF EXECUTIVE,TRAVEL&EVENTS-AIR,REDFERN TRAVEL LTD,0000207973,949.24
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2014,FARES - AIR,CHIEF EXECUTIVE,TRAVEL&EVENTS-AIR,COMPANY BARCLAYCARD,0000208214,31.98
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2014,FARES - PUBLIC TRANSPORT,CHIEF EXECUTIVE,TRAVEL&EVENTS-TAXI,COMPANY BARCLAYCARD,0000208242,26.64
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/02/2014,FARES - PUBLIC TRANSPORT,CHIEF EXECUTIVE,TRAVEL&EVENTS-TAXI,STAFF EXPENSES CONTROL,0000208492,32.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/02/2014,FARES - PUBLIC TRANSPORT,CHIEF EXECUTIVE,TRAVEL&EVENTS-TAXI,STAFF EXPENSES CONTROL,0000208502,6.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2014,FARES - RAIL,CHIEF EXECUTIVE,TRAVEL&EVENTS-RAIL,REDFERN TRAVEL LTD,0000207973,55.42
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/02/2014,FARES - RAIL,CHIEF EXECUTIVE,TRAVEL&EVENTS-RAIL,STAFF EXPENSES CONTROL,0000208492,21.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2014,HOTEL ACCOMMODATION,CHIEF EXECUTIVE,TRAVEL&EVENTS-HOTELS,REDFERN TRAVEL LTD,0000207977,670.56
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2014,INCIDENTALS,CHIEF EXECUTIVE,VEHICLES-FLEET MANAGEMENT,COMPANY BARCLAYCARD,0000208242,76.24
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/02/2014,INCIDENTALS,CHIEF EXECUTIVE,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000208492,47.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/02/2014,INCIDENTALS,CHIEF EXECUTIVE,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000208502,10.83
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/02/2014,MILEAGE PAYMENTS,CHIEF EXECUTIVE,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000208492,85.51
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/02/2014,MILEAGE PAYMENTS,CHIEF EXECUTIVE,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000208502,43.32
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2014,SUBSISTENCE ALLOWANCES,CHIEF EXECUTIVE,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000208242,93.06
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2014,SUBSISTENCE ALLOWANCES,CHIEF EXECUTIVE,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000208298,24.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2014,SUBSISTENCE ALLOWANCES,CHIEF EXECUTIVE,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000208300,58.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2014,SUBSISTENCE ALLOWANCES,CHIEF EXECUTIVE,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000208303,6.27
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/02/2014,SUBSISTENCE ALLOWANCES,CHIEF EXECUTIVE,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000208492,35.68
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/02/2014,TRAINING AND EDUCATION,CHIEF EXECUTIVE,PROF SER LRNG&DEV-STAFF TRNING,THE GAP PARTNERSHIP LTD,0000208360,2375.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/02/2014,FARES - PUBLIC TRANSPORT,CORPORATE AFFAIRS,TRAVEL&EVENTS-TAXI,STAFF EXPENSES CONTROL,0000208515,13.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2014,FARES - RAIL,CORPORATE AFFAIRS,TRAVEL&EVENTS-RAIL,REDFERN TRAVEL LTD,0000207973,272.07
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2014,HOTEL ACCOMMODATION,CORPORATE AFFAIRS,TRAVEL&EVENTS-HOTELS,REDFERN TRAVEL LTD,0000207977,61.95
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2014,INCIDENTALS,CORPORATE AFFAIRS,VEHICLES-FLEET MANAGEMENT,COMPANY BARCLAYCARD,0000208223,15.33
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/02/2014,INCIDENTALS,CORPORATE AFFAIRS,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000208515,11.33
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/02/2014,MILEAGE PAYMENTS,CORPORATE AFFAIRS,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000208515,174.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2014,PROFESSIONAL SUBSCRIPTIONS,CORPORATE AFFAIRS,PERSONNEL RLTD-STAFF SUBSCRPTN,COMPANY BARCLAYCARD,0000208299,210.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2014,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,MRP PRINT LIMITED,0000207815,475.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2014,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,GORKANA GROUP LTD,0000207948,200.53
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2014,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,GORKANA GROUP LTD,0000207949,635.22
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/02/2014,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,THE RSE SCOTLAND FOUNDATI,0000208069,187.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/02/2014,PUBLIC RELATIONS,CORPORATE AFFAIRS,ENERGY&UTILITIES-ELECTRICITY,ALDERMORE INVOICE FINANCE,0000208070,1099.85
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/01/2014,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,UNICUS SHEFFIELD,0000208121,1487.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2014,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,SHARPE PRITCHARD,0000208126,433.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2014,PUBLIC RELATIONS,CORPORATE AFFAIRS,NOT ANALYSED,208070-IRR VAT CLNT ENT,34002342,172.53
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2014,SUBSISTENCE ALLOWANCES,CORPORATE AFFAIRS,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000208207,31.61
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2014,SUBSISTENCE ALLOWANCES,CORPORATE AFFAIRS,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000208223,56.27
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/02/2014,SUBSISTENCE ALLOWANCES,CORPORATE AFFAIRS,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000208515,18.57
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/02/2014,MILEAGE PAYMENTS,CORPORATE PROJECT OFFICE,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000208485,36.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/01/2014,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,COMPUTER PEOPLE,0000207557,634.48
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/01/2014,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,COMPUTER PEOPLE,0000207781,657.14
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/02/2014,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,COMPUTER PEOPLE,0000207966,736.45
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,12/02/2014,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,COMPUTER PEOPLE,0000208314,668.47
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/02/2014,DAMP PROOF SURVEY FEES,DAMPPROOF/TIMBER TREATMENT,"CONSTRUCTION-BLD,REPR&MAINTNCE",PONTEFRACT INSULATION,0000208247,2582.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/01/2014,CAR HIRE,ENVIRONMENT,TRAVEL&EVENTS-VEHICLE HIRE,ENTERPRISE RENT A CAR,0000207753,31.45
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/01/2014,CAR HIRE,ENVIRONMENT,TRAVEL&EVENTS-VEHICLE HIRE,ENTERPRISE RENT A CAR,0000207755,38.74
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,18/02/2014,CAR HIRE,ENVIRONMENT,TRAVEL&EVENTS-VEHICLE HIRE,ENTERPRISE RENT A CAR,0000208454,188.45
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2014,CHILDCARE VOUCHERS,ENVIRONMENT,PERSONNEL RLTD-STAFF CHILDCARE,COMPUTERSHARE VOUCHER SER,0000207852,100.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/02/2014,CONSULTANCY,ENVIRONMENT,PROF SER-LEGAL SERVICES,SOLICITORS FEES RE DOWNBR,0000207831,600.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,19/12/2013,CONSULTANTS OPERATIONS,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000207212,2116.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/02/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,SCOTTISH WATER INTERNATIO,0000207715,5125.71
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/11/2013,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,J N BENTLEY LIMITED,0000206731,1224.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/12/2013,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,MOTT MACDONALD LTD,0000206921,18148.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/01/2014,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000207362,1161.25
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/12/2013,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,J N BENTLEY LIMITED,0000207493,-1895.27
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/12/2013,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,J N BENTLEY LIMITED,0000207495,-4343.95
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/12/2013,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,J N BENTLEY LIMITED,0000207496,-1641.61
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/12/2013,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,J N BENTLEY LIMITED,0000207497,109003.86
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/12/2013,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,J N BENTLEY LIMITED,0000207499,97285.07
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/12/2013,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,J N BENTLEY LIMITED,0000207500,910.01
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/12/2013,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,J N BENTLEY LIMITED,0000207501,-80.00
