Departmental Family,Entity,Date,Expense type,Expense area,Description,Supplier,Transaction Number,Amount
Department for Education,TEACHERS PENSION SCHEME,01/06/2016,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,78,23925024.10
Department for Education,TEACHERS PENSION SCHEME,02/06/2016,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,79,20106149.72
Department for Education,TEACHERS PENSION SCHEME,03/06/2016,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,80,58420601.41
Department for Education,TEACHERS PENSION SCHEME,03/06/2016,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,81,716.04
Department for Education,TEACHERS PENSION SCHEME,06/06/2016,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,82,24500470.48
Department for Education,TEACHERS PENSION SCHEME,07/06/2016,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,83,21390283.85
Department for Education,TEACHERS PENSION SCHEME,08/06/2016,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,84,21679377.16
Department for Education,TEACHERS PENSION SCHEME,09/06/2016,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,85,21149452.88
Department for Education,TEACHERS PENSION SCHEME,10/06/2016,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,86,58437309.27
Department for Education,TEACHERS PENSION SCHEME,13/06/2016,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,87,21681914.01
Department for Education,TEACHERS PENSION SCHEME,14/06/2016,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,88,20355019.95
Department for Education,TEACHERS PENSION SCHEME,15/06/2016,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,89,21107417.75
Department for Education,TEACHERS PENSION SCHEME,16/06/2016,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,90,20114298.35
Department for Education,TEACHERS PENSION SCHEME,17/06/2016,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,91,57413057.58
Department for Education,TEACHERS PENSION SCHEME,20/06/2016,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,92,21554366.13
Department for Education,TEACHERS PENSION SCHEME,21/06/2016,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,93,20976803.53
Department for Education,TEACHERS PENSION SCHEME,22/06/2016,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,94,116673015.58
Department for Education,TEACHERS PENSION SCHEME,23/06/2016,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,95,20492651.67
Department for Education,TEACHERS PENSION SCHEME,24/06/2016,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,96,56984876.66
Department for Education,TEACHERS PENSION SCHEME,27/06/2016,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,97,21338871.20
Department for Education,TEACHERS PENSION SCHEME,28/06/2016,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,98,40557665.65
Department for Education,TEACHERS PENSION SCHEME,29/06/2016,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,99,18639714.73
Department for Education,TEACHERS PENSION SCHEME,30/06/2016,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,100,31164751.10
