Special Advisers,Date,Gift,Given or Received,Who gift was given to or received from,Value (£),Outcome
James Wild,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Robert Oxley,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
